,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,url_list
33,Ron Baker,SG,25,NYK,11,0,107,1.8,7.2,.250,0.5,4.1,.111,1.4,3.2,.429,2.3,2.7,.833,0.5,2.7,3.2,5.9,2.3,0.0,1.4,7.2,6.3,,94,115,https://www.basketball-reference.com/players/b/bakerro01.html
34,Ron Baker,SG,25,WAS,4,0,45,0.0,4.2,.000,0.0,4.2,.000,0.0,0.0,,0.0,0.0,,0.0,4.2,4.2,2.1,1.1,1.1,2.1,2.1,0.0,,20,117,https://www.basketball-reference.com/players/b/bakerro01.html
35,Wade Baldwin,PG,22,POR,16,0,94,5.2,17.0,.303,1.0,4.6,.222,4.1,12.4,.333,4.1,5.7,.727,1.0,6.7,7.7,6.2,0.5,1.0,7.2,5.7,15.5,,74,113,https://www.basketball-reference.com/players/b/baldwwa01.html
36,Lonzo Ball,PG,21,LAL,47,45,1423,6.0,14.9,.406,2.5,7.5,.329,3.6,7.5,.482,0.7,1.6,.417,1.8,6.4,8.2,8.3,2.3,0.6,3.4,3.7,15.2,,100,109,https://www.basketball-reference.com/players/b/balllo01.html
37,Mo Bamba,C,20,ORL,47,1,766,7.5,15.5,.481,1.3,4.5,.300,6.1,11.1,.555,2.4,4.0,.587,4.1,10.8,14.9,2.5,0.8,4.1,2.7,6.5,18.7,,105,103,https://www.basketball-reference.com/players/b/bambamo01.html
38,J.J. Barea,PG,34,DAL,38,0,752,10.4,24.8,.418,2.5,8.3,.297,7.9,16.6,.479,3.5,5.0,.705,0.8,5.3,6.1,13.6,1.4,0.1,4.6,3.2,26.8,,105,113,https://www.basketball-reference.com/players/b/bareajo01.html
39,Harrison Barnes,PF-SF,26,TOT,77,77,2533,8.1,19.4,.420,3.3,8.3,.395,4.8,11.0,.439,4.3,5.2,.824,1.1,5.7,6.8,2.2,0.9,0.2,1.8,2.3,23.8,,108,114,https://www.basketball-reference.com/players/b/barneha02.html
40,Harrison Barnes,PF,26,DAL,49,49,1584,8.9,22.0,.404,3.7,9.5,.389,5.2,12.4,.416,5.1,6.1,.833,1.1,5.2,6.3,1.9,1.0,0.3,2.1,2.4,26.5,,106,113,https://www.basketball-reference.com/players/b/barneha02.html
41,Harrison Barnes,SF,26,SAC,28,28,949,6.9,15.2,.455,2.6,6.4,.408,4.3,8.8,.489,3.1,3.9,.800,1.0,6.5,7.6,2.6,0.8,0.1,1.5,2.1,19.6,,115,114,https://www.basketball-reference.com/players/b/barneha02.html
42,Will Barton,SG,28,DEN,43,38,1189,7.6,19.0,.402,2.8,8.1,.342,4.9,10.9,.447,2.4,3.1,.770,1.3,6.9,8.2,5.1,0.7,0.9,2.7,3.4,20.4,,102,111,https://www.basketball-reference.com/players/b/bartowi01.html
