,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,Games18,FB,PAINTPTS,TO_PTS,2ND_PTS,Q1PTS,Q2PTS,Q3PTS,Q4PTS,PPP,>8ft%,8-16ft%,16-24ft%,24+%,BCS%,>8FTU,8-16FTU,16-24FTU,24+U,BCU,AVGDISTA,AVGDISTM,AVGDISTF,AFGM,JS,LU,DUN,TIPIN,JS%,Layup%18,DUN%,2PT_m,3PT_m,FT_m,AB_3U,MRU,paint_nonra,ra_usage,RC_3,LC_3,backcourt_usage,AB3%,MR%,paint_nonra%,RA%,RC3%,LC3%,BC%
553,Ante Zizic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,0.39,5.73,1.03,2.41,1.92,1.61,1.69,2.56,1.3869999999999998,0.586,0.449,0.28600000000000003,0.0,0.0,80.97,14.8,4.23,0.0,0.0,3.97,3.02,5.14,68.31,39.27,45.62,7.55,7.55,0.408,0.616,0.92,79.74,0.0,20.26,0.0,10.27,27.49,62.24,0.0,0.0,0.0,0.0,0.41200000000000003,0.374,0.655,0.0,0.0,0.0
554,Larry Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,0.84,5.88,1.54,1.91,2.25,1.99,2.58,2.54,1.3090000000000002,0.649,0.33899999999999997,0.3,0.34,0.0,59.5,11.69,8.35,20.25,0.21,8.99,5.9,12.34,69.08,50.31,23.38,16.49,9.81,0.34,0.625,0.899,68.9,15.79,15.31,16.49,13.78,15.24,50.52,1.46,2.3,0.21,0.354,0.28800000000000003,0.35600000000000004,0.7070000000000001,0.28600000000000003,0.273,0.0
555,Jusuf Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,0.61,10.33,1.89,3.61,4.74,4.01,4.28,2.47,1.3619999999999999,0.551,0.37,0.436,0.10300000000000001,0.0,78.21,8.84,9.44,3.51,0.0,5.22,3.85,6.63,65.95,49.76,32.45,9.69,8.11,0.436,0.552,0.85,74.13,0.8,25.07,3.27,12.95,20.1,63.44,0.12,0.12,0.0,0.111,0.42100000000000004,0.386,0.588,0.0,0.0,0.0
556,Dario Saric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,1.05,3.93,1.4,1.66,2.84,2.5,2.76,2.4,1.224,0.556,0.342,0.317,0.364,0.0,38.78,5.54,9.18,46.5,0.0,14.67,12.11,16.62,83.16,68.51,29.01,1.31,1.17,0.34,0.618,1.0,43.1,41.43,15.48,38.05,11.37,10.35,31.78,4.81,3.64,0.0,0.364,0.308,0.268,0.633,0.39399999999999996,0.32,0.0
557,Davis Bertans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,1.11,1.0,0.92,0.49,1.68,2.09,1.79,2.37,1.338,0.61,0.406,0.41700000000000004,0.433,0.0,13.02,7.06,5.3,73.95,0.66,21.32,19.9,22.49,94.12,89.85,7.28,1.99,0.88,0.43,0.5760000000000001,0.889,19.47,71.78,8.75,63.36,9.27,7.95,8.17,5.52,5.08,0.66,0.408,0.5,0.278,0.757,0.68,0.478,0.0
558,Dzanan Musa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,2.11,0.8640000000000001,0.75,0.5,0.5,0.1,0.0,36.36,9.09,9.09,45.45,0.0,15.14,7.56,20.38,77.78,77.27,22.73,0.0,0.0,0.294,0.8,0.0,84.21,15.79,0.0,36.36,9.09,22.73,22.73,4.55,4.55,0.0,0.125,0.5,0.6,0.8,0.0,0.0,0.0
559,Tomas Satoransky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,1.08,4.2,1.53,1.05,2.37,2.35,1.95,2.09,1.348,0.618,0.35200000000000004,0.35,0.408,0.0,44.81,16.92,7.69,30.19,0.38,11.73,9.42,13.91,60.08,64.04,28.27,4.62,3.08,0.39,0.633,0.875,53.92,27.39,18.69,21.54,13.27,20.19,35.96,4.23,4.42,0.38,0.41100000000000003,0.33299999999999996,0.419,0.652,0.636,0.174,0.0
560,DJ Stephens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.5,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
561,Donatas Motiejunas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.33299999999999996,0.667,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,7.33,6.67,8.0,100.0,66.67,33.33,0.0,0.0,0.5,0.5,0.0,100.0,0.0,0.0,0.0,16.67,50.0,33.33,0.0,0.0,0.0,0.0,0.0,0.667,0.5,0.0,0.0,0.0
562,Harry Giles III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,0.62,5.34,0.98,1.28,1.52,1.95,1.59,1.98,1.172,0.593,0.389,0.33299999999999996,0.0,0.0,62.07,25.86,10.34,1.44,0.29,6.6,4.73,8.5,65.14,53.16,26.44,10.34,10.06,0.395,0.5329999999999999,0.861,85.78,0.0,14.22,0.86,16.95,35.63,45.69,0.0,0.57,0.29,0.0,0.33899999999999997,0.42700000000000005,0.642,0.0,0.0,0.0
563,CJ Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,0.94,1.17,0.74,0.32,1.36,2.11,0.96,1.96,1.09,0.441,0.308,0.478,0.332,0.0,18.97,8.36,7.4,64.95,0.32,19.14,17.98,19.79,84.82,85.53,12.86,1.29,0.32,0.353,0.375,0.75,26.55,59.29,14.16,49.2,10.93,9.0,14.79,9.0,6.75,0.32,0.307,0.41200000000000003,0.35700000000000004,0.457,0.39299999999999996,0.429,0.0
564,Boban Marjanovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,0.3,5.14,1.21,2.43,1.89,1.7,1.95,1.96,1.6230000000000002,0.665,0.513,0.273,0.4,0.0,76.92,15.0,4.23,3.85,0.0,4.79,3.58,6.73,66.88,42.69,38.08,15.38,3.85,0.46799999999999997,0.677,0.9,73.93,2.84,23.22,2.31,9.62,24.23,62.31,1.54,0.0,0.0,0.16699999999999998,0.48,0.47600000000000003,0.7040000000000001,0.75,0.0,0.0
565,Lonnie Walker IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.47,0.94,0.35,0.12,0.0,0.59,0.12,1.94,0.978,0.467,0.25,0.2,0.385,0.0,32.61,17.39,21.74,28.26,0.0,13.93,12.0,14.97,43.75,69.57,30.43,0.0,0.0,0.281,0.5,0.0,48.89,33.33,17.78,26.09,30.43,10.87,30.43,2.17,0.0,0.0,0.33299999999999996,0.214,0.2,0.5,1.0,0.0,0.0
566,Gary Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,0.0,0.53,0.4,0.2,0.27,0.13,0.33,1.93,0.8,0.33299999999999996,0.25,0.5,0.23800000000000002,0.0,18.0,16.0,24.0,42.0,0.0,17.16,16.25,17.59,50.0,86.0,14.0,0.0,0.0,0.302,0.429,0.0,55.0,37.5,7.5,34.0,30.0,16.0,12.0,4.0,4.0,0.0,0.17600000000000002,0.467,0.125,0.5,0.0,1.0,0.0
567,Cristiano Felicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.33,3.03,0.52,1.1,0.73,0.85,0.52,1.9,1.341,0.564,0.455,0.25,0.0,0.0,87.15,6.15,4.47,2.23,0.0,3.38,1.94,5.01,69.47,27.37,50.28,13.41,8.94,0.36700000000000005,0.544,0.875,79.17,0.0,20.83,2.23,6.15,17.32,74.3,0.0,0.0,0.0,0.0,0.364,0.29,0.617,0.0,0.0,0.0
568,Wade Baldwin IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.13,0.75,0.0,0.0,0.0,0.0,0.0,1.88,0.909,0.313,0.33299999999999996,0.33299999999999996,0.25,0.0,48.48,9.09,18.18,24.24,0.0,11.64,10.6,12.09,10.0,57.58,42.42,0.0,0.0,0.316,0.28600000000000003,0.0,53.33,20.0,26.67,21.21,21.21,18.18,36.36,0.0,3.03,0.0,0.14300000000000002,0.28600000000000003,0.16699999999999998,0.41700000000000004,0.0,1.0,0.0
569,Derrick Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,1.08,4.3,1.72,1.77,1.53,2.52,1.1,1.88,1.3019999999999998,0.58,0.41700000000000004,0.0,0.318,0.0,67.59,3.7,0.62,27.16,0.93,8.52,5.31,11.65,71.25,39.2,31.17,19.75,9.88,0.299,0.485,0.828,62.56,19.91,17.54,8.95,1.85,10.8,59.26,6.79,11.42,0.93,0.24100000000000002,0.5,0.2,0.635,0.364,0.35100000000000003,0.0
570,JR Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.55,1.27,1.0,0.45,1.82,1.18,1.91,1.82,0.937,0.5,0.35700000000000004,0.364,0.308,0.0,5.06,17.72,27.85,49.37,0.0,19.89,18.74,20.48,66.67,96.2,3.8,0.0,0.0,0.32899999999999996,0.667,0.0,40.54,48.65,10.81,43.04,32.91,13.92,3.8,0.0,6.33,0.0,0.265,0.308,0.545,0.33299999999999996,0.0,0.6,0.0
571,Svi Mykhailiuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,0.55,0.52,0.43,0.14,0.24,0.71,0.4,1.81,0.9570000000000001,0.40700000000000003,0.25,0.267,0.326,0.0,19.42,5.76,10.79,64.03,0.0,18.91,18.22,19.25,86.96,83.45,13.67,2.16,0.72,0.31,0.42100000000000004,0.667,25.56,65.41,9.02,44.6,15.11,4.32,16.55,6.47,12.95,0.0,0.306,0.28600000000000003,0.16699999999999998,0.435,0.556,0.278,0.0
572,James Ennis III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,1.43,2.76,1.66,1.22,1.91,1.59,1.48,1.72,1.3230000000000002,0.625,0.28600000000000003,0.33299999999999996,0.353,0.0,43.54,2.38,1.02,53.06,0.0,13.77,10.49,16.67,82.61,58.5,28.57,6.8,6.12,0.366,0.5710000000000001,1.0,42.67,42.42,14.91,25.85,2.38,4.08,40.48,15.65,11.56,0.0,0.303,0.429,0.33299999999999996,0.639,0.37,0.441,0.0
573,Timothe Luwawu-Cabarrot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.88,1.6,0.56,0.36,0.98,1.2,0.78,1.66,1.06,0.506,0.16699999999999998,0.385,0.313,0.0,35.32,5.5,5.96,52.75,0.46,15.34,12.37,17.14,81.71,66.06,29.82,3.67,0.46,0.299,0.523,0.625,39.83,46.75,13.42,30.73,9.63,5.05,32.11,11.47,10.55,0.46,0.254,0.28600000000000003,0.091,0.557,0.4,0.391,0.0
574,Jakob Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,0.22,4.65,0.71,1.47,1.17,1.0,1.66,1.66,1.459,0.657,0.42100000000000004,1.0,0.0,0.0,92.41,6.55,1.03,0.0,0.0,2.43,2.13,2.99,70.59,17.93,53.45,9.66,18.97,0.5379999999999999,0.69,0.893,88.42,0.0,11.58,0.0,3.79,20.0,76.21,0.0,0.0,0.0,0.0,0.727,0.44799999999999995,0.6920000000000001,0.0,0.0,0.0
575,Willy Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,0.43,4.59,0.66,2.12,2.02,1.5,2.09,1.6,1.422,0.5479999999999999,0.545,0.0,0.385,0.0,77.7,7.43,1.69,13.18,0.0,5.84,4.58,7.2,69.28,37.16,40.54,9.12,13.18,0.436,0.5329999999999999,0.889,65.56,10.69,23.75,11.49,4.73,19.59,62.5,1.35,0.34,0.0,0.382,0.35700000000000004,0.44799999999999995,0.578,0.5,0.0,0.0
576,Angel Delgado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.5,0.6,0.2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.4,1.0,1.5,100.0,0.0,100.0,0.0,0.0,0.0,0.2,0.0,66.67,0.0,33.33,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
577,Vincent Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,100.0,0.0,23.75,23.0,24.0,100.0,100.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,100.0,0.0,25.0,0.0,0.0,0.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
578,Melvin Frazier Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.6,1.2,0.6,0.2,0.0,0.0,0.0,1.5,0.7140000000000001,0.667,0.0,0.5,0.0,0.0,42.86,19.05,9.52,28.57,0.0,11.52,4.14,15.21,71.43,57.14,33.33,9.52,0.0,0.083,0.5710000000000001,1.0,93.33,0.0,6.67,14.29,14.29,23.81,33.33,4.76,9.52,0.0,0.0,0.33299999999999996,0.2,0.7140000000000001,0.0,0.0,0.0
579,Skal Labissiere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,0.18,1.45,0.32,0.36,0.36,0.36,0.82,1.5,1.367,0.5710000000000001,0.5,0.5,0.462,0.0,57.14,8.16,8.16,26.53,0.0,10.45,9.23,11.83,46.15,59.18,14.29,18.37,8.16,0.44799999999999995,0.28600000000000003,0.889,59.7,26.87,13.43,24.49,14.29,16.33,42.86,0.0,2.04,0.0,0.5,0.5710000000000001,0.375,0.619,0.0,0.0,0.0
580,Troy Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,0.75,2.27,0.94,0.51,1.08,1.04,1.14,1.49,1.08,0.551,0.2,0.429,0.32799999999999996,0.0,43.75,13.39,12.5,29.91,0.45,12.67,9.88,14.69,68.09,66.07,27.68,6.25,0.0,0.33799999999999997,0.516,0.857,59.5,27.27,13.22,22.32,17.41,21.43,30.8,3.57,4.02,0.45,0.3,0.359,0.271,0.652,0.5,0.33299999999999996,0.0
581,Juancho Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,0.66,1.91,0.74,1.21,1.54,1.13,1.67,1.49,1.304,0.55,0.33299999999999996,0.667,0.365,0.0,38.34,1.92,1.92,57.83,0.0,15.3,12.94,17.17,84.78,66.13,26.84,4.79,2.24,0.37200000000000005,0.56,0.8,35.29,48.53,16.18,39.62,2.88,7.03,32.27,9.9,8.31,0.0,0.387,0.556,0.182,0.624,0.258,0.385,0.0
582,Alex Abrines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,0.65,0.65,0.35,0.65,1.03,1.45,1.35,1.48,1.051,0.5,0.33299999999999996,0.5710000000000001,0.32799999999999996,0.0,12.74,1.91,4.46,79.62,1.27,21.8,20.02,22.78,91.07,89.17,10.19,0.64,0.0,0.336,0.5,1.0,18.18,74.55,7.27,62.42,6.37,1.27,11.46,7.64,9.55,1.27,0.316,0.5,0.0,0.556,0.41700000000000004,0.33299999999999996,0.0
583,Robert Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,0.32,2.26,0.71,0.45,0.19,0.48,0.48,1.45,1.588,0.745,0.33299999999999996,0.0,0.0,0.0,92.16,5.88,1.96,0.0,0.0,2.1,1.28,4.07,86.11,7.84,21.57,54.9,15.69,0.25,0.727,0.893,88.89,0.0,11.11,0.0,7.84,1.96,90.2,0.0,0.0,0.0,0.0,0.25,0.0,0.7609999999999999,0.0,0.0,0.0
584,Wendell Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,0.66,6.45,1.48,1.66,3.57,1.95,3.39,1.39,1.226,0.596,0.391,0.359,0.188,0.0,56.06,24.8,10.51,8.63,0.0,7.95,5.47,10.29,78.33,57.68,26.95,11.86,3.5,0.355,0.56,0.955,76.48,3.96,19.56,4.85,24.53,22.91,43.94,1.08,2.7,0.0,0.222,0.35200000000000004,0.4,0.6629999999999999,0.0,0.2,0.0
585,Glenn Robinson III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,0.74,1.83,1.0,0.21,1.13,0.96,0.74,1.34,1.125,0.552,0.33299999999999996,0.529,0.29,0.0,38.07,17.05,9.66,35.23,0.0,13.11,10.59,14.93,86.49,67.05,26.7,5.11,1.14,0.33899999999999997,0.511,0.889,56.57,27.27,16.16,17.05,15.34,22.73,26.7,10.8,7.39,0.0,0.33299999999999996,0.48100000000000004,0.325,0.638,0.21100000000000002,0.308,0.0
586,Dairis Bertans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.25,0.0,0.0,0.0,0.0,1.25,0.25,1.33,0.723,0.0,0.0,0.16699999999999998,0.294,0.0,0.0,2.13,25.53,72.34,0.0,23.17,24.25,22.8,91.67,100.0,0.0,0.0,0.0,0.255,0.0,0.0,11.76,88.24,0.0,57.45,25.53,2.13,0.0,8.51,6.38,0.0,0.29600000000000004,0.16699999999999998,0.0,0.0,0.5,0.0,0.0
587,Ersan Ilyasova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,0.87,2.84,0.91,1.36,2.12,1.61,1.75,1.21,1.189,0.557,0.265,0.35,0.365,0.0,43.83,8.92,5.25,41.73,0.26,13.29,10.81,15.23,80.24,59.84,29.92,1.31,8.92,0.355,0.596,0.8,48.12,38.41,13.47,30.71,10.5,9.45,38.06,6.3,4.72,0.26,0.376,0.35,0.222,0.6,0.41700000000000004,0.222,0.0
588,TJ Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,0.67,2.97,0.57,1.0,0.59,1.72,0.41,1.16,1.229,0.675,0.371,0.33299999999999996,0.258,0.0,62.3,19.13,1.64,16.94,0.0,7.61,4.64,11.12,62.63,50.27,32.79,7.1,9.84,0.37,0.65,1.0,80.89,10.67,8.44,12.02,8.74,26.78,47.54,2.19,2.73,0.0,0.273,0.313,0.449,0.736,0.25,0.2,0.0
589,PJ Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,1.04,1.39,1.37,0.8,2.3,1.8,2.06,1.09,1.149,0.456,0.444,0.14300000000000002,0.381,0.0,21.8,3.44,1.34,73.23,0.19,18.4,17.47,19.0,91.3,82.98,14.91,0.57,1.53,0.376,0.462,1.0,20.3,72.88,6.82,20.27,2.29,7.27,17.02,30.98,21.99,0.19,0.349,0.33299999999999996,0.342,0.494,0.43200000000000005,0.33899999999999997,0.0
590,Wes Iwundu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,1.04,1.91,1.01,0.76,1.49,0.99,1.44,1.07,1.237,0.484,0.364,0.341,0.364,0.0,44.53,12.04,14.96,28.1,0.36,12.14,10.31,13.42,63.72,59.49,30.29,6.2,4.01,0.35600000000000004,0.361,0.882,49.56,25.66,24.78,16.79,20.8,12.77,37.96,4.74,6.57,0.36,0.413,0.35100000000000003,0.28600000000000003,0.529,0.385,0.222,0.0
591,Milos Teodosic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,0.0,0.53,0.0,0.2,0.2,1.73,0.4,0.87,1.2,0.5,0.5,0.6,0.385,0.0,15.0,5.0,12.5,65.0,2.5,20.73,19.12,21.91,82.35,87.5,10.0,0.0,2.5,0.4,0.5,0.0,29.17,62.5,8.33,55.0,12.5,10.0,10.0,5.0,5.0,2.5,0.364,0.6,0.25,0.75,0.5,0.5,0.0
592,Nene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,0.19,2.19,0.57,0.48,0.86,0.88,0.98,0.86,1.3019999999999998,0.616,0.278,0.455,0.0,0.0,62.93,15.52,18.97,2.59,0.0,7.3,5.28,9.46,78.33,51.72,37.07,11.21,0.0,0.4,0.5579999999999999,0.9229999999999999,79.47,0.0,20.53,2.59,27.59,22.41,47.41,0.0,0.0,0.0,0.0,0.43799999999999994,0.308,0.691,0.0,0.0,0.0
593,BJ Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.29,0.86,0.86,0.0,1.29,0.43,0.71,0.86,1.278,0.4,0.75,0.5,0.5,0.0,27.78,22.22,11.11,33.33,5.56,16.11,13.89,18.33,66.67,72.22,22.22,5.56,0.0,0.5379999999999999,0.25,1.0,52.17,39.13,8.7,16.67,27.78,11.11,22.22,0.0,16.67,5.56,0.33299999999999996,0.6,1.0,0.25,0.0,0.667,0.0
594,Jose Calderon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,0.04,0.38,0.17,0.21,0.54,0.75,0.65,0.42,0.9420000000000001,0.474,0.35700000000000004,0.5670000000000001,0.25,0.0,15.83,11.67,25.0,46.67,0.83,18.58,16.22,20.0,48.89,85.83,14.17,0.0,0.0,0.359,0.47100000000000003,0.0,54.87,37.17,7.96,39.17,35.83,4.17,12.5,4.17,3.33,0.83,0.23399999999999999,0.512,0.4,0.467,0.2,0.5,0.0
