,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,Games18,FB,PAINTPTS,TO_PTS,2ND_PTS,Q1PTS,Q2PTS,Q3PTS,Q4PTS,PPP,>8ft%,8-16ft%,16-24ft%,24+%,BCS%,>8FTU,8-16FTU,16-24FTU,24+U,BCU,AVGDISTA,AVGDISTM,AVGDISTF,AFGM,JS,LU,DUN,TIPIN,JS%,Layup%18,DUN%,2PT_m,3PT_m,FT_m,AB_3U,MRU,paint_nonra,ra_usage,RC_3,LC_3,backcourt_usage,AB3%,MR%,paint_nonra%,RA%,RC3%,LC3%,BC%
254,Jaren Jackson,PF,19.0,MEM,58.0,56.0,1515.0,9.8,19.3,0.506,1.7,4.7,0.359,8.1,14.7,0.5529999999999999,5.0,6.5,0.7659999999999999,2.4,6.5,8.9,2.1,1.7,2.7,3.2,7.2,26.2,108.0,107.0,16.4,0.591,0.24100000000000002,0.33399999999999996,5.3,15.0,10.1,7.2,1.7,5.1,12.7,22.8,0.0,1.2,2.2,3.3,0.105,0.0,-1.4,1.4,0.1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,B.J. Johnson,SF,23.0,TOT,7.0,0.0,49.0,8.5,17.0,0.5,2.8,6.6,0.429,5.7,10.4,0.545,1.9,1.9,1.0,1.9,5.7,7.6,0.0,1.9,0.0,1.9,3.8,21.7,111.0,115.0,12.8,0.609,0.389,0.111,4.2,13.2,8.6,0.0,1.9,0.0,9.6,17.4,0.0,0.0,0.0,0.1,0.066,0.0,-3.1,-5.4,-8.5,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Nikola Jokić,C,23.0,DEN,80.0,80.0,2504.0,12.1,23.7,0.511,1.6,5.3,0.307,10.5,18.4,0.569,5.7,6.9,0.821,4.5,12.5,17.0,11.4,2.1,1.1,4.9,4.5,31.5,119.0,105.0,26.3,0.589,0.22399999999999998,0.292,9.8,27.6,18.7,37.0,2.1,1.9,15.4,27.4,0.0,7.5,4.3,11.8,0.226,0.0,5.7,3.8,9.5,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Derrick Jones,SF,21.0,MIA,60.0,14.0,1153.0,6.8,13.7,0.494,1.2,3.9,0.308,5.6,9.9,0.5670000000000001,3.1,5.2,0.607,4.1,6.1,10.2,1.6,1.9,1.8,1.8,5.2,17.9,113.0,107.0,14.0,0.5589999999999999,0.281,0.377,8.8,13.3,11.1,4.7,1.9,3.3,10.2,15.6,0.0,1.2,1.7,2.9,0.121,0.0,-1.3,1.5,0.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Skal Labissière,PF,22.0,TOT,22.0,1.0,176.0,7.0,13.1,0.531,1.6,3.5,0.462,5.4,9.7,0.556,2.4,4.6,0.529,2.4,9.1,11.5,3.0,1.3,1.6,3.0,7.8,18.0,108.0,109.0,12.6,0.593,0.265,0.34700000000000003,5.4,20.3,12.8,8.6,1.4,2.8,16.3,16.0,0.0,0.1,0.2,0.3,0.08900000000000001,0.0,-2.4,0.6,-1.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,T.J. Leaf,PF,21.0,IND,58.0,1.0,522.0,9.3,17.1,0.541,0.7,2.9,0.258,8.5,14.2,0.599,1.8,2.9,0.613,4.0,7.7,11.7,2.2,0.8,1.8,1.1,3.3,21.1,119.0,107.0,16.9,0.5720000000000001,0.16899999999999998,0.16899999999999998,9.3,17.1,13.3,6.9,0.8,3.2,5.8,17.5,0.0,0.9,0.7,1.6,0.14800000000000002,0.0,-1.0,0.0,-1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Walt Lemon,PG,26.0,CHI,6.0,3.0,167.0,11.0,25.3,0.43700000000000006,0.6,1.5,0.4,10.5,23.8,0.439,2.3,3.2,0.727,1.2,6.7,7.8,8.7,3.2,0.3,2.9,4.1,25.0,98.0,110.0,16.3,0.46799999999999997,0.057,0.126,2.6,15.1,8.8,30.3,3.2,0.5,9.8,26.6,0.0,-0.1,0.2,0.1,0.026000000000000002,0.0,-1.5,0.1,-1.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Timothé Luwawu-Cabarrot,SF,23.0,TOT,50.0,7.0,669.0,5.9,15.7,0.376,2.6,8.3,0.31,3.3,7.3,0.451,2.2,3.0,0.7559999999999999,0.8,6.2,7.0,1.9,1.4,0.6,1.5,5.3,16.6,97.0,113.0,8.0,0.489,0.532,0.188,1.7,14.1,7.8,5.5,1.4,1.0,8.2,16.6,0.0,-0.3,0.5,0.2,0.015,0.0,-3.3,-1.7,-5.0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Boban Marjanović,C,30.0,TOT,58.0,12.0,681.0,11.1,18.0,0.615,0.3,0.7,0.4,10.8,17.3,0.624,6.8,9.1,0.748,6.0,12.3,18.4,3.7,1.1,1.9,4.1,6.2,29.3,123.0,107.0,24.2,0.664,0.038,0.504,14.0,26.9,20.6,12.8,1.1,3.1,15.7,23.3,0.0,2.1,0.9,3.0,0.212,0.0,1.4,0.5,1.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,C.J. Miles,SF,31.0,TOT,53.0,1.0,856.0,6.3,17.6,0.36,3.8,11.5,0.33,2.6,6.1,0.41700000000000004,2.7,3.3,0.828,0.7,4.6,5.4,2.0,1.5,0.9,1.7,4.5,19.2,99.0,110.0,9.0,0.504,0.653,0.18600000000000003,1.7,10.3,6.1,6.0,1.5,1.5,8.2,18.6,0.0,-0.2,0.9,0.7,0.040999999999999995,0.0,-2.1,-1.4,-3.4,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
