Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,salary,Team,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR
Jordan Bone,PG,22,DET,3,0,6,16.1,40.3,0.4,0,8.1,0,16.1,32.3,0.5,0,0,0,0,0,0,0,0,0,16.1,16.1,32.3,52,118,-16.4,0.4,0.2,0,0,0,0,0,0,0,28.6,50.7,-0.1,0,-0.1,-0.644,-23.8,-11,-34.8,0,,Pistons,6,-30.5,-11.2,-41.7,-20.2,6.2,-14,-30.2,-8.5,-38.7,-0.1
Jordan McLaughlin,PG,23,MIN,4,0,57,3.2,12.1,0.267,0.8,6.4,0.125,2.4,5.6,0.429,1.6,1.6,1,0.8,4.8,5.6,6.4,0.8,0,3.2,3.2,8.9,79,112,2.9,0.346,0.533,0.133,1.8,10.6,6.2,18.3,0.8,0,20.1,14.2,-0.1,0,-0.1,-0.062,-6.6,-1.7,-8.4,-0.1,,Timberwolves,57,-8.1,-4.9,-12.9,-11.5,-4.5,-16,-9.1,-5.1,-14.2,-0.3
Josh Gray,PG,26,NOP,2,0,23,2,4,0.5,0,0,0,2,4,0.5,0,0,0,2,2,4,4,0,0,10,2,4,47,121,-4.9,0.5,0,0,4.4,4.8,4.6,10.5,0,0,71.4,12.3,-0.1,0,-0.1,-0.244,-10.7,-2.2,-12.9,-0.1,,Pelicans,23,-8.3,0.6,-7.6,-18.5,9.3,-9.2,-10.6,2.3,-8.3,-0.1
Josh Jackson,SG,21,PHO,79,29,1988,8.3,20.2,0.413,1.8,5.4,0.324,6.6,14.8,0.445,3.4,5.1,0.671,1.6,6.7,8.3,4.4,1.8,1.3,4.2,5,21.9,91,114,10.6,0.487,0.268,0.253,3.6,15.9,9.7,14.1,1.8,2.3,15.6,23.9,-2.8,1.1,-1.7,-0.04,-4.3,-0.5,-4.8,-1.4,"$7,059,480 ",,,,,,,,,,,,
Josh Magette,PG,30,ORL,2,0,8,12.3,30.7,0.4,0,0,0,12.3,30.7,0.4,0,0,0,6.1,6.1,12.3,12.3,12.3,0,0,0,24.6,108,84,33.5,0.4,0,0,12.6,13.9,13.2,46.6,12.3,0,0,27.1,0,0,0,0.253,6.9,10,16.9,0,,Magic,8,5.1,8.9,14,3,-18.8,-15.7,5.1,4.3,9.4,0
Juan Hernangómez,PF,24,DEN,9,0,122,4.8,10.4,0.462,2.8,6.8,0.412,2,3.6,0.556,0.8,2,0.4,1.6,7.2,8.8,2.4,0,0.8,2.8,2.8,13.2,100,107,7.8,0.585,0.654,0.192,3.4,15.7,9.5,6.6,0,1.5,19.9,12.3,0,0.2,0.2,0.061,-3,0.1,-3,0,"$3,321,030 ",Nuggets,122,-2.5,0.9,-1.6,2,3.2,5.2,-1.7,1.2,-0.5,0.1
Jusuf Nurkic,C,24,POR,72,72,1974,10.3,20.3,0.508,0.1,0.7,0.103,10.2,19.6,0.523,6.9,9,0.773,6,12.4,18.4,5.7,1.7,2.5,4.1,6.1,27.6,116,105,23.4,0.57,0.035,0.442,13.4,26.7,20.2,17.9,1.7,4.2,14.6,24.7,4.4,3.3,7.8,0.189,1.6,3.6,5.1,3.5,"$12,000,000 ",,,,,,,,,,,,
Juwan Morgan,PF,22,UTA,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9,15.9,0,0,0,0,15.9,0,0,103,-1.4,0,0,0,0,34.3,18,0,0,0,0,0,0,0,0,0.083,-9.2,0.2,-8.9,0,,Jazz,3,-1.9,-6.3,-8.2,-13.8,16.7,2.9,-4.1,-2.5,-6.6,0
Kelan Martin,SF,24,MIN,8,0,116,5.9,17.4,0.341,2,9.5,0.208,4,7.9,0.5,0,0,0,0.8,9.1,9.9,0.8,0.4,0.4,1.2,7.1,13.9,81,110,2.9,0.398,0.545,0,1.8,20.1,10.9,2.4,0.4,0.7,6.4,16.5,-0.2,0.1,-0.1,-0.04,-7,-2.7,-9.7,-0.2,,Timberwolves,116,-4.5,-2.5,-7,-9.3,4.6,-4.7,-5.6,-1.4,-7,-0.2
Kelly Oubre,SF,24,PHO,17,17,518,9.1,19.8,0.459,2.2,6.4,0.338,6.9,13.4,0.517,6,7.3,0.827,2.1,6.7,8.7,2.5,2,0.8,2.6,4.7,26.4,110,108,16.6,0.573,0.323,0.368,4.8,16,10.3,8.3,2,1.5,10.2,23.4,0.7,0.6,1.3,0.117,0.2,-0.1,0.1,0.3,"$15,625,000 ",Suns,518,1.2,1.6,2.9,-1.7,-2,-3.8,0.7,1,1.8,1.2
Kevin Durant,SF,30,GSW,78,78,2702,12.7,24.4,0.521,2.4,6.8,0.353,10.3,17.5,0.587,7.9,8.9,0.885,0.6,8.2,8.8,8,1,1.5,4,2.7,35.7,121,110,24.2,0.631,0.281,0.366,1.4,17.5,9.8,26.2,1,2.6,12.3,29,8.6,2.9,11.5,0.204,4.2,0.1,4.3,4.3,"$37,199,000 ",,,,,,,,,,,,
Kevin Knox,SF,20,NYK,18,1,357,6.2,16.1,0.385,3.3,8.7,0.381,2.9,7.4,0.389,3.7,5.8,0.643,1.2,5.9,7.1,3.6,1.4,0.5,1.8,4.3,19.4,108,114,11.7,0.52,0.538,0.359,2.5,13.5,7.7,11.2,1.4,1.1,8.8,17.6,0.3,0.1,0.4,0.06,-0.8,-1.8,-2.7,-0.1,"$4,380,120 ",Knicks,357,-1.3,-3.9,-5.2,-5.5,-1.2,-6.7,-2.1,-3.6,-5.7,-0.5
Kevin Porter,SF,19,CLE,17,1,355,5.8,14.8,0.394,1.1,5,0.216,4.8,9.8,0.486,2.6,3.4,0.76,0.8,6.1,6.9,4.6,1.9,0.5,3,6.1,15.4,93,112,8.3,0.471,0.339,0.229,1.8,13.9,7.7,14.4,1.9,1,15.5,17.1,-0.2,0.2,0,-0.003,-3.3,-0.1,-3.3,-0.1,"$1,290,960 ",Cavaliers,355,-2.1,-4.1,-6.2,-8.6,-3.9,-12.5,-3.4,-4.2,-7.6,-0.9
Klay Thompson,SG,28,GSW,78,78,2652,11.8,25.2,0.467,4.3,10.7,0.402,7.4,14.4,0.516,2.3,2.8,0.816,0.7,4.7,5.4,3.3,1.5,0.8,2.1,2.8,30.1,110,112,16.6,0.571,0.427,0.113,1.6,10.1,6,10.5,1.5,1.5,7.2,25.6,2.9,2.3,5.3,0.095,1.2,-2,-0.8,0.8,"$32,742,000 ",,,,,,,,,,,,
Kostas Antetokounmpo,PF,22,LAL,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,104,3.9,0,0,0,0,36.5,18.5,0,0,0,0,0,0,0,0,0.079,-9.6,-0.9,-10.5,0,,Lakers,3,-2.7,-14.1,-16.8,9.9,11,20.8,-0.5,-10.4,-10.8,0
Kristaps Porziņģis,PF,24,DAL,16,16,499,10.1,24.6,0.41,3.5,9.6,0.37,6.5,15,0.436,4.3,6.2,0.692,2.6,11.5,14.1,2.4,0.8,3.3,2.7,4.6,28,103,105,17.3,0.513,0.391,0.254,5.8,24.1,15.2,7.6,0.8,5.6,9,26.4,0.2,0.7,1,0.093,-2.2,0.6,-1.5,0.1,"$27,285,000 ",Mavericks,499,-2,0.5,-1.4,-4.4,2.8,-1.6,-2.7,1,-1.7,0.3
Ky Bowman,PG,22,GSW,19,6,421,7.5,16,0.472,2.3,5.3,0.426,5.3,10.7,0.495,1.6,1.7,0.933,0.9,3.9,4.8,5.5,2.1,0.2,2.1,4.1,18.9,111,115,13.4,0.565,0.331,0.106,2,9,5.5,17.9,2.1,0.4,11.3,16.7,0.5,0.1,0.6,0.063,-0.3,-2.2,-2.4,0,,Warriors,421,-1.4,-1.8,-3.3,1.3,3.5,4.8,-1,-0.8,-1.8,0.2
Larry Nance,C,27,CLE,16,3,414,7.6,14.6,0.52,2.2,6.1,0.365,5.4,8.5,0.63,2.4,3.4,0.724,4,10.1,14.1,2.4,2.2,0.7,1.6,3,19.8,124,109,19,0.617,0.416,0.232,8.7,23,15.7,8.1,2.2,1.2,9.2,15.6,1,0.4,1.4,0.157,2.3,0.8,3,0.5,"$12,727,273 ",Cavaliers,414,0.9,-1.6,-0.7,-3,-5,-8.1,0.2,-2.3,-2,0.2
Lonnie Walker,SG,21,SAS,12,0,64,7.4,20,0.37,0.7,3,0.25,6.7,17.1,0.391,0.7,5.2,0.143,1.5,6.7,8.2,3,0,0.7,2.2,3.7,16.3,77,117,3.5,0.366,0.148,0.259,3.3,15.4,9.2,8.6,0,1.3,9.1,21.8,-0.2,0,-0.2,-0.14,-8.1,-4,-12.1,-0.2,"$2,760,480 ",Spurs,64,-2.7,-4.7,-7.4,-5.2,3.9,-1.3,-3.3,-3.3,-6.6,-0.1
Luka Dončić,PG,20,DAL,17,17,578,13.7,28.2,0.485,4.3,13.1,0.329,9.4,15.1,0.621,10.8,13.1,0.823,2.1,12,14.1,13.4,2.1,0.2,6.5,3.6,42.4,121,106,32.1,0.625,0.465,0.465,4.6,25.1,15.2,48.1,2.1,0.4,16.2,35.6,2.8,0.8,3.6,0.298,11.3,2.4,13.7,2.3,"$7,683,360 ",Mavericks,578,10.2,1.4,11.6,7.2,-5.1,2.2,10,0.3,10.3,3.9
Luol Deng,SF,33,MIN,22,2,392,7.2,14.4,0.5,1.7,5.4,0.318,5.5,9,0.608,3.1,4.3,0.714,2.4,6.5,8.9,2.2,1.8,1,1.7,2.9,19.2,117,113,14.6,0.588,0.373,0.297,5.4,14.6,10,6.5,1.8,1.7,9.5,15.8,0.5,0.3,0.8,0.101,-0.2,-0.5,-0.6,0.1,"$4,990,000 ",,,,,,,,,,,,
Marcus Morris,SF,30,NYK,18,18,594,8.9,21.2,0.42,4.2,8.2,0.515,4.7,13,0.361,5.6,6.7,0.84,1.8,7.3,9.1,2,1.5,0.9,2.9,4.6,27.7,111,112,16.3,0.572,0.385,0.315,3.7,16.6,9.8,6.8,1.5,1.8,10.7,23.4,0.9,0.3,1.2,0.097,0.4,-1.8,-1.4,0.1,"$15,000,000 ",Knicks,594,0.9,0.1,1,3.2,-0.9,2.3,1.4,0,1.4,1.2
Marvin Bagley,PF,20,SAC,1,1,28,10.5,28.1,0.375,0,0,0,10.5,28.1,0.375,3.5,7,0.5,7,10.5,17.5,0,1.8,1.8,1.8,1.8,24.5,88,107,14.1,0.394,0,0.25,16,25.2,20.5,0,1.8,3.3,5.3,29.2,-0.1,0,0,-0.038,-10.3,-6.8,-17.2,-0.1,"$8,556,120 ",Kings,28,-7,0.7,-6.3,-12,-6.1,-18.1,-8.2,-0.5,-8.8,-0.1
Melvin Frazier,SG,23,ORL,2,0,8,6.1,30.7,0.2,0,6.1,0,6.1,24.6,0.25,0,0,0,6.1,0,6.1,6.1,0,0,0,0,12.3,66,115,-0.9,0.2,0.2,0,12.6,0,6.6,18.9,0,0,0,27.1,0,0,0,-0.253,-8.8,-4.8,-13.6,0,"$1,416,852 ",Magic,8,-4,-24.1,-28.1,3,-18.8,-15.7,-2.8,-24.4,-27.2,-0.1
Michael Porter,PF,21,DEN,10,0,90,8.1,18.5,0.441,1.1,5.4,0.2,7.1,13,0.542,2.7,4.3,0.625,4.3,8.1,12.5,2.2,0,1.6,3.3,7.1,20.1,97,105,10.3,0.493,0.294,0.235,9.2,17.8,13.4,6.6,0,3.1,13.8,20.6,0,0.1,0.1,0.054,-4.2,-0.5,-4.7,-0.1,"$3,389,400 ",Nuggets,90,-3.6,-0.1,-3.7,-10.3,-5.2,-15.5,-5,-1.2,-6.2,-0.2
Miles Plumlee,C,30,ATL,18,0,173,8.5,12.8,0.667,0,0,0,8.5,12.8,0.667,4.3,8,0.533,4.3,6.1,10.4,4.5,1.6,1.1,2.7,3.7,21.4,125,114,18.9,0.654,0,0.625,9.5,14.3,11.8,14.7,1.6,2,14,16.7,0.4,0.1,0.5,0.145,0.2,-0.3,-0.1,0.1,"$12,500,000 ",,,,,,,,,,,,
Moses Brown,C,20,POR,4,0,15,9.3,21.8,0.429,0,0,0,9.3,21.8,0.429,6.2,12.5,0.5,6.2,21.8,28,0,3.1,0,3.1,12.5,24.9,95,99,15.6,0.457,0,0.571,13.7,46.9,30.4,0,3.1,0,10.2,27,0,0,0,0.066,-10.5,-7.6,-18.1,-0.1,,Trail Blazers,15,-1.9,-7.5,-9.4,-5.1,-19.2,-24.3,-2.7,-10.2,-12.8,-0.1
Naz Mitrou-Long,SG,26,IND,3,0,43,6.7,18,0.375,2.2,12.4,0.182,4.5,5.6,0.8,0,0,0,0,6.7,6.7,7.9,1.1,1.1,2.2,1.1,15.7,96,105,10.6,0.438,0.688,0,0,15.1,7.6,21.6,1.1,2,11.1,17.9,0,0.1,0,0.048,-2.3,-0.2,-2.5,0,,Pacers,43,-1.1,6.4,5.4,-1.9,14.3,12.4,-1.3,8.2,6.9,0.2
Nenê Hilário,C,36,HOU,42,2,546,5.4,10.4,0.517,0,0.3,0,5.4,10.2,0.531,2.8,4.2,0.66,3.1,8,11.1,2.3,1.6,1.3,1,7.8,13.6,122,110,11.9,0.552,0.026,0.405,6.7,18.4,12.5,6.8,1.6,2.3,7.4,11.7,0.8,0.6,1.4,0.123,-3,1.1,-2,0,"$2,564,753 ",,,,,,,,,,,,
Nicolò Melli,C,29,NOP,16,3,263,5.9,12.9,0.459,3.3,8.7,0.38,2.6,4.2,0.625,2.8,3.5,0.8,2.1,6.3,8.4,3.7,1.7,0.5,2.1,5.4,17.9,121,114,13.7,0.622,0.676,0.27,4.7,15,9.7,10.7,1.7,1,12.7,14.6,0.5,0.1,0.6,0.107,1.5,-1.1,0.4,0.2,"$3,902,439 ",Pelicans,263,-0.2,-2.7,-2.9,-4,-4.8,-8.8,-0.9,-3.1,-4.1,-0.2
Nikola Jokić,C,24,DEN,16,16,490,10.5,22.4,0.467,1.6,6.6,0.242,8.9,15.8,0.56,3.2,4.1,0.78,3.4,13.2,16.5,9.6,1.9,0.8,4.1,5.3,25.7,109,99,20.5,0.531,0.293,0.182,7.2,28.7,17.8,31.3,1.9,1.5,14.4,24.7,0.7,1.1,1.8,0.172,2.3,3.9,6.2,1,"$26,573,595 ",Nuggets,490,1.6,-0.2,1.4,2.6,-1,1.6,1.8,-0.5,1.3,1
Nikola Vučević,C,29,ORL,14,14,431,10.8,24.1,0.45,1.8,5.7,0.32,9,18.4,0.491,3.8,4.4,0.846,4.7,13.8,18.5,5.6,1,1.7,2.3,3.1,27.3,111,103,22.3,0.524,0.237,0.185,9.6,31.2,19.9,20.1,1,3.1,8.1,25,0.7,0.7,1.5,0.164,1.5,2.6,4.1,0.7,"$28,000,000 ",Magic,431,-0.5,2.1,1.6,5.6,-0.4,5.2,0.7,1.7,2.4,1.1
Oshae Brissett,SF,21,TOR,3,0,13,3.7,11,0.333,3.7,3.7,1,0,7.3,0,0,0,0,0,3.7,3.7,3.7,3.7,0,0,0,11,115,103,11,0.5,0.333,0,0,7.4,3.9,10,3.7,0,0,9.9,0,0,0,0.124,-1.7,1.6,-0.1,0,,Raptors,13,-0.9,-0.6,-1.5,11.1,-13.1,-2.1,1.2,-3.1,-1.9,0
Otto Porter,SF,26,CHI,9,9,226,7.3,17.4,0.417,3.3,8.3,0.4,3.9,9.1,0.432,3.1,4.1,0.75,1.7,4.8,6.4,2.9,1.9,0.6,1.5,4.1,20.9,111,109,13.6,0.544,0.476,0.238,3.5,11,7.1,9.6,1.9,1.2,7,18.2,0.3,0.2,0.5,0.1,-0.3,-0.5,-0.8,0.1,"$27,250,576 ",Bulls,226,0.7,-0.3,0.4,2,-2.3,-0.3,1,-0.7,0.4,0.4
PJ Washington,PF,21,CHO,19,19,522,7.6,15.3,0.497,2.3,5.2,0.446,5.3,10.1,0.523,2.4,3.6,0.667,1.6,7.5,9.1,2.5,1.9,1.5,2.1,4.6,19.9,111,111,14.6,0.59,0.339,0.236,3.4,18.1,10.4,8,1.9,2.7,11.2,17,0.6,0.4,1,0.089,-0.8,0.6,-0.2,0.2,"$3,831,840 ",Hornets,522,-1.5,-2.5,-4,-1,-0.4,-1.4,-1.5,-2.1,-3.6,-0.2
Reggie Bullock,SG,27,TOT,63,60,1879,6.3,15.3,0.412,3.8,10.1,0.377,2.5,5.2,0.483,1.9,2.2,0.859,0.6,3.9,4.5,3.3,1,0.3,1.7,2.8,18.4,111,113,10.5,0.563,0.662,0.143,1.2,8.8,4.9,10.1,1,0.5,9.3,15.8,1.6,1.4,3.1,0.078,0.1,-1,-0.9,0.5,"$4,000,000 ",,,,,,,,,,,,
Robert Williams,C,22,BOS,15,1,213,6.3,8.6,0.737,0,0,0,6.3,8.6,0.737,1.4,2.5,0.545,3.8,11.3,15.1,4.5,3.2,3.8,2.7,6.3,14,128,95,20.1,0.724,0,0.289,8.2,23.9,16.1,13.5,3.2,7.5,21.9,10.9,0.4,0.6,1,0.228,-0.2,7.8,7.6,0.5,"$1,937,520 ",Celtics,213,-1.3,1.8,0.6,4.5,-8,-3.5,-0.3,0,-0.3,0.3
Shamorie Ponds,PG,21,TOR,1,0,6,15.8,23.8,0.667,0,7.9,0,15.8,15.8,1,0,0,0,0,7.9,7.9,15.8,0,0,0,15.8,31.7,153,107,27.1,0.667,0.333,0,0,16,8.5,65.1,0,0,0,21.4,0,0,0.1,0.413,10.6,-3.5,7.1,0,,Raptors,6,8.7,-47.5,-38.8,25.7,-19.3,6.4,12.2,-45.1,-32.9,-0.1
Skal Labissière,C,23,POR,19,0,317,8,13.8,0.574,0.3,0.9,0.333,7.7,13,0.591,2.2,3.2,0.682,6,8.1,14.1,3.1,0.6,3.1,3.2,7.5,18.4,117,110,17.3,0.603,0.064,0.234,13.3,17.4,15.4,9.5,0.6,5.5,17.5,16.5,0.6,0.3,0.9,0.132,-0.2,2.1,2,0.3,"$2,338,847 ",Trail Blazers,317,-0.7,0.9,0.3,-1.3,0.4,-0.8,-0.8,0.9,0.1,0.5
Sviatoslav Mykhailiuk,SF,22,DET,13,0,205,4.7,11.3,0.417,4.3,9,0.474,0.5,2.4,0.2,0.5,0.5,1,0.5,2.8,3.3,3.5,0.9,0.2,2.8,3.8,14.2,104,114,7.4,0.614,0.792,0.042,1.1,6.6,3.9,10.3,0.9,0.4,19.7,12.9,0.1,0.1,0.1,0.032,-1,-2.5,-3.5,-0.1,"$1,416,852 ",Pistons,205,-1.9,-3,-4.9,2.6,0.9,3.5,-1.2,-2.4,-3.6,-0.1
Tacko Fall,C,24,BOS,1,0,4,24,48.1,0.5,0,0,0,24,48.1,0.5,0,0,0,0,36.1,36.1,0,0,0,12,24,48.1,71,89,7.9,0.5,0,0,0,76.5,38.4,0,0,0,20,53.1,0,0,0,-0.221,-24.8,-14.3,-39.1,0,,Celtics,4,-31,-0.4,-31.4,-12.2,3.3,-8.9,-29.2,0,-29.2,-0.1
Taurean Waller-Prince,SF,25,BRK,18,18,540,7.2,17.7,0.41,4.2,10.5,0.402,3,7.1,0.422,1.6,2.2,0.72,1.2,8.2,9.4,2.8,1.3,0.4,3.4,4.4,20.2,98,110,10.5,0.544,0.595,0.122,2.7,18.1,10.5,8.7,1.3,0.7,15.3,19.6,-0.1,0.5,0.4,0.033,-1.7,-0.8,-2.5,-0.1,"$3,481,986 ",Nets,540,-1.8,0.5,-1.3,3.4,-1.5,1.9,-0.9,0.1,-0.8,0.6
Tim Hardaway,SG,27,DAL,17,4,396,8.5,20.8,0.407,4.5,12.3,0.363,4,8.5,0.471,3.6,4.7,0.769,0.6,3.5,4.1,4,0.8,0.2,0.8,4.2,25,117,114,14.2,0.547,0.593,0.227,1.3,7.3,4.4,12,0.8,0.4,3.6,20.8,0.8,0.2,1,0.116,1.8,-3.3,-1.6,0,"$18,150,000 ",Mavericks,396,2.2,0.5,2.7,2.9,3.4,6.3,2.3,1.1,3.4,1.2
Timothé Luwawu-Cabarrot,SG,24,BRK,2,0,6,0,15.5,0,0,7.8,0,0,7.8,0,7.8,15.5,0.5,0,0,0,0,0,0,0,0,7.8,41,118,-9,0.174,0.5,1,0,0,0,0,0,0,0,19.9,0,0,0,-0.305,-13.1,-6.5,-19.5,0,,Nets,6,-17.3,-9.3,-26.6,-20.9,1.5,-19.3,-18.8,-7.8,-26.6,-0.1
T.J. Leaf,PF,22,IND,15,1,158,8,17.7,0.448,1.5,3.4,0.455,6.4,14.4,0.447,1.5,2.4,0.625,6.1,11.3,17.4,1.8,2.1,0.9,1.8,4.3,19,109,100,16.6,0.504,0.19,0.138,13.8,25.3,19.6,5.2,2.1,1.7,8.9,18.3,0.2,0.3,0.5,0.145,-1.8,0.7,-1.1,0,"$2,813,280 ",Pacers,158,0.2,0.4,0.6,-7.2,5,-2.2,-1.1,1.2,0,0.2
Tomáš Satoranský,PG,28,CHI,19,19,495,6.2,13.5,0.462,2.4,5.4,0.439,3.9,8.1,0.477,1.7,2,0.857,1.6,4.4,6.1,9.2,2.7,0.3,3.9,4,16.6,110,108,14.5,0.575,0.399,0.147,3.4,10.3,6.7,29.3,2.7,0.6,21.2,16.1,0.5,0.5,1,0.102,-0.1,0.2,0.1,0.3,"$10,000,000 ",Bulls,495,0.7,2.3,3,6,-0.7,5.3,1.8,1.9,3.6,1.6
Tremont Waters,PG,22,BOS,1,0,20,4.8,16.8,0.286,2.4,12,0.2,2.4,4.8,0.5,4.8,4.8,1,0,4.8,4.8,7.2,2.4,4.8,4.8,4.8,16.8,87,99,10.8,0.444,0.714,0.286,0,10.2,5.1,20.6,2.4,9.4,20.2,21,0,0,0,0.02,-4.6,4,-0.6,0,,Celtics,20,3,6.6,9.6,19.9,3.4,23.3,6.3,6.3,12.5,0.2
Troy Brown,SG,20,WAS,13,9,275,6,13.9,0.434,1.2,3.8,0.304,4.8,10,0.483,1.5,1.7,0.9,2.8,7.2,10,4.5,2.3,0.2,2.5,2.3,14.7,104,114,12.3,0.503,0.277,0.12,6.6,17.5,11.9,12,2.3,0.3,14.6,15.3,0.1,0.1,0.2,0.04,-1.3,-0.1,-1.4,0,"$3,219,480 ",Wizards,275,-0.6,1.4,0.8,-0.8,0.5,-0.3,-0.7,1.4,0.7,0.5
Troy Williams,SF,24,SAC,21,0,312,6.6,14.6,0.449,2.1,6.6,0.318,4.5,8.1,0.556,1.3,2.2,0.6,1.8,7,8.8,1.6,1.5,1.2,1.3,5.5,16.6,106,111,10.5,0.531,0.449,0.153,3.9,15.9,9.7,4.7,1.5,2.2,7.9,15,0.1,0.3,0.4,0.064,-2.3,-0.3,-2.6,0,"$122,741 ",,,,,,,,,,,,
Tyler Cook,PF,22,CLE,6,0,17,14.2,17,0.833,0,0,0,14.2,17,0.833,5.7,5.7,1,8.5,5.7,14.2,0,2.8,0,2.8,2.8,34.1,154,111,34.9,0.872,0,0.333,18.6,12.9,15.8,0,2.8,0,12.7,19.8,0.1,0,0.1,0.322,5.6,-5.7,0,0,,Cavaliers,17,1.5,-1.5,0.1,-5.1,-0.4,-5.5,0.4,-1.3,-0.8,0
Tyler Lydon,PF,22,DEN,25,0,94,4.7,9.4,0.5,2.1,5.2,0.4,2.6,4.2,0.625,0.5,1.6,0.333,3.7,5.7,9.4,3.1,1,0,2.1,5.2,12,116,112,9.3,0.595,0.556,0.167,8,12.7,10.4,8.2,1,0,17.2,10.6,0.1,0.1,0.2,0.086,-1.4,-1.2,-2.5,0,"$50,000 ",,,,,,,,,,,,
Tyler Ulis,PG,23,CHI,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015,-6.7,-0.4,-7.1,0,"$50,000 ",,,,,,,,,,,,
Victor Oladipo,SG,26,IND,36,36,1147,10.6,25.1,0.423,3.2,9.2,0.343,7.5,15.9,0.47,4.4,6,0.73,0.9,7.7,8.6,7.9,2.6,0.5,3.5,3.1,28.8,104,105,17.6,0.519,0.367,0.24,2.1,17.1,9.8,25.2,2.6,0.9,11.2,27.9,0.4,1.9,2.3,0.097,1.3,1,2.3,1.3,"$21,000,000 ",,,,,,,,,,,,
Vlatko Čančar,SF,22,DEN,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,-6.3,1.4,-5,0,"$1,517,981 ",Nuggets,2,-10,-14.8,-24.9,-1,16.6,15.6,-8.7,-9.8,-18.6,0
Wendell Carter,C,20,CHI,19,19,545,7.9,13.6,0.582,0.2,1,0.167,7.7,12.6,0.616,4.5,6.4,0.693,6.1,9.8,15.9,1.5,0.9,1.4,2.2,6.6,20.5,123,107,18.1,0.623,0.076,0.475,12.8,22.7,17.5,4.9,0.9,2.7,12,16.4,1.3,0.7,1.9,0.17,-0.5,0.6,0.2,0.3,"$5,201,400 ",Bulls,545,-1.3,-1.9,-3.2,7.4,0.7,8.1,0.3,-1.5,-1.2,0.4
Wesley Iwundu,SF,25,ORL,9,3,132,3,11.5,0.258,0.4,3.4,0.111,2.6,8.2,0.318,4.8,6,0.813,1.1,6.3,7.4,2.6,1.5,0.7,1.5,3,11.2,88,107,6.1,0.394,0.29,0.516,2.3,14.3,8,7.3,1.5,1.4,9.5,13.8,-0.1,0.2,0,0.009,-6.1,0.7,-5.4,-0.1,"$1,618,520 ",Magic,132,-4.9,-0.2,-5.1,-1.4,-4.1,-5.5,-4.5,-1,-5.5,-0.2
Willy Hernangómez,C,25,CHO,6,0,48,7,17.1,0.412,2,4,0.5,5,13.1,0.385,3,6,0.5,5,7,12.1,2,1,3,3,2,19.1,97,111,13.9,0.484,0.235,0.353,11,17,13.9,6.3,1,5.5,13.3,20.3,0,0,0,0.02,-4.3,-0.2,-4.5,0,"$1,676,735 ",Hornets,48,-5.4,-2.2,-7.6,-12.1,-6.4,-18.5,-6.9,-2.9,-9.8,-0.2
Wilson Chandler,PF-SF,31,TOT,51,33,1177,4.6,11,0.418,2.4,6.3,0.373,2.2,4.6,0.478,0.7,1,0.72,1.9,6.7,8.6,3.3,1,0.8,1.8,4.9,12.2,107,112,8.5,0.537,0.579,0.092,4.4,14.6,9.7,9.1,1,1.4,13.9,11.8,0.5,1,1.5,0.062,-1.3,0.3,-1,0.3,"$2,564,753 ",,,,,,,,,,,,
Yante Maten,PF,22,MIA,2,0,13,3.8,15,0.25,0,3.8,0,3.8,11.3,0.333,0,0,0,3.8,7.5,11.3,0,3.8,0,0,0,7.5,70,104,5.7,0.25,0.25,0,8.2,16.4,12.3,0,3.8,0,0,13.2,0,0,0,-0.026,-8.9,-1.7,-10.6,0,"$100,000 ",,,,,,,,,,,,
Yuta Watanabe,SG,25,MEM,1,0,3,30.8,30.8,1,0,0,0,30.8,30.8,1,0,0,0,0,15.4,15.4,0,0,0,0,15.4,61.5,200,113,49.3,1,0,0,0,35.9,17.8,0,0,0,0,27.6,0,0,0,0.44,10.2,-10.9,-0.7,0,,Grizzlies,3,15,4,19,7.7,35.6,43.3,14.5,10.2,24.7,0
Zach Norvell,SG,22,LAL,2,0,5,0,9.6,0,0,0,0,0,9.6,0,0,0,0,0,9.6,9.6,0,0,0,0,0,0,0,107,-5.7,0,0,0,0,21.9,11.1,0,0,0,0,8.5,0,0,0,-0.148,-14.4,-2.7,-17.1,0,,Lakers,5,-10.1,-11.9,-22,-7.6,-9.6,-17.2,-10.2,-12.2,-22.3,0
