Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,salary,Team,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR
Chris Silva,PF,23,MIA,16,0,161,7.4,10.9,0.676,0,0.6,0,7.4,10.3,0.714,4.1,5.9,0.7,9.1,10.3,19.5,3.2,1.2,3.5,6.8,13,18.9,111,99,17.2,0.699,0.054,0.541,23.5,23.3,23.4,10.4,1.2,7.3,33.4,18.4,0.2,0.3,0.6,0.171,-0.5,4.4,3.9,0.2,,Heat,161,-2,4.1,2.1,3.8,1.6,5.4,-1.1,3.6,2.5,0.4
C.J. Miles,SG,32,WAS,10,0,161,5.4,16.8,0.322,3.1,10,0.314,2.3,6.8,0.333,4.3,5.7,0.75,1.1,2.3,3.4,3.4,2.9,1.1,1.1,4,18.3,103,114,11.3,0.472,0.593,0.339,2.7,5.5,4.1,9,2.9,2.1,5.6,18.3,0.1,0.1,0.1,0.032,-0.5,-1.5,-2,0,"$8,730,158 ",Wizards,161,1.2,-0.3,0.9,0.1,-6.6,-6.5,1,-1.4,-0.4,0.2
Cristiano Felicio,C,26,CHI,60,0,746,6.2,11.6,0.531,0,0.3,0,6.2,11.4,0.543,3.3,4.7,0.685,5.1,9,14.2,2.4,0.7,0.5,2.1,4.5,15.6,116,114,13.4,0.568,0.022,0.408,11.4,20.5,15.9,7.2,0.7,0.8,13.5,14.3,0.9,0.4,1.4,0.088,-2.5,-1.1,-3.5,-0.3,"$8,156,500 ",,,,,,,,,,,,
Damion Lee,SG,27,GSW,11,0,241,6.9,17.9,0.385,2.4,6.9,0.343,4.5,11,0.411,5.5,6.5,0.848,1.8,6.7,8.5,3.9,1.6,0,2.6,3.5,21.6,105,115,12.7,0.521,0.385,0.363,3.9,15.2,9.5,12.5,1.6,0,11,20.7,0.1,0.1,0.2,0.04,-1.4,-2.7,-4.1,-0.1,,Warriors,241,-0.2,-0.8,-1,-1.5,0.4,-1.2,-0.4,-0.6,-1,0.2
Danuel House,SF,26,HOU,14,13,416,6,12.7,0.474,4,8.9,0.444,2.1,3.8,0.543,3,3.7,0.794,1.8,5.3,7,1.8,2,1.1,1.4,3.1,19,128,109,15.7,0.661,0.698,0.293,3.9,11.7,7.8,5.5,2,2.1,9,14,1,0.4,1.4,0.157,2.1,0.5,2.5,0.5,"$3,540,000 ",Rockets,416,1.1,3.4,4.5,2.7,1.4,4,1.4,3.2,4.6,1.6
DaQuan Jeffries,SG,22,SAC,2,0,11,4.5,4.5,1,0,0,0,4.5,4.5,1,0,0,0,4.5,0,4.5,4.5,0,0,0,4.5,8.9,213,119,12.8,1,0,0,10.2,0,5.2,12.8,0,0,0,4,0,0,0,0.167,2.9,-3,-0.1,0,,Kings,11,-0.6,10.8,10.2,-9.2,21.8,12.6,-2.2,13.5,11.3,0.1
Dario Šarić,PF,25,PHO,17,17,468,6.7,15.8,0.424,3.1,7.9,0.392,3.6,7.9,0.456,1.7,2.1,0.81,2.8,9,11.8,3.4,1.8,0.7,2.5,4.1,18.2,105,107,13.2,0.544,0.5,0.133,6.5,21.6,13.9,10.3,1.8,1.3,13,17.5,0.3,0.6,0.8,0.087,-0.2,1.2,1,0.4,"$3,481,986 ",Suns,468,-1.3,0.8,-0.5,4.2,-1.1,3.1,-0.4,0.5,0.1,0.7
Darius Miller,SF,28,NOP,69,15,1757,5,12.8,0.39,3.5,9.6,0.365,1.5,3.2,0.467,1.5,1.9,0.789,0.4,3,3.4,3.9,1.1,0.6,1.6,4.4,15,110,116,8.4,0.55,0.752,0.147,0.8,6.6,3.8,10.4,1.1,1.1,10.3,13.4,1.1,0.6,1.6,0.045,-0.1,-1.5,-1.7,0.1,"$7,250,000 ",,,,,,,,,,,,
Daryl Macon,SG,24,MIA,3,0,13,3.7,11,0.333,3.7,7.3,0.5,0,3.7,0,0,0,0,0,0,0,3.7,0,0,7.3,3.7,11,65,113,-3,0.5,0.667,0,0,0,0,10.4,0,0,40,16.5,0,0,0,-0.141,-9.5,-5.5,-15,0,,Heat,13,-9.5,-0.2,-9.7,-13.3,22.7,9.4,-10.7,4.1,-6.7,0
Dāvis Bertāns,PF,27,WAS,16,0,441,7.3,16,0.455,5.6,12.7,0.443,1.7,3.3,0.5,1.9,2.2,0.857,1.3,6.4,7.6,3,0.9,0.8,1.1,4.2,22.1,127,117,15.8,0.649,0.792,0.136,2.9,15.4,9,8.3,0.9,1.5,6.3,16.2,1.1,0,1.1,0.121,4.1,-2.1,2,0.4,"$7,000,000 ",Wizards,441,3.7,-1,2.7,3.5,3.1,6.6,3.8,-0.2,3.6,1.4
