Player,AFGM,JS,LU,DUN,TIPIN,JS%,Layup%18,DUN%,2PT_m,3PT_m,FT_m
Ricky Rubio,51.86,72.05,27.95,0,0,0.346,0.554,0,50,27.43,22.57
Paul Millsap,64.06,61.07,28.09,7.02,3.82,0.43,0.511,0.913,60.25,19.59,20.16
Thaddeus Young,59.82,49.58,39,4.64,6.78,0.422,0.613,0.846,76.56,14.94,8.5
Trevor Ariza,76.71,69.81,25,4.1,1.09,0.331,0.492,0.933,34.54,50.41,15.05
Justise Winslow,54.32,69.83,27.37,2,0.8,0.394,0.493,1,54.94,34.7,10.36
Brook Lopez,80.85,82.57,10.05,5.73,1.65,0.398,0.671,0.889,33.3,55.6,11.1
Jeff Green,73.54,72.95,18.57,6.14,2.34,0.385,0.661,0.905,45.44,35.35,19.21
Hassan Whiteside,61.6,40,23.68,21.18,15.15,0.379,0.584,0.965,87.03,0.68,12.29
Wesley Matthews,75.27,86.12,13.3,0,0.57,0.372,0.57,0,30.71,53.57,15.71
Jeff Teague,21.02,66.83,31.01,2.16,0,0.378,0.488,0.889,55.29,20.59,24.12
Joe Ingles,61.84,72.94,26.18,0.37,0.5,0.397,0.586,1,34.21,57.04,8.75
Dion Waiters,58.08,73.22,26.78,0,0,0.38,0.508,0,33.78,62.05,4.17
E'Twaun Moore,76.17,73.12,25.56,0.19,1.13,0.442,0.596,0,56.87,36.02,7.11
Jae Crowder,90.88,76.54,19.82,3.01,0.63,0.338,0.557,0.875,30.49,54.57,14.93
Willie Cauley-Stein,78.27,32.2,37.38,26.47,3.96,0.347,0.493,0.892,85.14,0.32,14.54
JaVale McGee,77.75,32.54,25.08,31.27,11.11,0.385,0.563,0.944,88.94,0.34,10.72
Derrick Favors,76.58,37.96,27.46,24.39,10.18,0.357,0.6,0.907,77.15,5.69,17.17
Bryn Forbes,69.25,87.1,12.26,0.38,0.25,0.443,0.536,0.667,38.26,54.6,7.14
Kent Bazemore,60.43,65.84,30.8,2.34,1.02,0.339,0.502,0.938,46.85,37.07,16.09
D.J. Augustin,37.11,67.36,32.2,0.15,0.3,0.423,0.569,0,39.45,41.46,19.09
Will Barton,57.46,74.27,22.6,1.12,2.01,0.358,0.525,1,47.93,40.29,11.78
Josh Jackson,56.48,61.12,29.49,7.49,1.9,0.368,0.415,0.794,60.22,24.07,15.71
Gordon Hayward,67.57,73.07,21.42,4.09,1.42,0.403,0.596,0.923,53.09,28,18.91
Malik Beasley,86.25,75.34,17.07,7.05,0.54,0.415,0.563,0.865,40.57,53.33,6.11
Reggie Bullock,88.98,85.86,13.13,0.34,0.67,0.39,0.551,1,27.29,62.45,10.27
Kris Dunn,25.12,70.75,26.09,2.77,0.4,0.385,0.47,0.929,69.75,19.65,10.6
Darren Collison,42.53,71.78,27.77,0.15,0.3,0.431,0.557,1,53.69,27.78,18.52
Kentavious Caldwell-Pope,80.95,79.7,16.37,2.84,1.08,0.377,0.595,0.762,37.4,47.85,14.74
Rodney Hood,49.32,85.84,11.92,2.09,0.15,0.41,0.563,0.714,51.68,31.3,17.02
DeMarre Carroll,77.97,73.57,25.39,0.52,0.52,0.343,0.521,1,32.53,42.74,24.73
DeAndre Jordan,71.33,20.18,22.87,40.13,16.82,0.367,0.627,0.855,75.46,0,24.54
Alex Len,78.1,46.72,22.34,20.47,10.47,0.365,0.455,0.87,57.69,25.6,16.71
Fred VanVleet,50,70.17,29.83,0,0,0.378,0.486,0,38.23,47.93,13.84
Trey Burke,25.75,72.19,27.26,0.18,0.37,0.388,0.541,1,57.46,26,16.53
Tristan Thompson,50.25,52.11,23.16,7.11,17.63,0.47,0.557,0.741,85.53,0,14.47
J.J. Barea,22.98,76.62,23.12,0,0.26,0.38,0.539,0,59.28,27.47,13.25
Jarrett Allen,83.28,28.52,32.39,32.39,6.69,0.333,0.554,0.875,75.37,2.06,22.57
Allonzo Trier,34.91,57.53,40.15,1.74,0.58,0.376,0.529,0.889,51.8,22.45,25.76
Tyler Johnson,72.81,78.14,19.58,1.14,1.14,0.35,0.631,0.833,41.03,43.62,15.35
Shai Gilgeous-Alexander,39.76,64.69,32.49,2.4,0.42,0.415,0.565,0.941,64.91,17.49,17.6
Taj Gibson,68.09,38.36,44.13,9.87,7.64,0.427,0.582,0.981,77.82,4.38,17.8
Dewayne Dedmon,85.77,62.55,22.39,11.39,3.67,0.373,0.595,0.932,50.96,36,13.04
Damyean Dotson,70.34,81.66,16.48,1,0.86,0.382,0.565,0.571,42.11,48.52,9.37
Elfrid Payton,44.83,49.13,47.13,2,1.75,0.371,0.476,0.75,65.29,22.07,12.64
Thomas Bryant,80.07,43.03,29.09,23.23,4.65,0.432,0.625,0.93,72.97,12.78,14.25
Dario Saric,83.16,68.51,29.01,1.31,1.17,0.34,0.618,1,43.1,41.43,15.48
Marco Belinelli,81.05,85.07,14.49,0.43,0,0.395,0.51,0.667,33.29,53.2,13.51
Justin Holiday,85.33,81.98,13.13,3.99,0.9,0.344,0.471,0.935,32.21,56.71,11.09
Dwight Powell,86.27,37.37,39.67,19.83,3.13,0.346,0.637,0.937,61.71,14.74,23.55
Monte Morris,56.56,76.98,22.73,0.29,0,0.471,0.563,1,58.93,33.37,7.69
Kenneth Faried,73.08,24.15,40.75,23.02,12.08,0.469,0.509,0.852,77.08,6.25,16.67
Wendell Carter Jr.,78.33,57.68,26.95,11.86,3.5,0.355,0.56,0.955,76.48,3.96,19.56
Danny Green,81.91,85.56,12.38,0.32,1.75,0.449,0.551,1,23.14,72.35,4.51
Wayne Ellington,86.67,88.62,11.16,0.22,0,0.373,0.62,1,17.26,75.42,7.32
Tyreke Evans,41.63,53.03,46.52,0.3,0.15,0.349,0.436,0.5,50.99,32.72,16.29
