Player,Games18,FB,PAINTPTS,TO_PTS,2ND_PTS,Q1PTS,Q2PTS,Q3PTS,Q4PTS,PPP
Luka Doncic,71,2.93,7.92,3.03,2.01,5.93,4.77,5.56,4.7,1.284
Klay Thompson,78,3.54,5.41,2.83,1.44,5.97,6.03,4.85,4.55,1.198
Kelly Oubre Jr.,69,2.83,6.99,2.9,1.91,2.88,4.28,3.26,4.55,1.243
Stephen Curry,69,4.59,5.59,3.84,2.46,7.41,6.71,8.38,4.54,1.404
Dwyane Wade,72,1.42,7.06,2.07,1.42,3.29,3.85,3.29,4.54,1.128
DeMar DeRozan,77,1.44,10.39,2.48,1.35,4.97,5.38,6.21,4.52,1.245
D'Angelo Russell,81,2.41,7.23,2.99,1.56,5.58,4.62,5.9,4.46,1.129
Kevin Durant,78,4.58,8.46,3.62,1.92,8.63,5.29,7.51,4.35,1.466
Walter Lemon Jr.,6,1.33,10,2,1.17,1.67,5.17,3.17,4.33,0.989
John Wall,32,3.09,9.38,3.59,0.91,5.5,5.22,5.22,4.31,1.201
Jamal Murray,74,2.11,6.54,2.19,1.57,4.12,4.61,4.93,4.27,1.156
Jabari Parker,63,1.87,7.71,1.65,1.46,2.67,4.81,2.76,4.16,1.243
Josh Richardson,73,1.64,4.93,2.55,1.26,4.84,3.34,4.1,4.16,1.178
Devin Robinson,7,0.57,4.57,0.29,0.86,0.57,0.29,1.71,4.14,1.469
Kadeem Allen,19,0.42,4.11,1.42,1.16,1.32,2.58,1.95,4.11,1.35
Bogdan Bogdanovic,69,1.7,4.81,1.97,1.2,2.74,4.36,2.72,4.1,1.144
Malik Beasley,81,2.3,3.7,2.09,1.05,2.15,2.94,2.15,4.09,1.243
LaMarcus Aldridge,81,0.8,10.3,2.23,3.49,6.01,5.44,5.59,4.05,1.309
Jonas Valanciunas,49,0.43,10.78,1.84,3.31,4.29,4.14,2.92,4.04,1.418
Buddy Hield,81,4.96,5.43,3.63,2.12,6.42,4.14,6.07,4.04,1.246
Eric Bledsoe,78,3.37,8.33,3.21,1.18,3.65,3.79,4.33,4,1.277
Dusty Hannahs,2,1,3,1,0,0,0,0,4,0.667
Tahjere McCall,1,0,4,4,0,0,0,0,4,1.333
Marcus Derrickson,11,0,0.36,0.73,1.18,0,0.18,0,4,1.394
Marvin Bagley III,61,1.82,9.08,2.39,3.46,3.95,3.36,3.66,3.93,1.3
Lauri Markkanen,52,1.65,7.19,2.31,2.25,4.63,4.54,5.33,3.92,1.225
Caris LeVert,40,1.23,7.75,2.43,1.18,3.3,3.9,2.58,3.88,1.133
Jaylen Brown,74,2.99,6.32,2.61,1.36,2.77,3.7,2.64,3.88,1.217
Chris Paul,58,1.05,3.76,2.72,1.6,3.29,4.34,4.09,3.84,1.258
DeMarcus Cousins,30,1.93,9.47,2.3,1.97,3.67,4.07,4.7,3.83,1.315
Domantas Sabonis,74,0.66,9.59,2.15,2.99,3.32,4.14,2.86,3.77,1.488
Danilo Gallinari,67,1.52,5.22,2.91,1.72,6.19,4.72,5.03,3.75,1.522
Nikola Jokic,79,0.63,11.75,2.01,3.85,6.37,4.73,5.04,3.75,1.338
Malik Monk,73,1.48,2.49,1.44,0.58,1.16,2.77,1.16,3.74,1.114
Tobias Harris,82,2.22,8.59,2.12,2.02,6.67,4.59,4.95,3.74,1.31
T.J. Warren,43,3.67,8.56,4,1.81,5.09,3,5.79,3.72,1.264
Antonio Blakeney,57,0.77,3.16,0.95,0.4,0.96,1.82,0.82,3.72,1.056
Collin Sexton,82,2.49,6.22,2.27,1.16,4.7,3.76,4.52,3.72,1.136
Andre Drummond,78,1.21,13.9,3.1,5.59,5.42,2.92,5.17,3.72,1.309
Gary Payton II,3,1.33,2.67,0.67,0,0,0,0,3.67,1.375
De'Aaron Fox,80,4.34,8.33,3.98,0.7,4.11,4.23,5.21,3.65,1.267
JJ Redick,76,2,2.05,2.09,1.43,5.21,4.88,4.04,3.63,1.336
Khris Middleton,77,2.21,5.69,2.18,1.04,5.3,4.57,4.79,3.61,1.226
Emmanuel Mudiay,59,1.97,6.61,2.1,1.31,3.08,3.61,4.2,3.61,1.178
Alan Williams,5,0,2.8,0,1.6,0,0,0,3.6,1.385
Bojan Bogdanovic,81,3.33,7.16,3.78,1.63,5.32,4.15,4.89,3.57,1.385
Deandre Ayton,71,0.89,11.77,2.27,3.27,4.79,4.46,3.35,3.56,1.332
Malcolm Brogdon,64,2.39,8.09,1.84,1.3,4.17,3.63,4.2,3.52,1.34
Billy Garrett,4,0,4,0,0,2,0.5,0.5,3.5,0.963
Malcolm Miller,10,0.5,0,0.3,0.4,0,0,0,3.5,1.346
Henry Ellenson,19,0.74,1.79,0.58,0.42,0.63,1,0.89,3.47,1.2
Allonzo Trier,64,1.5,4.16,1.69,0.86,1.72,3.47,2.17,3.42,1.342
