,Player,Team,Position(s),Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR
104,Kelly Olynyk,Heat,"PF, C",468,+0.1,+1.1,+1.2,+0.2,+1.8,+2.0,+0.1,+1.2,+1.2,1.0
105,Cody Martin,Hornets,SG,189,-2.1,+8.9,+6.7,-1.8,+6.8,+5.0,-2.2,+9.1,+7.0,0.9
106,James Ennis III,76ers,SF,361,+2.2,-0.1,+2.1,+4.9,-2.1,+2.7,+2.9,-0.6,+2.3,0.9
107,Dwight Howard,Lakers,C,417,+0.2,+1.4,+1.7,+4.1,-2.8,+1.2,+1.0,+0.5,+1.6,0.9
108,Robert Covington,Timberwolves,"SF, PF",492,-0.3,+1.4,+1.1,+3.9,-4.8,-1.0,+0.6,+0.2,+0.8,0.9
109,Nikola Jokic,Nuggets,C,561,+0.5,+0.2,+0.7,+1.5,-1.9,-0.5,+0.7,-0.4,+0.4,0.9
110,Brad Wanamaker,Celtics,"PG, SG",330,+1.9,+1.2,+3.1,-3.3,+3.1,-0.3,+0.9,+1.6,+2.5,0.9
111,Marquese Chriss,Warriors,"PF, C",382,-2.1,+4.1,+2.0,+0.6,-1.9,-1.3,-1.6,+3.3,+1.6,0.9
112,Sterling Brown,Bucks,"SG, SF",255,+0.9,+1.8,+2.7,+1.3,+6.6,+7.9,+1.0,+2.9,+3.8,0.9
113,Dario Saric,Suns,PF,533,-1.4,+1.1,-0.4,+4.0,-0.6,+3.4,-0.4,+0.8,+0.4,0.9
114,Enes Kanter,Celtics,C,197,+3.9,+1.8,+5.6,+4.1,-0.0,+4.0,+4.1,+1.4,+5.6,0.8
115,Mike Conley,Jazz,PG,628,-0.7,+0.2,-0.4,+2.7,-1.9,+0.8,+0.0,-0.2,-0.2,0.8
116,Nemanja Bjelica,Kings,"SF, PF",499,+2.1,-0.3,+1.9,-1.0,-4.9,-5.9,+1.6,-1.3,+0.4,0.8
117,Marc Gasol,Raptors,C,573,-3.0,+1.6,-1.3,+2.8,+2.8,+5.6,-2.0,+1.9,-0.1,0.8
118,Ersan Ilyasova,Bucks,PF,305,+2.1,+2.1,+4.2,-1.4,-4.4,-5.8,+1.4,+0.8,+2.2,0.8
119,Kyrie Irving,Nets,PG,372,+6.7,-4.4,+2.3,+0.6,-4.3,-3.7,+5.9,-4.6,+1.2,0.8
120,JJ Redick,Pelicans,SG,573,+1.9,-2.2,-0.3,+0.3,-0.3,+0.0,+1.6,-1.9,-0.2,0.7
121,Ivica Zubac,Clippers,C,353,+0.3,+1.6,+1.9,-4.3,+3.3,-1.0,-0.7,+2.0,+1.3,0.7
122,Nerlens Noel,Thunder,C,335,-0.7,+4.4,+3.6,-5.3,-2.7,-8.0,-1.7,+3.2,+1.5,0.7
123,Buddy Hield,Kings,SG,641,+0.1,-1.3,-1.2,+4.3,-2.6,+1.7,+1.0,-1.6,-0.6,0.7
124,Ben McLemore,Rockets,SG,423,+0.6,-2.6,-2.1,+11.4,-0.5,+10.9,+2.8,-2.4,+0.4,0.7
125,Patrick Patterson,Clippers,"SF, PF, C",285,+0.0,+1.9,+1.9,+1.5,+0.3,+1.8,+0.3,+1.6,+1.9,0.7
126,Maxi Kleber,Mavericks,PF,476,-0.6,+1.1,+0.4,-6.6,+5.1,-1.5,-2.0,+2.0,+0.0,0.7
127,Daniel Theis,Celtics,C,346,-3.6,+4.1,+0.6,-2.5,+5.8,+3.2,-3.6,+4.6,+1.0,0.7
128,Solomon Hill,Grizzlies,SF,339,+0.8,-1.1,-0.2,+3.7,+2.0,+5.6,+1.5,-0.4,+1.1,0.7
129,Devin Booker,Suns,"PG, SG",676,+2.3,-3.3,-1.0,+6.5,-6.3,+0.2,+3.2,-4.1,-0.9,0.7
130,Dwight Powell,Mavericks,"PF, C",436,-1.5,+0.3,-1.3,+7.5,-1.2,+6.2,+0.2,-0.0,+0.2,0.7
131,Gordon Hayward,Celtics,SF,249,+2.2,-1.6,+0.6,+3.4,+5.7,+9.1,+2.5,-0.2,+2.3,0.6
132,DeAndre' Bembry,Hawks,"SG, SF",546,-1.0,+1.2,+0.1,-7.8,+4.8,-2.9,-2.5,+2.1,-0.5,0.6
133,Mitchell Robinson,Knicks,C,348,+1.2,+0.4,+1.6,-2.0,-1.0,-3.0,+0.7,+0.2,+0.9,0.6
134,Matisse Thybulle,76ers,SF,312,-2.2,+5.6,+3.4,-8.7,+1.2,-7.5,-3.7,+4.9,+1.2,0.6
135,Justise Winslow,Heat,"PG, SG, SF",305,-1.7,+1.2,-0.5,+1.7,+6.8,+8.5,-1.1,+2.4,+1.3,0.6
136,Jonas Valanciunas,Grizzlies,C,444,-0.7,+0.9,+0.2,-1.8,+0.3,-1.4,-0.9,+0.9,+0.0,0.6
137,Zach LaVine,Bulls,"PG, SG",677,+0.5,+0.3,+0.8,+1.4,-9.6,-8.2,+0.8,-1.8,-0.9,0.6
138,Goran Dragic,Heat,PG,517,+3.4,-2.2,+1.2,+0.9,-7.9,-7.0,+3.1,-3.5,-0.4,0.6
139,Jordan Clarkson,Cavaliers,SG,448,+3.6,-3.0,+0.6,-3.1,+0.1,-3.0,+2.4,-2.5,-0.1,0.6
140,Taurean Prince,Nets,"SF, PF",605,-1.7,+0.2,-1.5,+4.6,-2.3,+2.3,-0.5,-0.3,-0.8,0.6
141,Josh Hart,Pelicans,SG,393,+0.5,-0.3,+0.2,-4.9,+4.7,-0.1,-0.6,+0.8,+0.2,0.6
142,Hamidou Diallo,Thunder,SG,256,-2.2,+2.9,+0.7,-1.2,+6.5,+5.2,-2.1,+3.8,+1.7,0.6
143,Tony Bradley,Jazz,"PF, C",150,+1.1,+5.6,+6.7,-3.8,+0.7,-3.2,+0.2,+4.7,+4.9,0.6
144,Garrett Temple,Nets,"SG, SF",538,+0.4,-0.8,-0.4,-3.4,+2.1,-1.3,-0.4,-0.2,-0.7,0.6
145,Rudy Gay,Spurs,PF,511,+0.1,-1.2,-1.1,-0.8,+2.4,+1.6,-0.1,-0.4,-0.6,0.6
146,JaMychal Green,Clippers,PF,464,-0.8,-0.2,-1.0,+0.9,+2.1,+3.0,-0.5,+0.2,-0.3,0.6
147,Michael Carter-Williams,Magic,PG,162,-1.3,+5.4,+4.1,+0.1,+2.8,+2.9,-1.0,+5.1,+4.1,0.6
148,Wendell Carter Jr.,Bulls,C,616,-2.0,-1.0,-3.0,+5.6,+1.9,+7.5,-0.5,-0.5,-0.9,0.6
149,John Collins,Hawks,PF,161,+2.7,+0.6,+3.3,-5.4,+11.0,+5.5,+1.2,+2.8,+4.0,0.6
150,Isaac Bonga,Wizards,"PG, SG, SF",216,-0.5,+1.2,+0.7,+0.0,+7.4,+7.4,-0.4,+2.7,+2.3,0.6
151,Mason Plumlee,Nuggets,"PF, C",297,-1.6,+3.4,+1.8,-4.3,+1.7,-2.6,-2.3,+3.1,+0.8,0.5
152,Josh Okogie,Timberwolves,SG,410,-2.1,+1.7,-0.4,-5.2,+6.1,+0.9,-2.8,+2.7,-0.1,0.5
