,Player,Team,Position(s),Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR
421,Marko Guduric,Grizzlies,"SG, SF",313,-2.5,-2.7,-5.2,-0.6,-2.1,-2.7,-2.2,-2.7,-4.9,-0.3
422,Carsen Edwards,Celtics,SG,192,-3.7,-0.2,-4.0,-14.1,+0.0,-14.1,-6.2,-0.3,-6.4,-0.4
423,Allen Crabbe,Hawks,SG,189,-1.4,-3.9,-5.3,-10.7,+0.4,-10.3,-3.4,-3.2,-6.6,-0.4
424,Thomas Bryant,Wizards,C,511,-2.3,-0.5,-2.7,-3.9,-5.9,-9.7,-2.8,-1.5,-4.3,-0.4
425,Nicolo Melli,Pelicans,"PF, C",311,-1.5,-2.7,-4.2,-4.3,-4.3,-8.7,-2.2,-3.1,-5.3,-0.4
426,DeMar DeRozan,Spurs,SG,747,+1.2,-3.5,-2.4,-2.6,-6.2,-8.8,+0.4,-4.3,-3.9,-0.4
427,Markieff Morris,Pistons,PF,473,-0.6,-3.6,-4.2,-2.6,-2.1,-4.6,-1.1,-3.4,-4.5,-0.4
428,Kevin Huerter,Hawks,SG,225,-0.4,-6.2,-6.6,-3.4,-1.4,-4.7,-1.0,-5.5,-6.5,-0.4
429,Allonzo Trier,Knicks,SG,136,-0.9,-6.8,-7.7,-9.7,-2.6,-12.2,-2.7,-6.3,-9.0,-0.4
430,Joe Ingles,Jazz,SF,578,-1.3,-1.8,-3.1,-8.3,+0.5,-7.8,-2.8,-1.4,-4.3,-0.4
431,Shake Milton,76ers,SG,70,-12.4,-3.0,-15.4,-12.1,+1.9,-10.2,-13.1,-2.2,-15.4,-0.5
432,Furkan Korkmaz,76ers,SG,459,-1.0,-2.7,-3.7,-2.9,-4.5,-7.4,-1.5,-3.3,-4.7,-0.5
433,Treveon Graham,Timberwolves,"SG, SF",439,-3.5,+0.9,-2.6,-5.9,-6.8,-12.6,-4.2,-0.7,-4.9,-0.5
434,Emmanuel Mudiay,Jazz,"PG, SG",280,-4.3,-3.0,-7.2,-3.2,+3.6,+0.4,-4.3,-1.8,-6.1,-0.5
435,Anthony Tolliver,Trail Blazers,PF,271,-3.6,-1.0,-4.6,-6.1,-4.9,-11.0,-4.3,-1.9,-6.2,-0.5
436,Jarrett Culver,Timberwolves,"PG, SG, SF",450,-4.2,-2.0,-6.2,-0.6,+2.1,+1.5,-3.7,-1.3,-5.0,-0.5
437,Russell Westbrook,Rockets,PG,614,-1.4,-2.5,-3.9,-4.2,-0.6,-4.8,-2.1,-2.3,-4.4,-0.5
438,Bryn Forbes,Spurs,SG,600,+1.2,-5.1,-3.9,-0.7,-5.4,-6.1,+0.9,-5.5,-4.5,-0.5
439,Dennis Smith Jr.,Knicks,PG,250,-3.9,-1.8,-5.7,-7.4,-5.8,-13.2,-4.8,-2.7,-7.5,-0.6
440,Cody Zeller,Hornets,"PF, C",456,-0.7,-3.4,-4.1,-3.7,-6.3,-10.0,-1.3,-4.1,-5.4,-0.6
441,Frank Kaminsky,Suns,PF,449,-2.2,-2.6,-4.8,-4.2,-2.3,-6.6,-2.8,-2.7,-5.5,-0.6
442,Jerami Grant,Nuggets,"SF, PF",400,-1.3,-2.4,-3.7,-9.2,-4.2,-13.4,-3.0,-3.0,-6.0,-0.7
443,Luke Kornet,Bulls,"PF, C",126,-5.5,-8.4,-13.9,+0.4,-6.5,-6.1,-4.5,-8.6,-13.1,-0.7
444,Mo Bamba,Magic,C,276,-6.4,-1.4,-7.8,-7.8,+3.9,-3.9,-7.1,-0.5,-7.5,-0.7
445,Isaiah Thomas,Wizards,PG,424,+0.5,-6.0,-5.5,+2.0,-7.6,-5.6,+0.8,-6.6,-5.8,-0.7
446,Dwayne Bacon,Hornets,"SG, SF",334,-6.6,-0.4,-7.1,-6.9,+2.6,-4.3,-7.0,+0.2,-6.8,-0.7
447,Kyle Kuzma,Lakers,PF,380,-4.5,-2.4,-6.9,-1.7,-1.2,-2.8,-4.2,-2.4,-6.6,-0.7
448,Frank Jackson,Pelicans,PG,296,-1.2,-6.4,-7.6,+1.7,-7.5,-5.8,-0.7,-7.0,-7.7,-0.7
449,Tyler Johnson,Suns,"PG, SG",360,-3.0,-2.6,-5.6,-10.9,-0.2,-11.1,-4.9,-2.2,-7.1,-0.8
450,Kevin Knox II,Knicks,"SF, PF",402,-1.5,-4.1,-5.7,-6.1,-3.9,-10.0,-2.5,-4.3,-6.8,-0.8
451,Cam Reddish,Hawks,SF,430,-5.2,-0.2,-5.3,-11.4,+1.5,-9.9,-6.8,+0.2,-6.5,-0.8
452,Rui Hachimura,Wizards,PF,532,-0.9,-4.2,-5.1,+2.1,-9.5,-7.4,-0.4,-5.5,-5.9,-0.8
453,Eric Paschall,Warriors,PF,666,-0.7,-4.9,-5.7,+1.6,-5.3,-3.7,-0.2,-5.2,-5.5,-0.9
454,Jordan Poole,Warriors,"PG, SG",559,-4.2,-2.1,-6.3,-5.3,+1.8,-3.5,-4.6,-1.4,-6.0,-0.9
455,Lauri Markkanen,Bulls,PF,618,-2.4,-3.3,-5.7,-5.0,-0.0,-5.0,-3.0,-2.9,-5.9,-1.0
456,Kevin Porter Jr.,Cavaliers,SG,389,-2.4,-4.0,-6.4,-9.2,-4.3,-13.5,-4.0,-4.2,-8.2,-1.1
457,Eric Gordon,Rockets,"SG, SF",265,-6.4,-5.6,-12.0,-3.7,-7.6,-11.3,-6.3,-6.4,-12.6,-1.3
458,Miles Bridges,Hornets,"SF, PF",687,-1.6,-3.3,-4.8,-2.8,-10.7,-13.5,-1.9,-4.9,-6.8,-1.4
459,Darius Garland,Cavaliers,PG,563,-4.1,-3.6,-7.7,-1.8,-6.2,-8.1,-3.8,-4.3,-8.2,-1.6
