,Player18,Pos18,Age18,Tm18,G18,GS18,MP18,FG18,FGA18,FG%18,3P18,3PA18,3P%18,2P18,2PA18,2P%18,FT18,FTA18,FT%18,ORB18,DRB18,TRB18,AST18,STL18,BLK18,TOV18,PF18,PTS18,ORtg18,DRtg18,PER18,TS%18,3PAr18,FTr18,ORB%18,DRB%18,TRB%18,AST%18,STL%18,BLK%18,TOV%18,USG%18,OWS18,DWS18,WS18,WS/4818,OBPM18,DBPM18,BPM18,VORP18,Games1818,FB18,PAINTPTS18,TO_PTS18,2ND_PTS18,Q1PTS18,Q2PTS18,Q3PTS18,Q4PTS18,PPP18,>8ft%18,8-16ft%18,16-24ft%18,24+%18,BCS%18,>8FTU18,8-16FTU18,16-24FTU18,24+U18,BCU18,AVGDISTA18,AVGDISTM18,AVGDISTF18,AFGM18,JS18,LU18,DUN18,TIPIN18,JS%18,Layup%1818,DUN%18,2PT_m18,3PT_m18,FT_m18,AB_3U18,MRU18,paint_nonra18,ra_usage18,RC_318,LC_318,backcourt_usage18,AB3%18,MR%18,paint_nonra%18,RA%18,RC3%18,LC3%18,BC%18, 18, .118,Player
261,Jonas Jerebko,PF,31.0,GSW,73.0,6.0,1218.0,6.4,13.9,0.45899999999999996,2.7,7.3,0.36700000000000005,3.7,6.5,0.563,2.5,3.1,0.8,2.8,8.4,11.2,3.7,1.1,0.7,1.7,5.4,17.9,120.0,111.0,13.5,0.588,0.53,0.225,6.6,18.1,12.6,10.1,1.1,1.2,9.9,15.2,2.1,1.2,3.3,0.13,0.6,-0.6,0.0,0.6,73.0,1.08,2.03,1.11,1.21,1.26,1.73,1.07,2.16,1.2930000000000001,0.595,0.5,0.469,0.366,1.0,32.68,5.63,9.01,52.39,0.28,16.19,13.76,18.26,86.5,71.55,19.15,3.1,6.2,0.406,0.574,1.0,40.96,45.1,13.94,37.75,11.83,6.48,29.01,6.76,7.89,0.28,0.358,0.47600000000000003,0.478,0.612,0.5,0.28600000000000003,1.0,0.0,0.0,Jonas Jerebko
262,Alize Johnson,PF,22.0,IND,14.0,0.0,64.0,3.1,12.2,0.25,0.8,1.5,0.5,2.3,10.7,0.214,3.1,6.1,0.5,3.1,11.5,14.5,0.8,0.8,2.3,0.0,5.4,9.9,86.0,105.0,6.3,0.33299999999999996,0.125,0.5,7.1,25.5,16.5,2.0,0.8,4.2,0.0,13.3,-0.1,0.1,0.0,0.027000000000000003,-8.3,0.2,-8.1,-0.1,14.0,0.0,0.43,0.14,0.5,0.29,0.14,0.07,0.43,0.812,0.28600000000000003,0.2,0.0,0.5,0.0,43.75,31.25,12.5,12.5,0.0,9.19,8.0,9.58,25.0,68.75,25.0,0.0,6.25,0.182,0.25,0.0,46.15,23.08,30.77,6.25,31.25,18.75,37.5,0.0,6.25,0.0,0.0,0.0,0.33299999999999996,0.33299999999999996,0.0,1.0,0.0,0.0,0.0,Alize Johnson
263,Amir Johnson,C,31.0,PHI,51.0,6.0,529.0,7.1,14.0,0.503,1.1,3.6,0.3,6.0,10.4,0.573,2.8,3.7,0.7559999999999999,4.2,8.9,13.1,5.4,1.4,1.2,4.0,8.8,17.9,109.0,109.0,13.1,0.574,0.255,0.261,9.7,19.5,14.7,16.0,1.4,1.9,20.5,17.4,0.4,0.7,1.1,0.098,-1.4,0.6,-0.7,0.2,51.0,0.25,2.55,0.53,0.76,0.8,0.76,0.86,1.51,1.28,0.61,0.222,0.33299999999999996,0.308,0.0,66.88,5.73,1.91,24.84,0.64,9.12,5.97,12.31,73.42,51.59,31.21,8.28,8.92,0.37,0.6940000000000001,0.846,66.67,17.91,15.42,20.38,2.55,24.2,47.77,2.55,1.91,0.64,0.344,0.5,0.342,0.693,0.25,0.0,0.0,0.0,0.0,Amir Johnson
265,James Johnson,PF,31.0,MIA,55.0,33.0,1164.0,6.9,15.9,0.433,2.1,6.3,0.336,4.8,9.7,0.496,2.1,2.9,0.7140000000000001,0.9,6.5,7.4,5.7,1.5,1.1,3.1,4.8,18.0,102.0,108.0,10.9,0.522,0.39299999999999996,0.185,2.0,14.1,8.0,17.0,1.5,2.1,15.3,17.8,0.0,1.5,1.5,0.062,-2.5,0.9,-1.6,0.1,55.0,0.4,3.89,1.04,0.45,2.29,1.44,2.64,1.42,1.129,0.568,0.25,0.267,0.34700000000000003,0.0,46.44,10.55,3.96,37.99,1.06,12.75,9.6,15.15,62.2,62.53,29.02,6.33,2.11,0.33799999999999997,0.536,0.875,53.27,35.05,11.68,26.65,7.92,17.41,35.62,7.39,4.22,0.79,0.327,0.233,0.364,0.615,0.35700000000000004,0.43799999999999994,0.0,0.0,0.0,James Johnson
266,Stanley Johnson,SF,22.0,TOT,66.0,7.0,1208.0,6.9,17.7,0.389,2.5,8.7,0.28800000000000003,4.4,9.1,0.484,2.0,2.6,0.7809999999999999,1.4,7.4,8.7,3.5,2.4,0.6,3.3,4.6,18.3,94.0,108.0,9.6,0.485,0.489,0.145,3.0,16.9,9.7,10.6,2.4,1.0,14.7,19.4,-1.1,1.6,0.5,0.021,-3.2,0.6,-2.6,-0.2,65.0,1.05,2.95,1.08,0.86,1.11,2.4,0.86,2.49,1.025,0.512,0.439,0.28600000000000003,0.28800000000000003,0.0,38.62,9.43,3.22,47.82,0.92,14.87,11.59,16.94,54.17,66.9,30.11,1.15,1.84,0.33,0.489,1.0,48.43,40.36,11.21,31.26,7.82,14.71,28.74,9.43,7.36,0.69,0.287,0.353,0.516,0.504,0.293,0.281,0.0,0.0,0.0,Stanley Johnson
267,Tyler Johnson,PG,26.0,TOT,57.0,22.0,1529.0,6.9,16.7,0.413,2.9,8.3,0.34600000000000003,4.0,8.4,0.47700000000000004,3.0,4.0,0.748,1.1,4.4,5.5,5.3,1.7,0.9,2.4,3.1,19.7,107.0,111.0,12.4,0.532,0.494,0.24100000000000002,2.4,9.8,6.1,15.9,1.7,1.6,11.7,18.5,0.9,1.4,2.3,0.071,-0.6,-0.4,-1.0,0.4,57.0,1.14,3.96,1.39,1.0,2.19,2.95,2.46,3.26,1.177,0.562,0.392,0.258,0.344,0.0,30.8,14.07,5.89,49.24,0.0,15.69,13.24,17.41,72.81,78.14,19.58,1.14,1.14,0.35,0.631,0.833,41.03,43.62,15.35,39.16,9.89,19.2,21.67,5.51,4.56,0.0,0.359,0.28800000000000003,0.406,0.632,0.207,0.375,0.0,0.0,0.0,Tyler Johnson
268,Wesley Johnson,SF,31.0,TOT,38.0,13.0,534.0,3.9,11.2,0.35200000000000004,2.2,6.7,0.32899999999999996,1.8,4.6,0.385,1.1,1.7,0.684,1.1,5.3,6.3,2.0,1.2,1.1,1.6,5.5,11.2,94.0,115.0,5.5,0.469,0.594,0.14800000000000002,2.4,11.7,7.1,5.3,1.2,1.9,11.7,12.0,-0.3,0.3,0.0,0.001,-3.6,-0.7,-4.3,-0.3,38.0,0.32,0.63,0.37,0.42,0.74,1.13,0.95,0.55,1.0,0.688,0.083,0.36,0.32,0.0,12.5,9.38,19.53,58.59,0.0,19.03,17.09,20.08,80.0,89.06,8.59,2.34,0.0,0.307,0.636,1.0,31.25,58.59,10.16,25.0,26.56,4.69,10.16,14.06,19.53,0.0,0.469,0.265,0.33299999999999996,0.769,0.16699999999999998,0.24,0.0,0.0,0.0,Wesley Johnson
270,Damian Jones,C,23.0,GSW,24.0,22.0,410.0,6.1,8.6,0.716,0.0,0.0,0.0,6.1,8.6,0.716,2.8,4.3,0.649,3.6,5.1,8.7,3.2,1.4,2.9,1.9,7.3,15.1,137.0,109.0,15.3,0.72,0.0,0.5,8.4,11.0,9.8,8.7,1.4,5.1,15.1,11.1,1.0,0.5,1.5,0.17300000000000001,0.5,2.5,3.0,0.5,24.0,0.25,4.25,0.54,0.75,2.42,0.29,1.96,0.75,1.757,0.7390000000000001,0.0,0.5,0.0,0.0,93.24,1.35,5.41,0.0,0.0,2.49,1.91,3.95,88.68,10.81,36.49,48.65,4.05,0.5,0.48100000000000004,0.9440000000000001,81.54,0.0,18.46,0.0,5.41,9.46,85.14,0.0,0.0,0.0,0.0,0.5,0.28600000000000003,0.778,0.0,0.0,0.0,0.0,0.0,Damian Jones
272,Jalen Jones,SF,25.0,CLE,16.0,0.0,214.0,6.0,14.4,0.419,2.3,6.5,0.35700000000000004,3.7,7.9,0.47100000000000003,4.4,6.3,0.7040000000000001,2.6,5.3,7.9,1.6,2.1,0.5,1.9,6.3,18.8,111.0,117.0,11.7,0.5479999999999999,0.452,0.435,5.5,12.5,8.8,4.8,2.1,0.8,9.8,16.7,0.2,0.1,0.3,0.055999999999999994,-1.2,-2.2,-3.4,-0.1,16.0,0.69,1.88,1.25,1.25,0.75,1.44,1.19,1.69,1.306,0.583,0.28600000000000003,0.0,0.35700000000000004,0.0,38.71,11.29,4.84,45.16,0.0,14.27,11.42,16.33,53.85,70.97,19.35,4.84,4.84,0.318,0.583,1.0,39.51,37.04,23.46,32.26,8.06,20.97,25.81,6.45,6.45,0.0,0.35,0.2,0.308,0.688,0.5,0.25,0.0,0.0,0.0,Jalen Jones
273,Jemerrio Jones,SF,23.0,LAL,6.0,2.0,143.0,3.9,10.7,0.364,0.7,3.3,0.2,3.3,7.5,0.435,0.3,0.7,0.5,5.2,10.7,15.9,4.2,2.3,1.6,1.6,3.3,8.8,102.0,105.0,12.1,0.39799999999999996,0.303,0.061,11.8,23.4,17.7,11.4,2.3,2.9,12.9,11.3,0.0,0.2,0.2,0.084,-2.9,3.7,0.8,0.1,6.0,1.83,3.33,1.33,1.67,0.0,1.83,1.67,1.0,0.818,0.5,0.0,0.0,0.2,0.0,60.61,6.06,3.03,30.3,0.0,10.03,4.75,13.05,66.67,45.45,39.39,3.03,12.12,0.133,0.5379999999999999,1.0,74.07,22.22,3.7,30.3,9.09,9.09,51.52,0.0,0.0,0.0,0.2,0.0,0.0,0.588,0.0,0.0,0.0,0.0,0.0,Jemerrio Jones
274,Terrence Jones,PF,27.0,HOU,2.0,0.0,5.0,9.8,39.2,0.25,0.0,19.6,0.0,9.8,19.6,0.5,0.0,9.8,0.0,0.0,39.2,39.2,0.0,0.0,0.0,9.8,9.8,19.6,38.0,95.0,-15.8,0.225,0.5,0.25,0.0,90.3,44.2,0.0,0.0,0.0,18.4,47.2,-0.1,0.0,-0.1,-0.6609999999999999,-36.1,-16.2,-52.3,-0.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,13.25,1.0,17.33,100.0,75.0,25.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,Terrence Jones
275,Tyus Jones,PG,22.0,MIN,68.0,23.0,1560.0,5.7,13.7,0.415,1.2,3.9,0.317,4.5,9.8,0.45299999999999996,1.8,2.1,0.841,0.7,3.4,4.1,10.0,2.5,0.2,1.4,2.4,14.4,116.0,114.0,13.7,0.491,0.28300000000000003,0.155,1.6,7.7,4.6,28.3,2.5,0.3,9.0,14.1,2.1,0.9,3.0,0.091,-0.3,-1.5,-1.8,0.1,67.0,0.88,3.34,1.31,0.51,1.67,2.0,1.4,1.72,1.041,0.525,0.375,0.396,0.303,0.0,37.07,23.8,10.98,27.92,0.23,12.64,10.61,14.07,31.11,74.6,24.71,0.0,0.69,0.368,0.537,0.0,62.86,24.4,12.75,21.51,19.68,27.92,24.26,3.66,2.75,0.23,0.27699999999999997,0.36,0.434,0.557,0.563,0.16699999999999998,0.0,0.0,0.0,Tyus Jones
276,DeAndre Jordan,C,30.0,TOT,69.0,69.0,2047.0,6.8,10.6,0.6409999999999999,0.0,0.0,0.0,6.8,10.6,0.6409999999999999,4.4,6.2,0.705,5.3,16.0,21.3,3.7,1.0,1.7,3.6,4.0,17.9,122.0,106.0,19.0,0.674,0.0,0.5920000000000001,11.7,35.2,23.5,11.6,1.0,3.0,21.4,15.0,4.0,3.1,7.1,0.16699999999999998,-0.9,3.3,2.4,2.3,69.0,0.88,8.26,1.3,2.96,3.32,2.7,3.03,1.88,1.7,0.665,0.133,0.0,0.0,0.0,95.74,3.36,0.9,0.0,0.0,1.61,0.95,2.79,71.33,20.18,22.87,40.13,16.82,0.36700000000000005,0.627,0.855,75.46,0.0,24.54,0.0,2.02,10.09,87.89,0.0,0.0,0.0,0.0,0.111,0.37799999999999995,0.684,0.0,0.0,0.0,0.0,0.0,DeAndre Jordan
277,Cory Joseph,PG,27.0,IND,82.0,9.0,2063.0,5.4,13.0,0.41200000000000003,1.3,4.1,0.322,4.1,8.9,0.45399999999999996,0.7,1.0,0.698,0.9,5.7,6.6,7.6,2.2,0.5,1.9,3.1,12.7,105.0,107.0,11.0,0.474,0.312,0.078,2.1,12.6,7.5,20.7,2.2,0.9,12.4,13.7,0.5,2.9,3.5,0.081,-2.0,1.4,-0.5,0.8,82.0,0.74,2.41,1.15,0.61,1.39,2.12,1.37,1.67,0.98,0.507,0.465,0.377,0.32299999999999995,0.25,24.82,23.18,20.8,30.47,0.73,15.22,13.17,16.66,42.92,81.2,18.61,0.0,0.18,0.375,0.578,0.0,63.69,30.73,5.59,23.36,33.76,17.52,17.52,4.01,3.1,0.73,0.32,0.389,0.43799999999999994,0.594,0.273,0.41200000000000003,0.25,0.0,0.0,Cory Joseph
278,Frank Kaminsky,C,25.0,CHO,47.0,0.0,755.0,8.9,19.2,0.46299999999999997,3.2,9.0,0.36,5.7,10.2,0.5529999999999999,5.1,6.9,0.738,2.5,8.0,10.5,4.1,0.8,0.8,2.6,4.4,26.1,115.0,114.0,16.8,0.5870000000000001,0.466,0.359,5.5,18.1,11.7,12.9,0.8,1.4,10.6,22.1,1.3,0.5,1.8,0.114,1.1,-1.9,-0.9,0.2,47.0,0.47,3.62,1.17,0.89,1.34,2.62,1.83,2.83,1.359,0.622,0.375,0.0,0.36,0.0,42.62,8.05,2.68,46.64,0.0,14.17,11.12,16.8,81.88,68.79,28.86,1.34,1.01,0.395,0.593,1.0,43.46,37.04,19.51,42.62,6.04,17.11,30.2,2.01,2.01,0.0,0.386,0.16699999999999998,0.51,0.6559999999999999,0.16699999999999998,0.0,0.0,0.0,0.0,Frank Kaminsky
279,Enes Kanter,C,26.0,TOT,67.0,31.0,1640.0,11.0,20.1,0.5489999999999999,0.3,1.0,0.294,10.7,19.1,0.562,4.6,5.8,0.787,7.6,11.8,19.4,3.4,0.9,0.8,3.5,4.9,26.9,118.0,111.0,22.3,0.594,0.05,0.28800000000000003,16.4,26.1,21.1,12.1,0.9,1.3,13.3,23.1,3.9,1.6,5.4,0.159,1.5,-0.2,1.3,1.4,67.0,0.73,10.48,1.54,4.16,3.63,4.12,3.63,2.25,1.34,0.597,0.28600000000000003,0.35,0.294,0.0,83.89,8.2,2.93,4.98,0.0,4.17,2.74,5.91,50.93,35.29,50.81,3.37,10.54,0.344,0.6829999999999999,0.9129999999999999,79.78,3.28,16.94,4.83,7.47,17.13,70.42,0.15,0.0,0.0,0.273,0.275,0.368,0.64,1.0,0.0,0.0,0.0,0.0,Enes Kanter
280,Luke Kennard,SG,22.0,DET,63.0,10.0,1437.0,7.8,17.8,0.43799999999999994,3.6,9.2,0.39399999999999996,4.2,8.6,0.486,1.7,2.1,0.836,0.4,5.9,6.3,3.9,0.9,0.3,2.0,3.2,21.0,110.0,112.0,11.9,0.56,0.517,0.11699999999999999,0.9,13.5,7.0,12.3,0.9,0.6,9.4,18.1,1.3,1.3,2.5,0.085,-0.5,-1.0,-1.5,0.2,62.0,1.9,2.23,1.58,0.52,1.76,3.61,1.26,3.1,1.1840000000000002,0.5670000000000001,0.486,0.41200000000000003,0.397,0.0,17.61,14.09,16.63,51.27,0.39,18.36,16.92,19.49,67.11,87.08,12.33,0.2,0.39,0.409,0.667,1.0,40.0,51.57,8.43,41.29,23.48,12.72,12.13,5.09,4.89,0.39,0.384,0.433,0.446,0.645,0.423,0.48,0.0,0.0,0.0,Luke Kennard
281,Michael Kidd-Gilchrist,PF,25.0,CHO,64.0,3.0,1179.0,6.5,13.7,0.47600000000000003,0.7,1.9,0.34,5.9,11.8,0.498,3.9,5.1,0.772,3.6,6.5,10.1,2.5,1.3,1.6,1.8,6.4,17.6,115.0,112.0,13.3,0.5529999999999999,0.142,0.37,7.9,14.8,11.3,7.4,1.3,2.9,10.0,15.7,1.5,1.0,2.5,0.1,-1.7,0.4,-1.3,0.2,64.0,0.81,3.72,1.3,1.28,2.06,1.33,1.89,1.39,1.286,0.545,0.341,0.382,0.37200000000000005,0.0,63.55,12.35,10.24,12.95,0.9,8.48,6.44,10.34,70.25,47.59,45.48,3.92,3.01,0.392,0.517,0.9229999999999999,66.51,11.24,22.25,4.22,15.96,20.78,49.4,5.12,3.61,0.9,0.214,0.434,0.348,0.579,0.47100000000000003,0.41700000000000004,0.0,0.0,0.0,Michael Kidd-Gilchrist
282,George King,SF,25.0,PHO,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,1.9,0.0,0.0,0.0,0.0,18.8,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,-8.8,-1.8,-10.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,George King
