Player,AB_3U,MRU,paint_nonra,ra_usage,RC_3,LC_3,backcourt_usage,AB3%,MR%,paint_nonra%,RA%,RC3%,LC3%,BC%
Derrick Favors,2.1,8.89,15.83,62.84,5.65,4.68,0,0.308,0.382,0.449,0.722,0.2,0.207,0
Bryn Forbes,45.64,22.5,13.4,11.88,2.53,3.67,0.38,0.41,0.472,0.443,0.574,0.55,0.586,0
Kent Bazemore,26.57,14.16,11.24,31.24,7.3,8.91,0.58,0.324,0.423,0.221,0.579,0.34,0.328,0
D.J. Augustin,37.08,10.49,13.59,29.99,2.81,5.47,0.59,0.406,0.465,0.337,0.606,0.474,0.541,0
Will Barton,36.47,11.63,20.36,25.73,2.91,2.46,0.45,0.344,0.385,0.363,0.548,0.385,0.364,0
Josh Jackson,18.19,15.46,21.28,36.5,3.69,4.64,0.24,0.359,0.385,0.374,0.511,0.323,0.205,0
Gordon Hayward,25.2,21.89,15.75,26.14,5.98,5.04,0,0.306,0.432,0.53,0.639,0.368,0.438,0
Malik Beasley,42.82,11.92,10.16,23.71,3.79,7.45,0.14,0.392,0.432,0.453,0.663,0.571,0.382,0
Reggie Bullock,48.48,12.96,7.58,13.3,6.57,11.11,0,0.365,0.532,0.2,0.595,0.385,0.424,0
Kris Dunn,15.22,23.32,28.46,29.25,2.17,1.58,0,0.351,0.381,0.403,0.527,0.364,0.375,0
Darren Collison,18.97,35.81,8.04,27.01,5.31,4.7,0.15,0.344,0.462,0.34,0.579,0.571,0.484,0
Kentavious Caldwell-Pope,41.14,16.64,6.09,20.16,7.04,8.8,0.14,0.319,0.48,0.378,0.631,0.365,0.446,0
Rodney Hood,24.89,29.06,21.61,14.31,4.17,5.81,0.15,0.335,0.446,0.434,0.615,0.5,0.333,0
DeMarre Carroll,37.04,6.96,15.13,24.17,9.57,7.13,0,0.333,0.35,0.299,0.59,0.291,0.439,0
DeAndre Jordan,0,2.02,10.09,87.89,0,0,0,0,0.111,0.378,0.684,0,0,0
Alex Len,15.17,4.9,10.58,53.08,9.95,6.16,0.16,0.365,0.29,0.328,0.622,0.365,0.333,0
Fred VanVleet,39.83,15.17,7.5,28,4.67,4.67,0.17,0.356,0.396,0.244,0.518,0.536,0.429,0
Trey Burke,23.94,27.44,18.6,25.23,1.66,2.58,0.55,0.362,0.416,0.396,0.562,0.333,0.286,0
Tristan Thompson,0,8.16,39.74,52.11,0,0,0,0,0.387,0.477,0.591,0,0,0
J.J. Barea,31.43,19.22,23.12,24.42,0.78,1.04,0,0.298,0.514,0.337,0.585,0.333,0.25,0
Jarrett Allen,0.53,1.23,16.02,75,2.99,4.23,0,0,0.286,0.341,0.695,0.118,0.167,0
Allonzo Trier,21.24,24.13,9.46,40.93,2.12,2.12,0,0.4,0.376,0.306,0.557,0.455,0.273,0
Tyler Johnson,39.16,9.89,19.2,21.67,5.51,4.56,0,0.359,0.288,0.406,0.632,0.207,0.375,0
Shai Gilgeous-Alexander,9.92,21.95,23.94,34.7,4.82,4.53,0.14,0.357,0.465,0.373,0.608,0.412,0.375,0
Taj Gibson,1.12,12.29,19.18,62.38,1.68,3.17,0.19,0.167,0.439,0.408,0.663,0.556,0.294,0
Dewayne Dedmon,27.8,8.3,13.71,37.07,9.85,3.28,0,0.354,0.395,0.352,0.682,0.412,0.471,0
Damyean Dotson,39.97,25.93,6.88,18.34,4.01,4.73,0.14,0.351,0.448,0.208,0.57,0.393,0.515,0
Elfrid Payton,23.19,2.74,23.69,48.63,1.25,0.25,0.25,0.323,0.455,0.379,0.523,0.2,0,0
Thomas Bryant,16.97,13.94,12.12,54.75,1.21,1.01,0,0.357,0.449,0.45,0.797,0.167,0.2,0
Dario Saric,38.05,11.37,10.35,31.78,4.81,3.64,0,0.364,0.308,0.268,0.633,0.394,0.32,0
