Player,AB_3U,MRU,paint_nonra,ra_usage,RC_3,LC_3,backcourt_usage,AB3%,MR%,paint_nonra%,RA%,RC3%,LC3%,BC%
Joe Chealey,0,33.33,33.33,33.33,0,0,0,0,0,1,0,0,0,0
DJ Stephens,0,0,0,100,0,0,0,0,0,0,0.5,0,0,0
Donatas Motiejunas,0,16.67,50,33.33,0,0,0,0,0,0.667,0.5,0,0,0
Isaiah Hartenstein,9.76,0,7.32,78.05,0,4.88,0,0.25,0,0,0.563,0,0.5,0
Wade Baldwin IV,21.21,21.21,18.18,36.36,0,3.03,0,0.143,0.286,0.167,0.417,0,1,0
Quincy Pondexter,15.52,6.9,15.52,46.55,6.9,8.62,0,0.333,0.5,0.444,0.63,0.25,0.4,0
Haywood Highsmith,30,0,20,30,10,10,0,0.333,0,1,0.333,0,0,0
Drew Eubanks,0,15.38,50,34.62,0,0,0,0,0.25,0.769,0.444,0,0,0
Chimezie Metu,3.45,32.76,34.48,29.31,0,0,0,0,0.105,0.5,0.412,0,0,0
Quincy Acy,55.56,0,5.56,11.11,16.67,11.11,0,0.1,0,0,1,0.333,0,0
Deng Adel,47.22,11.11,8.33,16.67,5.56,11.11,0,0.235,0.5,0.333,0.333,0.5,0.25,0
Trevon Duval,0,33.33,0,33.33,0,33.33,0,0,0,0,1,0,1,0
Justin Patton,28.57,0,14.29,57.14,0,0,0,0,0,0,0.5,0,0,0
Thomas Welsh,53.85,30.77,7.69,7.69,0,0,0,0.429,0.5,1,1,0,0,0
Melvin Frazier Jr.,14.29,14.29,23.81,33.33,4.76,9.52,0,0,0.333,0.2,0.714,0,0,0
Vincent Edwards,25,0,0,0,25,50,0,0,0,0,0,0,0.5,0
Angel Delgado,0,0,20,80,0,0,0,0,0,0,0.25,0,0,0
Jarred Vanderbilt,0,5.26,15.79,73.68,5.26,0,0,0,0,0.333,0.571,0,0,0
Brandon Goodwin,26.09,17.39,21.74,34.78,0,0,0,0.333,0,0,0.5,0,0,0
Eric Moreland,14.29,0,28.57,57.14,0,0,0,1,0,0.5,0.25,0,0,0
Malachi Richardson,44.83,3.45,3.45,6.9,6.9,34.48,0,0.308,0,0,0.5,0,0.4,0
Jacob Evans,20.75,37.74,13.21,20.75,5.66,1.89,0,0.273,0.35,0.571,0.273,0.333,0,0
Davon Reed,33.33,25,8.33,33.33,0,0,0,0.5,0,0,0.75,0,0,0
Naz Mitrou-Long,45,0,0,45,5,5,0,0.222,0,0,0.444,0,0,0
Terrence Jones,50,0,0,50,0,0,0,0,0,0,0.5,0,0,0
Yante Maten,25,0,25,50,0,0,0,0,0,1,0,0,0,0
DeVaughn Akoon-Purcell,30,10,0,50,10,0,0,0,0,0,0.6,0,0,0
Kostas Antetokounmpo,0,0,66.67,33.33,0,0,0,0,0,0,0,0,0,0
Sindarius Thornwell,16.33,0,28.57,40.82,6.12,8.16,0,0.25,0,0.357,0.45,0.333,0,0
Alize Johnson,6.25,31.25,18.75,37.5,0,6.25,0,0,0,0.333,0.333,0,1,0
Ron Baker,40,10,0,25,10,15,0,0.125,0.5,0,0.4,0,0,0
Tyler Lydon,33.33,0,5.56,38.89,11.11,11.11,0,0.333,0,0,0.714,0.5,0.5,0
Isaac Bonga,18.18,12.12,21.21,42.42,3.03,3.03,0,0,0,0.143,0.286,0,0,0
Chris Chiozza,37.5,12.5,12.5,12.5,12.5,12.5,0,0.333,0,0,0,1,0,0
Tyler Cavanaugh,20,0,20,30,10,20,0,0.5,0,0,0.667,0,0,0
Jawun Evans,21.43,28.57,42.86,7.14,0,0,0,0,0.25,0.167,1,0,0,0
George King,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Ulis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Davis,0,0,0,100,0,0,0,0,0,0,0,0,0,0
Andre Ingram,33.33,33.33,16.67,0,0,16.67,0,0,0,0,0,0,0,0
Okaro White,50,0,0,0,50,0,0,0,0,0,0,0,0,0
Kobi Simmons,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Lofton,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Ike Anigbogu,0,66.67,0,33.33,0,0,0,0,0,0,0,0,0,0
Donte Grantham,100,0,0,0,0,0,0,0,0,0,0,0,0,0
