,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,url_list
103,Quinn Cook,PG,26,LAL,15,0,216,7.1,17.1,.416,2.0,6.2,.321,5.1,10.9,.469,0.4,0.7,.667,0.9,3.5,4.4,6.0,1.3,0.2,2.7,2.0,16.6,,98,107,https://www.basketball-reference.com/players/c/cookqu01.html
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Error on row 104
105,Tyler Cook,PF,22,CLE,6,0,17,14.2,17.0,.833,0.0,0.0,,14.2,17.0,.833,5.7,5.7,1.000,8.5,5.7,14.2,0.0,2.8,0.0,2.8,2.8,34.1,,154,111,https://www.basketball-reference.com/players/c/cookty01.html
106,Robert Covington,PF,29,MIN,17,17,460,6.9,15.6,.442,3.2,9.3,.344,3.7,6.3,.587,3.5,4.0,.875,1.3,8.1,9.4,2.0,2.4,1.7,2.7,4.7,20.5,,108,105,https://www.basketball-reference.com/players/c/covinro01.html
107,Allen Crabbe,SG,27,ATL,8,0,155,5.4,13.9,.391,1.8,7.8,.231,3.6,6.0,.600,1.5,2.1,.714,1.5,5.7,7.2,2.1,1.2,0.6,1.2,1.5,14.2,,100,116,https://www.basketball-reference.com/players/c/crabbal01.html
108,Torrey Craig,SF,29,DEN,13,2,187,3.7,10.7,.341,1.0,5.2,.200,2.6,5.5,.476,1.0,2.4,.444,2.4,6.8,9.1,3.9,1.3,2.9,1.3,6.8,9.4,,95,101,https://www.basketball-reference.com/players/c/craigto01.html
109,Jae Crowder,SF,29,MEM,17,17,526,5.5,13.1,.423,3.5,9.6,.367,2.0,3.5,.575,1.9,2.8,.688,1.0,7.6,8.6,4.1,1.4,0.6,2.3,3.2,16.5,,108,114,https://www.basketball-reference.com/players/c/crowdja01.html
110,Jarrett Culver,SG,20,MIN,18,8,425,6.7,18.5,.363,2.2,7.7,.282,4.5,10.8,.420,1.7,4.1,.421,1.9,3.9,5.8,4.5,1.8,1.0,2.8,4.3,17.3,,89,109,https://www.basketball-reference.com/players/c/culveja01.html
111,Seth Curry,SG,29,DAL,15,9,314,6.1,13.9,.440,3.2,8.5,.375,2.9,5.3,.543,2.6,2.9,.895,0.9,2.7,3.7,3.7,1.4,0.5,1.8,3.8,18.0,,117,113,https://www.basketball-reference.com/players/c/curryse01.html
112,Stephen Curry,PG,31,GSW,4,4,112,11.4,27.9,.409,3.8,15.6,.243,7.6,12.3,.621,7.6,7.6,1.000,1.7,6.8,8.5,11.0,2.1,0.8,6.3,4.2,34.3,,105,113,https://www.basketball-reference.com/players/c/curryst01.html
113,Troy Daniels,SG,28,LAL,13,0,198,6.0,16.5,.368,3.9,12.1,.320,2.2,4.4,.500,0.7,0.7,1.000,0.7,3.4,4.1,1.5,1.0,0.2,1.0,1.9,16.7,,101,108,https://www.basketball-reference.com/players/d/danietr01.html
114,Anthony Davis,PF,26,LAL,17,17,594,12.4,26.0,.477,1.6,4.8,.333,10.8,21.2,.510,9.3,10.6,.878,3.5,8.9,12.3,4.9,2.2,3.9,3.6,3.4,35.7,,116,98,https://www.basketball-reference.com/players/d/davisan02.html
115,Ed Davis,C,30,UTA,6,0,73,2.6,6.5,.400,0.0,0.0,,2.6,6.5,.400,1.3,2.6,.500,5.9,14.4,20.3,0.7,0.7,2.0,3.3,9.2,6.5,,89,100,https://www.basketball-reference.com/players/d/davised01.html
116,Terence Davis,SG,22,TOR,17,0,264,7.6,15.5,.488,3.8,8.6,.438,3.8,6.8,.553,2.0,2.0,1.000,1.8,7.0,8.8,6.3,1.3,0.7,1.8,6.1,20.9,,129,104,https://www.basketball-reference.com/players/d/daviste02.html
117,Dewayne Dedmon,C,30,SAC,17,4,260,7.2,17.2,.418,1.9,7.9,.238,5.3,9.3,.571,2.1,2.5,.846,4.5,9.1,13.6,1.5,1.3,1.5,4.9,8.1,18.3,,90,109,https://www.basketball-reference.com/players/d/dedmode01.html
118,Matthew Dellavedova,PG,29,CLE,16,0,225,2.8,10.7,.260,0.6,6.4,.100,2.1,4.3,.500,2.6,2.8,.923,0.9,4.3,5.2,7.9,1.3,0.2,3.2,5.8,8.8,,86,115,https://www.basketball-reference.com/players/d/dellama01.html
119,DeMar DeRozan,SF,30,SAS,19,19,646,11.9,22.4,.531,0.0,0.3,.000,11.9,22.1,.538,7.0,8.6,.812,0.7,6.8,7.5,6.5,1.2,0.8,3.6,4.1,30.8,,114,115,https://www.basketball-reference.com/players/d/derozde01.html
120,Cheick Diallo,C,23,PHO,12,0,121,12.0,14.7,.816,0.0,0.0,,12.0,14.7,.816,3.1,3.5,.889,3.5,9.6,13.1,2.3,0.0,1.5,2.3,4.6,27.0,,145,110,https://www.basketball-reference.com/players/d/diallch01.html
121,Hamidou Diallo,SF,21,OKC,12,1,256,8.7,17.3,.500,0.4,2.4,.154,8.3,14.9,.557,2.1,3.4,.611,2.6,6.0,8.7,1.9,3.4,0.8,2.6,5.5,19.8,,99,105,https://www.basketball-reference.com/players/d/diallha01.html
122,Gorgui Dieng,C,30,MIN,14,2,177,7.8,16.6,.469,1.8,5.5,.333,6.0,11.2,.535,3.1,4.2,.750,3.4,12.5,15.8,4.9,2.6,3.9,2.1,4.7,20.5,,116,99,https://www.basketball-reference.com/players/d/dienggo01.html
123,Spencer Dinwiddie,SG,26,BRK,18,7,513,10.2,24.8,.410,2.7,9.6,.283,7.4,15.1,.491,8.9,10.3,.860,0.3,3.7,4.0,9.2,1.2,0.8,3.7,5.5,31.9,,112,112,https://www.basketball-reference.com/players/d/dinwisp01.html
124,Donte DiVincenzo,SG,23,MIL,15,8,311,7.1,16.7,.426,2.6,8.0,.327,4.5,8.7,.517,1.3,1.7,.750,2.2,6.8,9.0,3.5,3.1,0.3,2.2,3.5,18.2,,105,101,https://www.basketball-reference.com/players/d/divindo01.html
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Error on row 125
126,Luka Dončić,PG,20,DAL,17,17,578,13.7,28.2,.485,4.3,13.1,.329,9.4,15.1,.621,10.8,13.1,.823,2.1,12.0,14.1,13.4,2.1,0.2,6.5,3.6,42.4,,121,106,https://www.basketball-reference.com/players/d/doncilu01.html
127,Damyean Dotson,SG,25,NYK,14,0,198,6.7,17.6,.380,2.5,9.4,.263,4.2,8.2,.515,1.2,1.7,.714,0.5,5.2,5.7,3.2,1.5,0.7,1.7,2.5,17.1,,97,114,https://www.basketball-reference.com/players/d/dotsoda01.html
128,Sekou Doumbouya,SF,19,DET,1,0,2,0.0,24.2,.000,0.0,24.2,.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,118,https://www.basketball-reference.com/players/d/doumbse01.html
129,Goran Dragić,PG,33,MIA,16,1,460,8.2,18.3,.446,3.6,8.9,.407,4.5,9.4,.484,5.2,7.3,.704,0.4,4.9,5.3,8.3,1.1,0.4,4.6,2.7,25.1,,108,107,https://www.basketball-reference.com/players/d/dragigo01.html
130,Andre Drummond,C,26,DET,18,18,618,10.4,19.2,.543,0.0,0.8,.000,10.4,18.4,.566,4.0,6.0,.662,6.2,17.8,24.0,4.5,2.2,2.4,5.6,6.0,24.8,,105,101,https://www.basketball-reference.com/players/d/drumman01.html
131,Jared Dudley,SF,34,LAL,10,0,72,2.7,6.0,.444,2.7,4.0,.667,0.0,2.0,.000,0.0,0.0,,0.0,5.3,5.3,4.0,0.7,0.7,0.7,5.3,8.0,,134,107,https://www.basketball-reference.com/players/d/dudleja01.html
132,Kris Dunn,PG,25,CHI,19,0,381,6.1,14.9,.413,0.7,4.7,.158,5.4,10.2,.530,1.1,1.6,.692,1.0,5.7,6.6,7.3,4.6,0.7,1.8,7.6,14.1,,101,102,https://www.basketball-reference.com/players/d/dunnkr01.html
133,Carsen Edwards,SG,21,BOS,15,0,172,6.1,19.0,.324,3.6,11.2,.325,2.5,7.8,.321,2.5,3.1,.818,1.4,6.1,7.5,3.9,1.1,0.6,2.0,4.2,18.4,,96,107,https://www.basketball-reference.com/players/e/edwarca01.html
134,Henry Ellenson,PF,23,BRK,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,118,https://www.basketball-reference.com/players/e/ellenhe01.html
135,Wayne Ellington,SG,32,NYK,14,1,213,5.5,16.1,.343,4.8,14.5,.333,0.7,1.6,.429,0.9,1.4,.667,0.0,5.5,5.5,3.0,0.5,0.5,2.3,3.2,16.8,,97,116,https://www.basketball-reference.com/players/e/ellinwa01.html
136,Joel Embiid,C,25,PHI,14,14,413,11.9,26.0,.460,2.1,6.5,.321,9.9,19.5,.506,9.5,12.2,.781,4.5,15.1,19.6,4.5,1.4,2.2,4.9,5.6,35.5,,109,99,https://www.basketball-reference.com/players/e/embiijo01.html
137,James Ennis,SF,29,PHI,18,0,286,7.5,14.2,.529,2.2,5.7,.382,5.4,8.5,.627,2.8,4.0,.708,4.0,6.2,10.2,2.0,1.3,0.7,2.0,5.9,20.1,,122,105,https://www.basketball-reference.com/players/e/ennisja01.html
138,Drew Eubanks,PF,22,SAS,1,0,2,0.0,47.5,.000,0.0,0.0,,0.0,47.5,.000,0.0,0.0,,47.5,23.7,71.2,0.0,0.0,0.0,23.7,23.7,0.0,,46,109,https://www.basketball-reference.com/players/e/eubandr01.html
139,Jacob Evans,SG,22,GSW,3,0,43,5.5,13.2,.417,4.4,8.8,.500,1.1,4.4,.250,4.4,4.4,1.000,1.1,4.4,5.5,2.2,0.0,0.0,1.1,2.2,19.8,,129,120,https://www.basketball-reference.com/players/e/evansja02.html
140,Dante Exum,SG,24,UTA,5,0,36,2.7,9.3,.286,0.0,1.3,.000,2.7,8.0,.333,0.0,0.0,,1.3,4.0,5.3,5.3,1.3,1.3,2.7,5.3,5.3,,72,105,https://www.basketball-reference.com/players/e/exumda01.html
141,Tacko Fall,C,24,BOS,1,0,4,24.0,48.1,.500,0.0,0.0,,24.0,48.1,.500,0.0,0.0,,0.0,36.1,36.1,0.0,0.0,0.0,12.0,24.0,48.1,,71,89,https://www.basketball-reference.com/players/f/fallta01.html
142,Derrick Favors,C,28,NOP,9,7,189,8.7,14.1,.621,0.2,0.5,.500,8.5,13.6,.625,0.5,1.5,.333,7.5,11.9,19.4,4.6,1.2,1.0,3.4,5.1,18.2,,121,112,https://www.basketball-reference.com/players/f/favorde01.html
143,Terrance Ferguson,SF,21,OKC,16,16,412,4.0,8.9,.447,2.3,6.1,.385,1.6,2.8,.583,0.7,0.8,.857,1.3,2.3,3.6,2.0,1.1,0.7,1.2,5.8,11.0,,114,113,https://www.basketball-reference.com/players/f/fergute01.html
144,Bruno Fernando,C,21,ATL,18,0,230,6.9,12.6,.548,0.6,2.6,.231,6.3,10.0,.633,2.4,4.1,.600,4.3,6.7,11.0,4.1,1.0,1.6,3.5,6.1,16.9,,109,115,https://www.basketball-reference.com/players/f/fernabr01.html
145,Yogi Ferrell,PG,26,SAC,13,0,164,6.3,15.6,.404,1.8,5.7,.316,4.5,9.9,.455,3.9,4.5,.867,1.2,5.1,6.3,5.7,0.6,0.3,3.0,3.0,18.3,,105,115,https://www.basketball-reference.com/players/f/ferreyo01.html
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Error on row 146
147,Dorian Finney-Smith,PF,26,DAL,17,14,453,5.9,12.3,.483,2.1,6.3,.333,3.8,5.9,.643,2.1,3.2,.667,3.3,6.3,9.6,1.8,1.2,0.6,1.8,3.5,16.1,,117,111,https://www.basketball-reference.com/players/f/finnedo01.html
148,Bryn Forbes,SG,26,SAS,19,19,517,7.8,19.7,.395,4.2,12.1,.348,3.6,7.6,.470,2.7,2.9,.906,0.6,4.0,4.7,3.4,0.9,0.0,1.2,3.2,22.5,,111,118,https://www.basketball-reference.com/players/f/forbebr01.html
149,Evan Fournier,SG,27,ORL,17,17,515,10.5,22.3,.470,4.0,9.4,.424,6.5,12.9,.504,4.9,5.7,.850,0.2,4.6,4.8,5.3,1.6,0.3,3.2,3.4,29.9,,112,109,https://www.basketball-reference.com/players/f/fournev01.html
150,De'Aaron Fox,PG,22,SAC,9,9,288,9.4,21.8,.430,1.7,5.1,.333,7.7,16.7,.459,7.5,10.6,.710,0.9,5.3,6.1,10.7,1.2,0.9,6.3,4.6,28.0,,102,112,https://www.basketball-reference.com/players/f/foxde01.html
151,Melvin Frazier,SG,23,ORL,2,0,8,6.1,30.7,.200,0.0,6.1,.000,6.1,24.6,.250,0.0,0.0,,6.1,0.0,6.1,6.1,0.0,0.0,0.0,0.0,12.3,,66,115,https://www.basketball-reference.com/players/f/frazime01.html
152,Tim Frazier,PG,29,DET,10,4,124,3.1,14.8,.211,1.2,5.1,.231,2.0,9.8,.200,4.3,5.5,.786,1.2,2.3,3.5,11.7,3.1,0.4,4.7,6.6,11.7,,84,109,https://www.basketball-reference.com/players/f/fraziti01.html
153,Markelle Fultz,PG,21,ORL,17,12,419,9.4,18.8,.500,0.8,3.9,.212,8.6,14.9,.575,3.1,3.8,.813,0.9,3.5,4.5,7.0,2.7,0.2,3.2,4.6,22.6,,108,107,https://www.basketball-reference.com/players/f/fultzma01.html
154,Wenyen Gabriel,PF,22,SAC,7,0,47,5.2,16.7,.313,1.0,8.4,.125,4.2,8.4,.500,5.2,9.4,.556,4.2,4.2,8.4,3.1,2.1,2.1,3.1,6.3,16.7,,88,109,https://www.basketball-reference.com/players/g/gabriwe01.html
155,Daniel Gafford,C,21,CHI,10,0,100,8.0,12.2,.654,0.0,0.0,,8.0,12.2,.654,2.3,5.6,.417,5.2,4.7,9.8,0.5,0.0,2.8,0.5,7.0,18.3,,131,111,https://www.basketball-reference.com/players/g/gaffoda01.html
156,Danilo Gallinari,PF,31,OKC,17,17,509,8.7,20.0,.436,4.4,10.8,.404,4.4,9.2,.474,7.7,8.3,.920,0.8,7.5,8.2,3.1,1.0,0.1,2.2,2.6,29.4,,120,111,https://www.basketball-reference.com/players/g/gallida01.html
157,Langston Galloway,SG,28,DET,18,5,505,6.9,16.1,.429,4.3,10.3,.421,2.6,5.8,.443,4.0,4.4,.913,0.6,3.0,3.5,3.1,0.9,0.7,1.4,2.4,22.1,,121,114,https://www.basketball-reference.com/players/g/gallola01.html
158,Darius Garland,PG,20,CLE,18,18,500,6.8,18.4,.366,2.6,7.4,.351,4.2,11.0,.377,1.9,2.3,.833,0.4,2.3,2.7,5.1,1.5,0.0,4.7,2.4,18.1,,85,116,https://www.basketball-reference.com/players/g/garlada01.html
159,Marc Gasol,C,35,TOR,17,17,483,3.2,10.2,.317,2.0,5.2,.377,1.3,5.0,.255,1.3,1.7,.765,1.2,9.8,11.0,5.8,0.9,1.7,2.4,5.2,9.7,,97,102,https://www.basketball-reference.com/players/g/gasolma01.html
160,Rudy Gay,PF,33,SAS,19,0,434,8.9,18.3,.485,2.1,6.9,.302,6.8,11.4,.596,4.2,4.8,.864,2.8,9.8,12.7,4.3,0.7,1.1,3.2,3.1,24.0,,113,114,https://www.basketball-reference.com/players/g/gayru01.html
161,Paul George,SF,29,LAC,8,8,233,12.3,27.6,.445,6.6,16.5,.402,5.6,11.1,.509,8.7,9.3,.935,1.0,8.5,9.5,6.4,2.8,0.6,6.0,4.0,39.8,,114,102,https://www.basketball-reference.com/players/g/georgpa01.html
162,Taj Gibson,C,34,NYK,16,10,253,7.8,14.0,.556,0.2,1.0,.200,7.6,13.0,.582,1.7,2.5,.692,6.4,7.6,14.0,3.7,1.6,0.2,2.1,7.4,17.4,,121,113,https://www.basketball-reference.com/players/g/gibsota01.html
163,Harry Giles,PF,21,SAC,7,0,52,10.4,23.6,.440,0.0,0.0,,10.4,23.6,.440,1.9,1.9,1.000,2.8,3.8,6.6,4.7,1.9,2.8,4.7,12.3,22.7,,90,109,https://www.basketball-reference.com/players/g/gilesha01.html
164,Shai Gilgeous-Alexander,SG,21,OKC,17,17,586,9.9,21.8,.453,2.1,5.3,.391,7.8,16.5,.473,4.4,5.7,.783,1.2,5.9,7.1,4.4,1.2,0.8,3.0,2.5,26.2,,104,110,https://www.basketball-reference.com/players/g/gilgesh01.html
165,Rudy Gobert,C,27,UTA,16,16,553,6.7,10.2,.653,0.0,0.0,,6.7,10.2,.653,5.2,8.0,.645,4.4,14.9,19.4,1.4,1.4,2.9,3.3,4.8,18.5,,119,97,https://www.basketball-reference.com/players/g/goberru01.html
166,Aaron Gordon,PF,24,ORL,14,14,426,7.7,18.3,.421,1.7,6.1,.283,6.0,12.2,.491,3.9,5.4,.723,2.7,7.4,10.0,4.6,1.0,0.8,2.2,3.9,21.1,,106,108,https://www.basketball-reference.com/players/g/gordoaa01.html
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Error on row 167
168,Eric Gordon,SG,31,HOU,9,2,265,5.9,19.0,.309,3.6,12.8,.284,2.2,6.2,.361,1.6,2.4,.643,0.5,2.4,2.9,1.2,0.9,0.3,2.1,3.6,16.9,,84,114,https://www.basketball-reference.com/players/g/gordoer01.html
169,Devonte' Graham,PG,24,CHO,19,9,632,8.4,20.6,.407,4.8,11.9,.404,3.6,8.7,.412,4.5,5.7,.797,1.2,4.1,5.3,10.9,0.9,0.2,4.8,2.5,26.1,,110,117,https://www.basketball-reference.com/players/g/grahade01.html
170,Treveon Graham,SG,26,MIN,17,16,417,4.5,13.2,.342,1.2,6.1,.200,3.3,7.2,.462,1.5,2.0,.778,2.0,5.2,7.2,2.4,1.3,0.2,1.2,4.6,11.8,,94,111,https://www.basketball-reference.com/players/g/grahatr01.html
171,Jerami Grant,PF,25,DEN,16,0,350,7.8,17.9,.438,2.1,7.0,.300,5.7,10.9,.526,2.8,4.6,.606,1.4,6.6,8.0,2.4,0.8,1.3,1.7,3.5,20.5,,103,104,https://www.basketball-reference.com/players/g/grantje01.html
172,Josh Gray,PG,26,NOP,2,0,23,2.0,4.0,.500,0.0,0.0,,2.0,4.0,.500,0.0,0.0,,2.0,2.0,4.0,4.0,0.0,0.0,10.0,2.0,4.0,,47,121,https://www.basketball-reference.com/players/g/grayjo01.html
173,Danny Green,SG,32,LAL,18,18,459,5.7,12.8,.447,3.5,8.9,.400,2.2,4.0,.553,0.8,1.1,.727,1.4,5.1,6.5,2.3,2.4,1.0,2.1,4.7,15.9,,109,103,https://www.basketball-reference.com/players/g/greenda02.html
174,Draymond Green,PF,29,GSW,11,11,320,5.2,13.3,.389,1.3,4.6,.290,3.8,8.7,.441,2.2,3.1,.714,0.9,10.8,11.7,9.2,2.2,1.0,3.3,4.0,13.9,,99,110,https://www.basketball-reference.com/players/g/greendr01.html
175,JaMychal Green,PF,29,LAC,19,0,430,5.3,13.2,.405,3.2,8.8,.358,2.2,4.4,.500,1.5,1.9,.824,3.1,11.6,14.6,1.0,1.3,0.8,2.1,5.2,15.4,,107,103,https://www.basketball-reference.com/players/g/greenja01.html
176,Javonte Green,SF,26,BOS,11,0,72,10.0,18.7,.536,1.3,5.3,.250,8.7,13.4,.650,1.3,3.3,.400,1.3,5.3,6.7,2.0,2.7,0.0,1.3,6.7,22.7,,109,104,https://www.basketball-reference.com/players/g/greenja02.html
177,Jeff Green,PF,33,UTA,18,1,347,5.5,15.6,.354,3.0,8.7,.349,2.5,6.9,.360,4.8,6.3,.761,1.0,6.1,7.0,1.7,1.0,1.4,3.0,4.3,18.9,,95,105,https://www.basketball-reference.com/players/g/greenje02.html
178,Blake Griffin,PF,30,DET,6,6,178,10.6,25.0,.424,2.7,9.8,.278,7.9,15.2,.518,9.0,10.9,.825,2.4,6.3,8.7,5.4,0.5,0.5,4.9,2.4,32.9,,106,113,https://www.basketball-reference.com/players/g/griffbl01.html
179,Marko Guduric,SG,24,MEM,17,0,272,5.8,15.4,.374,2.2,7.1,.310,3.6,8.3,.429,1.5,1.5,1.000,1.5,4.2,5.8,4.6,1.0,0.7,3.1,2.9,15.3,,93,116,https://www.basketball-reference.com/players/g/gudurma01.html
180,Rui Hachimura,PF,21,WAS,16,16,429,9.0,18.8,.477,0.6,2.9,.222,8.4,16.0,.523,2.1,2.6,.833,2.8,6.2,9.0,2.6,1.3,0.3,1.5,3.5,20.8,,108,117,https://www.basketball-reference.com/players/h/hachiru01.html
181,Devon Hall,SG,24,OKC,2,0,15,3.2,12.9,.250,0.0,6.4,.000,3.2,6.4,.500,9.6,12.9,.750,0.0,3.2,3.2,6.4,0.0,0.0,3.2,3.2,16.1,,91,116,https://www.basketball-reference.com/players/h/hallde01.html
182,Tim Hardaway,SG,27,DAL,17,4,396,8.5,20.8,.407,4.5,12.3,.363,4.0,8.5,.471,3.6,4.7,.769,0.6,3.5,4.1,4.0,0.8,0.2,0.8,4.2,25.0,,117,114,https://www.basketball-reference.com/players/h/hardati02.html
183,James Harden,SG,30,HOU,18,18,669,12.8,29.6,.434,5.9,17.1,.343,7.0,12.4,.560,14.8,17.1,.865,1.2,6.3,7.5,9.6,2.0,0.6,6.5,3.8,46.4,,120,109,https://www.basketball-reference.com/players/h/hardeja01.html
184,Maurice Harkless,SF,26,LAC,19,9,417,4.8,9.8,.494,1.0,2.9,.346,3.8,6.9,.557,1.0,2.0,.500,1.9,4.7,6.6,2.5,2.1,1.6,2.1,6.7,11.7,,104,104,https://www.basketball-reference.com/players/h/harklma01.html
185,Jared Harper,PG,22,PHO,1,0,2,0.0,23.3,.000,0.0,23.3,.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,117,https://www.basketball-reference.com/players/h/harpeja01.html
186,Montrezl Harrell,C,26,LAC,19,2,572,12.2,20.6,.594,0.0,0.4,.000,12.2,20.2,.606,5.0,7.5,.663,4.7,7.2,11.9,3.8,1.4,2.0,3.0,3.8,29.4,,121,104,https://www.basketball-reference.com/players/h/harremo01.html
187,Gary Harris,SG,25,DEN,16,16,511,6.0,14.9,.404,2.0,6.0,.333,4.0,8.9,.452,1.6,2.2,.739,0.7,4.4,5.1,2.8,1.8,0.4,1.5,3.3,15.7,,100,105,https://www.basketball-reference.com/players/h/harriga01.html
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Error on row 188
189,Joe Harris,SF,28,BRK,18,18,572,7.8,16.3,.480,4.1,9.2,.442,3.7,7.1,.529,1.1,1.5,.722,1.3,4.3,5.6,2.5,1.1,0.6,2.1,3.8,20.7,,114,113,https://www.basketball-reference.com/players/h/harrijo01.html
190,Tobias Harris,PF,27,PHI,18,18,612,9.9,20.2,.488,1.8,6.2,.291,8.1,14.0,.575,3.5,4.6,.763,1.0,9.3,10.3,4.7,1.6,1.0,2.7,4.0,25.0,,110,103,https://www.basketball-reference.com/players/h/harrito02.html
191,Shaquille Harrison,SF,26,CHI,12,4,117,6.8,17.2,.395,1.2,3.6,.333,5.6,13.6,.412,3.2,5.6,.571,2.0,8.8,10.8,6.8,2.0,1.6,2.0,5.6,18.0,,102,105,https://www.basketball-reference.com/players/h/harrish01.html
192,Josh Hart,SF,24,NOP,11,4,303,6.8,15.0,.455,3.6,9.5,.381,3.2,5.4,.583,3.2,3.9,.808,2.4,8.3,10.7,2.3,2.1,0.6,2.3,4.7,20.4,,117,112,https://www.basketball-reference.com/players/h/hartjo01.html
193,Isaiah Hartenstein,C,21,HOU,6,0,73,5.0,6.3,.800,0.0,0.0,,5.0,6.3,.800,5.0,5.6,.889,3.1,9.4,12.5,1.3,0.6,1.9,2.5,6.9,15.0,,142,109,https://www.basketball-reference.com/players/h/harteis01.html
194,Udonis Haslem,PF,39,MIA,2,0,11,4.3,4.3,1.000,0.0,0.0,,4.3,4.3,1.000,13.0,17.3,.750,0.0,13.0,13.0,0.0,0.0,0.0,0.0,13.0,21.6,,191,105,https://www.basketball-reference.com/players/h/hasleud01.html
195,Jaxson Hayes,C,19,NOP,15,6,290,7.4,12.0,.618,0.0,0.3,.000,7.4,11.7,.635,4.1,6.6,.619,4.3,5.4,9.6,1.7,1.7,2.4,2.4,7.9,19.0,,121,112,https://www.basketball-reference.com/players/h/hayesja02.html
196,Gordon Hayward,SF,29,BOS,8,8,249,11.8,21.2,.555,2.5,5.8,.433,9.3,15.4,.600,3.1,3.7,.842,1.2,9.8,11.0,6.4,1.2,0.4,2.9,2.9,29.1,,121,104,https://www.basketball-reference.com/players/h/haywago01.html
197,John Henson,PF,29,CLE,1,0,8,6.0,12.1,.500,0.0,6.0,.000,6.0,6.0,1.000,6.0,36.2,.167,12.1,6.0,18.1,0.0,12.1,12.1,6.0,0.0,18.1,,70,74,https://www.basketball-reference.com/players/h/hensojo01.html
198,Dewan Hernandez,C,23,TOR,2,0,8,5.9,11.9,.500,0.0,5.9,.000,5.9,5.9,1.000,0.0,0.0,,0.0,23.8,23.8,0.0,5.9,0.0,5.9,17.8,11.9,,60,81,https://www.basketball-reference.com/players/h/hernade01.html
199,Juan Hernangómez,PF,24,DEN,9,0,122,4.8,10.4,.462,2.8,6.8,.412,2.0,3.6,.556,0.8,2.0,.400,1.6,7.2,8.8,2.4,0.0,0.8,2.8,2.8,13.2,,100,107,https://www.basketball-reference.com/players/h/hernaju01.html
200,Willy Hernangómez,C,25,CHO,6,0,48,7.0,17.1,.412,2.0,4.0,.500,5.0,13.1,.385,3.0,6.0,.500,5.0,7.0,12.1,2.0,1.0,3.0,3.0,2.0,19.1,,97,111,https://www.basketball-reference.com/players/h/hernawi01.html
201,Tyler Herro,SG,20,MIA,16,3,478,8.3,18.8,.444,3.3,8.6,.379,5.1,10.1,.500,3.6,4.4,.818,0.6,6.1,6.7,3.7,1.3,0.2,3.7,2.4,23.5,,102,106,https://www.basketball-reference.com/players/h/herroty01.html
202,Mario Hezonja,PF,24,POR,18,4,328,4.3,11.8,.361,1.4,4.1,.345,2.8,7.7,.370,2.7,3.3,.826,1.6,10.2,11.8,2.6,1.7,0.3,2.6,5.8,12.7,,94,109,https://www.basketball-reference.com/players/h/hezonma01.html
203,Buddy Hield,SG,27,SAC,17,17,561,10.9,26.0,.421,5.8,15.0,.386,5.2,11.0,.468,2.8,3.2,.889,1.3,5.3,6.7,3.5,1.1,0.6,4.4,3.8,30.5,,101,113,https://www.basketball-reference.com/players/h/hieldbu01.html
204,George Hill,PG,33,MIL,16,0,359,6.4,12.6,.510,2.9,6.0,.479,3.5,6.6,.538,2.8,3.5,.786,2.1,4.3,6.4,6.2,1.5,0.3,1.4,4.0,18.5,,136,106,https://www.basketball-reference.com/players/h/hillge01.html
205,Solomon Hill,SF,28,MEM,15,0,265,4.9,11.3,.431,2.6,6.6,.395,2.3,4.7,.481,1.6,2.4,.643,1.4,6.6,8.0,4.4,1.9,0.2,2.3,4.4,13.9,,108,114,https://www.basketball-reference.com/players/h/hillso01.html
206,Jaylen Hoard,SF,20,POR,3,0,11,4.2,8.5,.500,0.0,0.0,,4.2,8.5,.500,0.0,0.0,,4.2,12.7,17.0,4.2,4.2,0.0,0.0,4.2,8.5,,137,102,https://www.basketball-reference.com/players/h/hoardja01.html
207,Aaron Holiday,PG,23,IND,15,8,341,8.1,20.0,.404,3.5,8.4,.424,4.5,11.6,.390,1.3,1.4,.900,1.3,4.8,6.1,7.4,2.3,0.1,3.3,3.5,21.0,,103,105,https://www.basketball-reference.com/players/h/holidaa01.html
208,Jrue Holiday,SG,29,NOP,16,16,574,9.7,22.3,.437,2.4,6.9,.345,7.3,15.3,.479,2.8,3.6,.778,1.4,5.2,6.6,9.3,2.7,0.9,4.6,3.2,24.7,,104,112,https://www.basketball-reference.com/players/h/holidjr01.html
209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Error on row 209
