,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,url_list
45,Eric Bledsoe,PG,30,MIL,18,18,501,10.3,22.4,.460,2.1,6.8,.307,8.2,15.6,.526,4.7,6.0,.788,1.7,6.7,8.4,8.9,1.4,0.6,3.7,4.4,27.4,,112,105,https://www.basketball-reference.com/players/b/bledser01.html
46,Bogdan Bogdanović,SG,27,SAC,16,0,445,9.4,22.5,.417,5.1,12.9,.393,4.3,9.6,.448,3.2,4.4,.725,0.2,4.5,4.7,8.5,2.8,0.2,3.2,3.3,27.0,,111,110,https://www.basketball-reference.com/players/b/bogdabo01.html
47,Bojan Bogdanović,SF,30,UTA,17,17,565,10.6,22.1,.479,4.7,10.0,.466,5.9,12.1,.490,5.1,5.7,.882,0.9,5.1,6.0,3.1,1.1,0.3,4.0,2.9,30.9,,111,107,https://www.basketball-reference.com/players/b/bogdabo02.html
48,Jonah Bolden,PF,24,PHI,2,0,5,9.6,9.6,1.000,0.0,0.0,,9.6,9.6,1.000,0.0,19.2,.000,0.0,0.0,0.0,0.0,9.6,0.0,9.6,0.0,19.2,,46,91,https://www.basketball-reference.com/players/b/boldejo01.html
49,Jordan Bone,PG,22,DET,3,0,6,16.1,40.3,.400,0.0,8.1,.000,16.1,32.3,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,16.1,16.1,32.3,,52,118,https://www.basketball-reference.com/players/b/bonejo01.html
50,Isaac Bonga,SF,20,WAS,11,7,162,4.5,9.1,.500,0.6,1.7,.333,4.0,7.4,.538,1.7,2.6,.667,2.0,6.0,7.9,3.7,2.0,0.6,1.7,6.2,11.3,,113,115,https://www.basketball-reference.com/players/b/bongais01.html
51,Devin Booker,SG,23,PHO,17,17,600,11.8,22.9,.517,3.0,7.0,.422,8.9,15.9,.559,6.3,6.6,.953,0.5,4.2,4.7,8.2,0.7,0.5,5.5,4.3,32.9,,113,112,https://www.basketball-reference.com/players/b/bookede01.html
52,Chris Boucher,PF,27,TOR,15,0,202,8.0,17.9,.447,1.9,6.1,.308,6.1,11.8,.520,4.0,5.4,.739,8.7,9.2,17.9,2.1,1.2,3.1,1.4,6.1,21.9,,123,100,https://www.basketball-reference.com/players/b/bouchch01.html
53,Brian Bowen,SG,21,IND,3,0,10,4.8,19.3,.250,0.0,4.8,.000,4.8,14.5,.333,0.0,0.0,,0.0,4.8,4.8,0.0,0.0,4.8,0.0,0.0,9.7,,55,104,https://www.basketball-reference.com/players/b/bowenbr02.html
54,Ky Bowman,PG,22,GSW,19,6,421,7.5,16.0,.472,2.3,5.3,.426,5.3,10.7,.495,1.6,1.7,.933,0.9,3.9,4.8,5.5,2.1,0.2,2.1,4.1,18.9,,111,115,https://www.basketball-reference.com/players/b/bowmaky01.html
