,Player,salary
220,Brandon Clarke,"$2,478,840"
221,Grayson Allen,"$2,429,400"
222,Avery Bradley,"$2,000,000"
223,Bruno Caboclo,"$1,845,301"
224,Dillon Brooks,"$1,618,520"
225,De'Anthony Melton,"$1,416,852"
226,Dakari Johnson,"$459,414"
227,Ivan Rabb,"$371,758"
228,Stephen Curry,"$40,231,758"
229,Klay Thompson,"$32,742,000"
230,D'Angelo Russell,"$27,285,000"
231,Draymond Green,"$18,539,130"
232,Kevon Looney,"$4,629,630"
233,Alec Burks,"$2,320,044"
234,Willie Cauley-Stein,"$2,177,483"
235,Jordan Poole,"$1,964,760"
236,Jacob Evans,"$1,925,880"
237,Omari Spellman,"$1,897,800"
238,Glenn Robinson,"$1,882,867"
239,Marquese Chriss,"$1,678,854"
240,Alen Smailagić,"$898,310"
241,Eric Paschall,"$898,310"
242,Shaun Livingston,"$666,667"
243,Khris Middleton,"$30,603,448"
244,Giannis Antetokounmpo,"$25,842,697"
245,Eric Bledsoe,"$15,625,000"
246,Brook Lopez,"$12,093,024"
247,George Hill,"$9,133,907"
248,Ersan İlyasova,"$7,000,000"
249,Robin Lopez,"$4,767,000"
250,Mirza Teletović,"$3,500,000"
251,Jon Leuer,"$3,169,348"
252,D.J. Wilson,"$2,961,120"
253,Donte DiVincenzo,"$2,905,800"
254,Wesley Matthews,"$2,564,753"
255,Kyle Korver,"$2,564,753"
256,Spencer Hawes,"$2,007,058"
257,Larry Sanders,"$1,865,547"
258,Pat Connaughton,"$1,723,050"
259,Dragan Bender,"$1,678,854"
260,Sterling Brown,"$1,618,520"
261,Thanasis Antetokounmpo,"$1,445,697"
262,George Hill,"$1,000,000"
263,Kemba Walker,"$34,379,100"
264,Gordon Hayward,"$32,700,690"
265,Marcus Smart,"$12,553,471"
266,Jayson Tatum,"$7,830,000"
267,Jaylen Brown,"$6,534,829"
268,Daniel Theis,"$5,000,000"
269,Enes Kanter,"$4,767,000"
270,Romeo Langford,"$3,458,400"
271,Guerschon Yabusele,"$3,117,240"
272,Vincent Poirier,"$2,505,793"
273,Grant Williams,"$2,379,840"
274,Robert Williams,"$1,937,520"
275,Semi Ojeleye,"$1,618,520"
276,Brad Wanamaker,"$1,445,697"
277,Carsen Edwards,"$1,200,000"
278,Javonte Green,"$898,310"
279,Max Strus,"$415,414"
280,Demetrius Jackson,"$92,857"
281,Kyle Lowry,"$33,296,296"
282,Marc Gasol,"$25,595,700"
283,Serge Ibaka,"$23,271,604"
284,Norman Powell,"$10,116,576"
285,Fred VanVleet,"$9,000,000"
286,Patrick McCaw,"$4,000,000"
287,Stanley Johnson,"$3,623,000"
288,Rondae Hollis-Jefferson,"$2,500,000"
289,Pascal Siakam,"$2,351,839"
290,OG Anunoby,"$2,281,800"
291,Chris Boucher,"$1,588,231"
292,Malcolm Miller,"$1,588,231"
293,Justin Hamilton,"$1,000,000"
294,Dewan Hernandez,"$898,310"
295,Matt Thomas,"$898,310"
296,Terence Davis,"$898,310"
297,Cameron Payne,"$150,000"
298,Isaiah Taylor,"$50,000"
299,Jimmy Butler,"$32,742,000"
300,Goran Dragić,"$19,217,900"
301,James Johnson,"$15,349,400"
302,Justise Winslow,"$13,000,000"
303,Dion Waiters,"$12,100,000"
304,Kelly Olynyk,"$11,667,885"
305,Meyers Leonard,"$11,286,515"
306,Ryan Anderson,"$5,214,583"
307,Tyler Herro,"$3,640,200"
308,Bam Adebayo,"$3,454,080"
309,Udonis Haslem,"$2,564,753"
310,Derrick Jones,"$1,645,357"
311,Duncan Robinson,"$1,416,852"
312,Kendrick Nunn,"$1,416,852"
313,KZ Okpala,"$898,310"
314,A.J. Hammons,"$350,087"
315,Yante Maten,"$100,000"
316,Tobias Harris,"$31,034,483"
317,Al Horford,"$28,000,000"
318,Joel Embiid,"$27,504,630"
319,Josh Richardson,"$10,100,000"
320,Ben Simmons,"$8,113,930"
321,Mike Scott,"$4,767,000"
322,Zhaire Smith,"$3,058,800"
323,Matisse Thybulle,"$2,582,160"
324,Kyle O'Quinn,"$2,028,594"
325,Trey Burke,"$2,028,594"
326,James Ennis,"$1,882,867"
327,Raul Neto,"$1,737,145"
328,Jonah Bolden,"$1,698,450"
329,Furkan Korkmaz,"$1,620,564"
330,Shake Milton,"$1,445,697"
331,Victor Oladipo,"$21,000,000"
332,Malcolm Brogdon,"$20,000,000"
333,Myles Turner,"$18,000,000"
334,T.J. Warren,"$10,810,000"
335,Jeremy Lamb,"$10,500,000"
336,Doug McDermott,"$7,333,334"
337,Justin Holiday,"$4,767,000"
338,Domantas Sabonis,"$3,529,555"
339,T.J. McConnell,"$3,500,000"
340,Goga Bitadze,"$2,816,760"
341,T.J. Leaf,"$2,813,280"
342,Monta Ellis,"$2,245,400"
343,Aaron Holiday,"$2,239,200"
344,Edmond Sumner,"$2,000,000"
345,JaKarr Sampson,"$1,737,145"
346,Alize Johnson,"$1,416,852"
347,Kevin Durant,"$37,199,000"
348,Kyrie Irving,"$31,742,000"
349,Spencer Dinwiddie,"$10,600,000"
350,DeAndre Jordan,"$9,881,598"
351,Joe Harris,"$7,670,000"
352,Deron Williams,"$5,474,787"
353,Garrett Temple,"$4,767,000"
354,Taurean Waller-Prince,"$3,481,986"
355,Caris LeVert,"$2,625,718"
356,Wilson Chandler,"$2,564,753"
357,Jarrett Allen,"$2,376,840"
358,Iman Shumpert,"$2,031,677"
359,Džanan Musa,"$1,911,600"
360,Rodions Kurucs,"$1,699,236"
361,David Nwaba,"$1,678,854"
362,Theo Pinson,"$1,445,697"
363,Nicolas Claxton,"$898,310"
364,Nikola Vučević,"$28,000,000"
365,Aaron Gordon,"$19,863,636"
366,Evan Fournier,"$17,000,000"
367,Terrence Ross,"$12,500,000"
368,Markelle Fultz,"$9,745,200"
369,Al-Farouq Aminu,"$9,258,000"
370,D.J. Augustin,"$7,250,000"
371,Jonathan Isaac,"$5,806,440"
372,Mo Bamba,"$5,697,600"
373,Timofey Mozgov,"$5,573,333"
374,Khem Birch,"$3,000,000"
375,Michael Carter-Williams,"$2,028,594"
376,Wesley Iwundu,"$1,618,520"
377,Melvin Frazier,"$1,416,852"
378,Amile Jefferson,"$1,355,851"
379,C.J. Watson,"$333,333"
380,Nicolas Batum,"$25,565,217"
381,Terry Rozier,"$19,894,737"
382,Bismack Biyombo,"$17,000,000"
383,Marvin Williams,"$15,006,250"
384,Cody Zeller,"$14,471,910"
385,Michael Kidd-Gilchrist,"$13,000,000"
386,Malik Monk,"$4,028,400"
387,PJ Washington,"$3,831,840"
388,Miles Bridges,"$3,755,400"
389,Willy Hernangómez,"$1,676,735"
390,Dwayne Bacon,"$1,618,520"
391,Devonte' Graham,"$1,416,852"
392,Cody Martin,"$1,173,310"
393,Caleb Martin,"$898,310"
394,Blake Griffin,"$34,234,964"
395,Andre Drummond,"$27,093,019"
396,Reggie Jackson,"$18,086,956"
397,Tony Snell,"$11,392,857"
398,Langston Galloway,"$7,333,333"
399,Derrick Rose,"$7,317,073"
400,Josh Smith,"$5,331,729"
401,Luke Kennard,"$3,827,160"
402,Thon Maker,"$3,569,643"
403,Sekou Doumbouya,"$3,285,120"
404,Markieff Morris,"$3,200,000"
405,Tim Frazier,"$1,882,867"
406,Christian Wood,"$1,645,357"
407,Bruce Brown,"$1,416,852"
408,Sviatoslav Mykhailiuk,"$1,416,852"
409,Khyri Thomas,"$838,464"
410,Joe Johnson,"$220,000"
411,Otto Porter,"$27,250,576"
412,Zach LaVine,"$19,500,000"
413,Thaddeus Young,"$12,900,000"
414,Tomáš Satoranský,"$10,000,000"
415,Cristiano Felício,"$8,156,500"
416,Kris Dunn,"$5,348,007"
417,Coby White,"$5,307,120"
418,Lauri Markkanen,"$5,300,400"
419,Wendell Carter,"$5,201,400"
420,Denzel Valentine,"$3,377,569"
421,Ömer Aşık,"$3,000,000"
422,Ryan Arcidiacono,"$3,000,000"
423,Chandler Hutchison,"$2,332,320"
424,Luke Kornet,"$2,195,122"
425,Daniel Gafford,"$898,310"
426,Shaquille Harrison,"$898,310"
427,John Wall,"$37,800,000"
428,Bradley Beal,"$27,093,019"
429,Ian Mahinmi,"$15,450,051"
430,C.J. Miles,"$8,730,158"
431,Thomas Bryant,"$7,936,508"
432,Dāvis Bertāns,"$7,000,000"
433,Ish Smith,"$5,853,659"
434,Rui Hachimura,"$4,469,160"
435,Troy Brown,"$3,219,480"
436,Isaiah Thomas,"$2,320,044"
437,Moritz Wagner,"$2,063,520"
438,Jordan McRae,"$1,645,357"
439,Isaac Bonga,"$1,416,852"
440,Jonathon Simmons,"$1,000,000"
441,Admiral Schofield,"$898,310"
442,Justin Robinson,"$898,310"
443,Jemerrio Jones,"$199,000"
444,Kevin Love,"$28,900,000"
445,Tristan Thompson,"$18,539,130"
446,Brandon Knight,"$15,643,750"
447,Jordan Clarkson,"$13,437,500"
448,Larry Nance,"$12,727,273"
449,John Henson,"$9,732,396"
450,Matthew Dellavedova,"$9,607,500"
451,Darius Garland,"$6,400,920"
452,Collin Sexton,"$4,764,960"
453,Cedi Osman,"$2,907,143"
454,Ante Žižić,"$2,281,800"
455,Dylan Windler,"$2,035,800"
456,Alfonzo McKinnie,"$1,588,231"
457,J.R. Smith,"$1,456,667"
458,Kevin Porter,"$1,290,960"
459,Chandler Parsons,"$25,102,511"
460,Evan Turner,"$18,606,557"
461,Allen Crabbe,"$18,500,000"
462,De'Andre Hunter,"$7,068,360"
463,Jabari Parker,"$6,500,000"
464,Trae Young,"$6,273,000"
465,Cam Reddish,"$4,245,720"
466,Alex Len,"$4,160,000"
467,John Collins,"$2,686,560"
468,Kevin Huerter,"$2,636,280"
469,DeAndre' Bembry,"$2,603,982"
470,Vince Carter,"$2,564,753"
471,Damian Jones,"$2,305,057"
472,Tyrone Wallace,"$1,588,231"
473,Bruno Fernando,"$1,400,000"
474,Jaylen Adams,"$100,000"
475,Julius Randle,"$18,000,000"
476,Bobby Portis,"$15,000,000"
477,Marcus Morris,"$15,000,000"
478,Taj Gibson,"$9,800,000"
479,Elfrid Payton,"$8,000,000"
480,RJ Barrett,"$7,839,960"
481,Wayne Ellington,"$7,804,878"
482,Joakim Noah,"$6,431,666"
483,Frank Ntilikina,"$4,855,800"
484,Dennis Smith,"$4,463,640"
485,Kevin Knox,"$4,380,120"
486,Reggie Bullock,"$4,000,000"
487,Allonzo Trier,"$3,551,100"
488,Damyean Dotson,"$1,618,520"
489,Mitchell Robinson,"$1,559,712"
490,Ignas Brazdeikis,"$898,310"
