,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,url_list,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,Unnamed: 0,salary,Team,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR
126,Goran Dragić,PG,33.0,MIA,16.0,1.0,460.0,8.2,18.3,0.446,3.6,8.9,0.40700000000000003,4.5,9.4,0.484,5.2,7.3,0.7040000000000001,0.4,4.9,5.3,8.3,1.1,0.4,4.6,2.7,25.1,108.0,107.0,https://www.basketball-reference.com/players/d/dragigo01.html,15.2,0.583,0.486,0.401,1.1,11.0,6.3,27.1,1.1,0.9,17.8,23.7,0.0,0.6,0.6,1.1,0.11699999999999999,0.0,0.4,-1.4,-1.0,0.1,300.0,"$19,217,900",,,,,,,,,,,,
131,Henry Ellenson,PF,23.0,BRK,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,https://www.basketball-reference.com/players/e/ellenhe01.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006999999999999999,0.0,-6.3,0.0,-6.2,0.0,,,Nets,3.0,-0.6,-12.5,-13.1,-17.2,-3.6,-20.8,-3.9,-11.6,-15.4,-0.0
134,James Ennis,SF,29.0,PHI,18.0,0.0,286.0,7.5,14.2,0.529,2.2,5.7,0.382,5.4,8.5,0.627,2.8,4.0,0.708,4.0,6.2,10.2,2.0,1.3,0.7,2.0,5.9,20.1,122.0,105.0,https://www.basketball-reference.com/players/e/ennisja01.html,15.3,0.628,0.4,0.282,9.5,14.1,11.8,6.0,1.3,1.2,11.2,15.9,0.0,0.6,0.4,1.0,0.166,0.0,1.1,-0.4,0.7,0.2,326.0,"$1,882,867",,,,,,,,,,,,
135,Drew Eubanks,PF,22.0,SAS,1.0,0.0,2.0,0.0,47.5,0.0,0.0,0.0,0.0,0.0,47.5,0.0,0.0,0.0,0.0,47.5,23.7,71.2,0.0,0.0,0.0,23.7,23.7,0.0,46.0,109.0,https://www.basketball-reference.com/players/e/eubandr01.html,-27.9,0.0,0.0,0.0,100.0,54.7,80.1,0.0,0.0,0.0,33.3,63.2,0.0,0.0,0.0,0.0,-1.117,0.0,-40.6,-24.2,-64.8,0.0,,,Spurs,2.0,-39.9,-9.7,-49.6,-38.0,1.0,-37.1,-42.0,-8.3,-50.2,-0.1
138,Tacko Fall,C,24.0,BOS,1.0,0.0,4.0,24.0,48.1,0.5,0.0,0.0,0.0,24.0,48.1,0.5,0.0,0.0,0.0,0.0,36.1,36.1,0.0,0.0,0.0,12.0,24.0,48.1,71.0,89.0,https://www.basketball-reference.com/players/f/fallta01.html,7.9,0.5,0.0,0.0,0.0,76.5,38.4,0.0,0.0,0.0,20.0,53.1,0.0,0.0,0.0,0.0,-0.221,0.0,-24.8,-14.3,-39.1,0.0,,,Celtics,4.0,-31.0,-0.4,-31.4,-12.2,3.3,-8.9,-29.2,0.0,-29.2,-0.1
147,Melvin Frazier,SG,23.0,ORL,2.0,0.0,8.0,6.1,30.7,0.2,0.0,6.1,0.0,6.1,24.6,0.25,0.0,0.0,0.0,6.1,0.0,6.1,6.1,0.0,0.0,0.0,0.0,12.3,66.0,115.0,https://www.basketball-reference.com/players/f/frazime01.html,-0.9,0.2,0.2,0.0,12.6,0.0,6.6,18.9,0.0,0.0,0.0,27.1,0.0,0.0,0.0,0.0,-0.253,0.0,-8.8,-4.8,-13.6,0.0,377.0,"$1,416,852",,,,,,,,,,,,
159,Harry Giles,PF,21.0,SAC,7.0,0.0,52.0,10.4,23.6,0.44,0.0,0.0,0.0,10.4,23.6,0.44,1.9,1.9,1.0,2.8,3.8,6.6,4.7,1.9,2.8,4.7,12.3,22.7,90.0,109.0,https://www.basketball-reference.com/players/g/gilesha01.html,9.8,0.46399999999999997,0.0,0.08,6.5,9.0,7.7,16.3,1.9,5.3,16.2,25.9,0.0,-0.1,0.1,0.0,-0.027999999999999997,0.0,-5.7,0.9,-4.9,0.0,135.0,"$2,578,800",,,,,,,,,,,,
167,Josh Gray,PG,26.0,NOP,2.0,0.0,23.0,2.0,4.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,10.0,2.0,4.0,47.0,121.0,https://www.basketball-reference.com/players/g/grayjo01.html,-4.9,0.5,0.0,0.0,4.4,4.8,4.6,10.5,0.0,0.0,71.4,12.3,0.0,-0.1,0.0,-0.1,-0.244,0.0,-10.7,-2.2,-12.9,-0.1,,,Pelicans,23.0,-8.3,0.6,-7.6,-18.5,9.3,-9.2,-10.6,2.3,-8.3,-0.1
176,Devon Hall,SG,24.0,OKC,2.0,0.0,15.0,3.2,12.9,0.25,0.0,6.4,0.0,3.2,6.4,0.5,9.6,12.9,0.75,0.0,3.2,3.2,6.4,0.0,0.0,3.2,3.2,16.1,91.0,116.0,https://www.basketball-reference.com/players/h/hallde01.html,5.6,0.434,0.5,1.0,0.0,7.1,3.6,18.2,0.0,0.0,14.8,19.8,0.0,0.0,0.0,0.0,-0.042,0.0,-5.5,-4.6,-10.1,0.0,,,Thunder,15.0,-5.0,-15.8,-20.8,30.7,-1.2,29.5,1.4,-13.9,-12.5,-0.1
177,Tim Hardaway,SG,27.0,DAL,17.0,4.0,396.0,8.5,20.8,0.40700000000000003,4.5,12.3,0.363,4.0,8.5,0.47100000000000003,3.6,4.7,0.769,0.6,3.5,4.1,4.0,0.8,0.2,0.8,4.2,25.0,117.0,114.0,https://www.basketball-reference.com/players/h/hardati02.html,14.2,0.547,0.593,0.22699999999999998,1.3,7.3,4.4,12.0,0.8,0.4,3.6,20.8,0.0,0.8,0.2,1.0,0.11599999999999999,0.0,1.8,-3.3,-1.6,0.0,78.0,"$18,150,000",,,,,,,,,,,,
180,Jared Harper,PG,22.0,PHO,1.0,0.0,2.0,0.0,23.3,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,https://www.basketball-reference.com/players/h/harpeja01.html,-19.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,0.0,0.0,0.0,0.0,-0.53,0.0,-15.9,-6.9,-22.8,0.0,,,Suns,2.0,-12.9,-8.9,-21.7,-18.0,-1.9,-19.9,-14.6,-8.1,-22.8,-0.0
193,Juan Hernangómez,PF,24.0,DEN,9.0,0.0,122.0,4.8,10.4,0.462,2.8,6.8,0.41200000000000003,2.0,3.6,0.556,0.8,2.0,0.4,1.6,7.2,8.8,2.4,0.0,0.8,2.8,2.8,13.2,100.0,107.0,https://www.basketball-reference.com/players/h/hernaju01.html,7.8,0.585,0.654,0.192,3.4,15.7,9.5,6.6,0.0,1.5,19.9,12.3,0.0,0.0,0.2,0.2,0.061,0.0,-3.0,0.1,-3.0,0.0,24.0,"$3,321,030",,,,,,,,,,,,
194,Willy Hernangómez,C,25.0,CHO,6.0,0.0,48.0,7.0,17.1,0.41200000000000003,2.0,4.0,0.5,5.0,13.1,0.385,3.0,6.0,0.5,5.0,7.0,12.1,2.0,1.0,3.0,3.0,2.0,19.1,97.0,111.0,https://www.basketball-reference.com/players/h/hernawi01.html,13.9,0.484,0.235,0.353,11.0,17.0,13.9,6.3,1.0,5.5,13.3,20.3,0.0,0.0,0.0,0.0,0.02,0.0,-4.3,-0.2,-4.5,0.0,406.0,"$1,676,735",,,,,,,,,,,,
201,Jaylen Hoard,SF,20.0,POR,3.0,0.0,11.0,4.2,8.5,0.5,0.0,0.0,0.0,4.2,8.5,0.5,0.0,0.0,0.0,4.2,12.7,17.0,4.2,4.2,0.0,0.0,4.2,8.5,137.0,102.0,https://www.basketball-reference.com/players/h/hoardja01.html,16.6,0.5,0.0,0.0,9.3,27.4,18.4,11.7,4.2,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.182,0.0,-0.4,3.5,3.1,0.0,,,Trail Blazers,11.0,6.6,-7.9,-1.3,-1.0,-15.2,-16.3,5.5,-9.7,-4.2,-0.0
