,Player,Age_x,W,L,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%_x,OREB,DREB_x,REB,AST,TOV,PF,FP,DD2,TD3,+/-,DEF_RTG,DREB_y,DREB%,T_DREB%_x,STL,T_STL%_x,BLK,T_BLK%_x,OP_TOV,OP_2NDPTS,OP_PAINT,DEF_WS,USG%,T_FGM%,T_FGA%,T_3PM%,T_3PA%,T_FTM%,T_FTA%,T_OREB%,T_DREB%_y,T_REB%,T_AST%,T_TOV%,T_STL%_y,T_BLK%_y,T_BLKA%,T_PF%,T_PFD%,T_PTS%,Age_y,FGA_2P%,FGA_3P%,2PT%,2PT_MR%,3PT%,FBPTS%,FT%_y,OFFTOV%,PAINTPTS%,AST_2FGM%,UAST_2FGM%,AST_3FGM%,UAST_3FGM%,FGM_AST%,FGM_UAST%,PTS_TOV,2ND_CH_PTS,FB_PTS,PAINT_PTS,OPP_PTS_TOV,OPP_2ND_PTS,OPP_FBPTS,OPP_PAINT_PTS,BLKA,PFD,Team,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,Unnamed: 0,salary
259,CJ Miles,32,4,6,16.1,1.9,5.9,32.2,1.1,3.5,31.4,1.5,2.0,75.0,0.4,0.8,1.2,1.2,0.4,1.4,13.4,0,0,-0.8,0.8,5.0,7.5,1.0,40.0,0.4,22.2,6.1,4.1,3.7,16.8,0.016,16.9,12.6,17.7,24.4,25.2,23.4,26.7,10.8,7.5,8.4,12.8,9.1,40.0,22.2,12.5,16.5,18.7,15.6,32,40.7,59.3,25.0,3.1,51.6,14.1,23.4,18.8,21.9,75.0,25.0,90.9,9.1,84.2,15.8,1.2,1.3,0.9,1.4,6.1,4.1,3.7,16.8,0.2,1.4,Wizards,161.0,1.2,-0.3,0.9,0.1,-6.6,-6.5,1.0,-1.4,-0.4,0.2,,
260,Skal Labissiere,23,8,12,16.7,2.8,4.9,56.7,0.1,0.4,28.6,0.8,1.1,68.2,2.1,3.0,5.1,1.2,1.2,2.8,16.9,1,0,-1.0,3.0,15.2,22.6,0.3,12.5,1.1,55.3,5.6,5.3,4.5,17.3,0.055,16.0,19.9,15.4,2.2,2.9,13.2,14.8,56.0,22.6,30.0,16.2,23.0,12.5,55.3,12.1,31.8,13.4,16.7,23,92.8,7.2,83.5,20.5,4.7,7.1,11.8,7.1,63.0,73.6,26.4,100,0.0,74.5,25.5,0.5,1.6,0.5,4.0,5.6,5.3,4.5,17.3,0.2,1.0,Trail Blazers,317.0,-0.7,0.9,0.3,-1.3,0.4,-0.8,-0.8,0.9,0.1,0.5,,
262,Kevin Porter Jr.,19,5,13,20.4,2.4,6.2,38.7,0.4,2.1,21.1,1.1,1.4,76.0,0.3,2.7,3.0,1.9,1.3,2.6,14.4,0,0,-6.8,2.7,12.6,19.5,0.8,20.6,0.2,16.0,7.0,7.2,5.6,18.8,0.029,16.6,16.3,17.2,9.9,14.3,14.5,14.5,8.6,19.5,17.1,22.5,20.3,20.6,16.0,17.2,32.2,12.6,15.3,19,65.8,34.2,61.9,12.4,21.2,21.2,16.8,15.9,49.6,34.3,65.7,62.5,37.5,39.5,60.5,1.0,0.6,1.3,3.1,7.0,7.2,5.6,18.8,0.6,1.1,Cavaliers,355.0,-2.1,-4.1,-6.2,-8.6,-3.9,-12.5,-3.4,-4.2,-7.6,-0.9,,
267,Nicolo Melli,28,6,11,16.1,2.0,4.6,43.6,1.1,3.2,35.2,0.9,1.2,80.0,0.7,2.1,2.8,1.2,0.7,1.8,13.1,0,0,-3.5,2.1,13.4,20.6,0.6,26.8,0.2,12.0,6.2,5.5,6.1,18.5,0.012,14.9,16.0,15.7,20.7,22.3,16.7,16.4,25.5,20.6,21.6,16.2,13.3,26.8,12.0,0.0,28.4,20.3,16.8,28,30.8,69.2,29.1,7.8,55.3,1.0,15.5,21.4,21.4,53.3,46.7,100,0.0,79.4,20.6,1.3,1.0,0.1,1.3,6.2,5.5,6.1,18.5,0.0,1.4,Pelicans,263.0,-0.2,-2.7,-2.9,-4.0,-4.8,-8.8,-0.9,-3.1,-4.1,-0.2,,
285,Jakob Poeltl,24,7,13,17.5,2.4,4.2,57.1,0.0,0.0,0.0,0.8,1.4,57.1,2.2,3.6,5.8,1.4,1.0,1.8,18.7,1,0,2.4,3.6,19.3,28.3,0.5,21.3,1.2,50.0,4.5,4.2,4.6,15.9,0.055,13.4,14.3,12.2,0.0,0.0,14.2,19.6,50.0,28.3,33.9,14.2,20.2,21.3,50.0,28.9,26.7,23.3,13.1,24,100,0.0,85.7,1.8,0.0,11.6,14.3,12.5,83.9,75.0,25.0,0.0,0.0,75.0,25.0,0.7,1.7,0.7,4.7,4.5,4.2,4.6,15.9,0.6,1.7,Spurs,334.0,0.2,4.5,4.8,7.5,1.7,9.2,1.6,4.4,6.0,1.5,,
292,Dzanan Musa,20,8,6,16.3,1.8,5.4,33.3,0.5,2.7,18.4,1.4,1.9,73.1,0.5,2.4,2.9,1.1,1.5,0.9,10.9,0,0,-3.5,2.4,12.4,19.0,0.5,21.9,0.1,3.4,7.8,5.0,6.5,14.7,0.051,19.1,14.4,18.0,15.6,22.2,20.4,20.8,17.5,19.0,18.7,13.9,25.6,21.9,3.4,30.4,12.7,23.1,15.6,20,49.3,50.7,47.4,0.0,27.6,14.5,25.0,21.1,47.4,66.7,33.3,85.7,14.3,72.0,28.0,1.1,0.8,0.8,2.6,7.8,5.0,6.5,14.7,0.5,1.8,Nets,211.0,-4.5,1.2,-3.3,-8.5,0.7,-7.9,-5.5,1.2,-4.3,-0.2,,
297,Chris Clemons,22,9,4,8.9,1.8,4.0,46.2,1.4,3.3,41.9,0.2,0.3,75.0,0.2,0.5,0.7,0.5,0.5,0.9,7.3,0,0,0.2,0.5,5.0,8.0,0.2,15.4,0.2,14.3,3.2,3.0,2.0,8.6,0.032,21.4,25.8,24.4,43.9,33.3,7.3,7.8,8.7,8.0,8.1,12.0,17.1,15.4,14.3,16.7,21.8,14.6,25.7,22,17.3,82.7,17.4,2.9,78.3,10.1,4.3,18.8,14.5,0.0,100,66.7,33.3,50.0,50.0,1.0,0.5,0.5,0.8,3.2,3.0,2.0,8.6,0.2,0.5,Rockets,101.0,3.1,1.9,5.0,-2.1,0.3,-1.8,2.3,1.7,4.0,0.4,,
301,Dennis Smith Jr.,22,2,10,15.5,2.0,5.8,34.3,0.6,1.8,31.8,0.5,0.9,54.5,0.8,0.9,1.8,2.6,1.6,2.3,11.2,0,0,-6.7,0.9,5.4,8.0,0.5,31.6,0.1,6.7,7.0,5.6,3.4,15.2,0.020,20.8,18.2,21.3,15.6,17.3,11.8,14.5,24.4,8.0,11.7,40.8,26.8,31.6,6.7,23.5,28.3,19.7,16.9,22,68.6,31.4,55.7,9.8,34.4,9.8,9.8,13.1,45.9,17.6,82.4,57.1,42.9,29.2,70.8,0.7,0.8,0.5,2.3,7.0,5.6,3.4,15.2,0.3,1.1,Knicks,172.0,-4.0,-3.1,-7.1,-6.9,-5.3,-12.2,-4.7,-3.6,-8.3,-0.5,,
311,Ante Zizic,22,0,5,13.3,2.0,3.6,55.6,0.0,0.0,0.0,0.8,1.0,80.0,1.0,2.0,3.0,0.0,0.2,1.6,9.4,0,0,-2.4,2.0,14.7,22.2,0.2,14.3,0.2,33.3,3.4,3.6,3.4,14.0,-0.016,13.2,17.9,15.4,0.0,0.0,14.3,12.5,45.5,22.2,26.8,0.0,5.3,14.3,33.3,25.0,29.6,23.3,15.2,22,100,0.0,83.3,0.0,0.0,8.3,16.7,16.7,83.3,80.0,20.0,0.0,0.0,80.0,20.0,0.8,1.0,0.4,4.0,3.4,3.6,3.4,14.0,0.4,1.4,Cavaliers,64.0,-3.6,-1.4,-4.9,1.6,-8.0,-6.4,-2.7,-2.6,-5.3,-0.1,,
320,Naz Mitrou-Long,26,2,1,14.2,2.0,5.3,37.5,0.7,3.7,18.2,0.0,0.0,0.0,0.0,2.0,2.0,2.3,0.7,0.3,11.9,0,0,6.0,2.0,11.5,14.3,0.3,25.0,0.3,16.7,4.7,2.0,2.7,10.7,0.165,17.3,17.6,19.0,22.2,37.9,0.0,0.0,0.0,14.3,11.5,38.9,22.2,25.0,16.7,0.0,6.3,13.6,15.6,26,31.3,68.8,57.1,0.0,42.9,28.6,0.0,21.4,57.1,25.0,75.0,100,0.0,50.0,50.0,1.0,0.0,1.3,2.7,4.7,2.0,2.7,10.7,0.0,1.0,Pacers,43.0,-1.1,6.4,5.4,-1.9,14.3,12.4,-1.3,8.2,6.9,0.2,,
323,Svi Mykhailiuk,22,4,10,15.7,1.5,3.8,39.6,1.4,2.9,46.3,0.1,0.1,100,0.3,0.9,1.1,1.2,0.9,1.2,7.9,0,0,1.2,0.9,5.6,8.5,0.3,14.8,0.1,3.3,5.2,4.8,4.5,16.6,0.038,12.7,11.6,13.8,28.8,26.6,2.4,1.7,8.9,8.5,8.6,14.0,16.9,14.8,3.3,3.7,16.7,6.4,12.4,22,22.6,77.4,6.3,0.0,90.5,22.2,3.2,4.8,6.3,50.0,50.0,100,0.0,95.2,4.8,0.2,1.1,1.0,0.3,5.2,4.8,4.5,16.6,0.1,0.4,Pistons,205.0,-1.9,-3.0,-4.9,2.6,0.9,3.5,-1.2,-2.4,-3.6,-0.1,,
329,Kelan Martin,24,4,4,14.5,1.9,5.5,34.1,0.6,3.0,20.8,0.0,0.0,0.0,0.3,2.9,3.1,0.3,0.4,2.3,8.9,0,0,-3.0,2.9,15.9,24.5,0.1,6.7,0.1,6.3,5.6,4.5,2.8,13.8,0.055,16.0,18.5,20.7,17.9,25.0,0.0,0.0,6.9,24.5,20.3,4.5,7.5,6.7,6.3,0.0,30.0,1.9,15.1,24,45.5,54.5,57.1,17.1,42.9,14.3,0.0,14.3,40.0,50.0,50.0,100,0.0,66.7,33.3,0.6,0.9,0.6,1.8,5.6,4.5,2.8,13.8,0.0,0.1,Timberwolves,116.0,-4.5,-2.5,-7.0,-9.3,4.6,-4.7,-5.6,-1.4,-7.0,-0.2,,
334,Robert Williams III,22,11,5,14.4,1.9,2.6,73.8,0.0,0.0,0.0,0.4,0.7,54.5,1.1,3.4,4.5,1.3,0.9,1.8,17.1,0,0,-0.3,3.4,22.1,36.0,1.0,29.1,1.1,56.3,5.2,5.1,3.5,12.6,0.025,11.2,15.6,10.0,0.0,0.0,6.6,9.7,36.0,36.0,36.0,19.4,22.2,29.1,56.3,0.0,24.6,12.1,12.5,22,100,0.0,91.2,5.9,0.0,5.9,8.8,14.7,85.3,74.2,25.8,0.0,0.0,74.2,25.8,0.6,1.1,0.3,3.6,5.2,5.1,3.5,12.6,0.0,0.8,Celtics,213.0,-1.3,1.8,0.6,4.5,-8.0,-3.5,-0.3,0.0,-0.3,0.3,,
335,Chris Silva,23,13,4,10.5,1.6,2.4,67.5,0.0,0.1,0.0,1.1,1.5,69.2,1.9,2.4,4.4,0.7,1.4,2.9,12.3,0,0,1.8,2.4,20.8,30.8,0.2,12.9,0.8,70.0,5.9,3.3,3.4,8.0,0.055,16.8,17.4,12.8,0.0,1.5,31.6,33.8,64.7,30.8,40.2,12.8,27.0,12.9,70.0,36.4,48.5,36.8,17.0,23,95.0,5.0,75.0,5.6,0.0,0.0,25.0,15.3,69.4,63.0,37.0,0.0,0.0,63.0,37.0,0.6,1.5,0.0,2.9,5.9,3.3,3.4,8.0,0.2,1.5,Heat,161.0,-2.0,4.1,2.1,3.8,1.6,5.4,-1.1,3.6,2.5,0.4,,
338,TJ Leaf,22,9,6,10.5,1.7,3.9,44.8,0.3,0.7,45.5,0.3,0.5,62.5,1.3,2.5,3.8,0.4,0.4,0.9,10.9,1,0,0.7,2.5,20.0,29.1,0.5,35.0,0.2,15.0,3.9,2.3,2.8,9.9,0.073,17.1,19.4,18.8,17.2,12.1,13.5,16.3,46.5,29.1,33.5,7.3,10.5,35.0,15.0,25.0,23.3,14.0,18.6,22,81.0,19.0,67.7,0.0,24.2,12.9,8.1,12.9,67.7,66.7,33.3,100,0.0,73.1,26.9,0.5,0.7,0.5,2.8,3.9,2.3,2.8,9.9,0.3,0.5,Pacers,158.0,0.2,0.4,0.6,-7.2,5.0,-2.2,-1.1,1.2,0.0,0.2,,
343,Shamorie Ponds,21,1,0,5.9,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,8.2,0,0,2.0,1.0,50.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,-0.043,21.4,28.6,27.3,0.0,16.7,0.0,0.0,0.0,50.0,50.0,40.0,0.0,0.0,0.0,0.0,66.7,0.0,21.1,21,66.7,33.3,100,0.0,0.0,50.0,0.0,50.0,100,50.0,50.0,0.0,0.0,50.0,50.0,2.0,0.0,2.0,4.0,2.0,0.0,3.0,4.0,0.0,0.0,Raptors,6.0,8.7,-47.5,-38.8,25.7,-19.3,6.4,12.2,-45.1,-32.9,-0.1,,
344,Tacko Fall,23,1,0,3.6,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,6.6,0,0,-2.0,3.0,60.0,60.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.036,62.5,66.7,80.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,50.0,0.0,0.0,0.0,100,0.0,66.7,23,100,0.0,100,0.0,0.0,0.0,0.0,0.0,100,100,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,Celtics,4.0,-31.0,-0.4,-31.4,-12.2,3.3,-8.9,-29.2,0.0,-29.2,-0.1,,
345,Yuta Watanabe,25,0,1,2.9,2.0,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.2,0,0,5.0,1.0,50.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.076,22.2,40.0,25.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,100,0.0,40.0,25,100,0.0,100,50.0,0.0,0.0,0.0,50.0,50.0,0.0,100,0.0,0.0,0.0,100,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,Grizzlies,3.0,15.0,4.0,19.0,7.7,35.6,43.3,14.5,10.2,24.7,0.0,,
356,Gary Trent Jr.,20,3,8,8.5,1.4,3.0,45.5,1.0,2.1,47.8,0.0,0.0,0.0,0.3,0.8,1.1,0.5,0.2,0.6,6.6,0,0,-2.1,0.8,9.0,14.8,0.2,16.7,0.2,16.7,3.1,2.5,3.4,10.2,-0.002,15.5,19.5,18.5,35.5,29.9,0.0,0.0,16.7,14.8,15.2,14.7,8.0,16.7,16.7,9.1,15.9,8.1,19.2,20,30.3,69.7,19.5,4.9,80.5,0.0,0.0,7.3,14.6,50.0,50.0,90.9,9.1,80.0,20.0,0.3,0.5,0.0,0.5,3.1,2.5,3.4,10.2,0.1,0.3,Trail Blazers,93.0,4.0,-2.4,1.6,-0.8,-8.8,-9.7,3.3,-3.7,-0.4,0.1,,
357,Michael Porter Jr.,21,8,2,9.0,1.5,3.4,44.1,0.2,1.0,20.0,0.5,0.8,62.5,0.8,1.5,2.3,0.4,0.6,1.3,7.4,0,0,-2.8,1.5,14.7,22.7,0.0,0.0,0.3,25.0,2.5,2.9,4.0,8.4,0.032,19.7,21.7,20.4,14.3,20.4,17.2,17.4,44.4,22.7,27.4,8.9,20.7,0.0,25.0,30.8,31.0,12.2,20.4,21,70.6,29.4,70.3,21.6,16.2,13.5,13.5,10.8,48.6,61.5,38.5,50.0,50.0,60.0,40.0,0.4,0.9,0.5,1.8,2.5,2.9,4.0,8.4,0.4,0.5,Nuggets,90.0,-3.6,-0.1,-3.7,-10.3,-5.2,-15.5,-5.0,-1.2,-6.2,-0.2,,
367,Harry Giles III,21,3,4,7.4,1.6,3.6,44.0,0.0,0.0,0.0,0.3,0.3,100,0.4,0.6,1.0,0.7,0.7,1.9,7.1,0,0,-3.7,0.6,9.8,14.8,0.3,20.0,0.4,42.9,2.0,1.3,1.9,6.9,0.008,27.0,29.7,28.1,0.0,0.0,16.7,11.8,37.5,14.8,20.0,21.7,29.4,20.0,42.9,20.0,39.4,23.8,25.3,21,100,0.0,91.7,33.3,0.0,8.3,8.3,25.0,58.3,81.8,18.2,0.0,0.0,81.8,18.2,0.9,0.3,0.3,2.0,2.0,1.3,1.9,6.9,0.1,0.7,Kings,52.0,-8.6,-3.4,-12.0,-13.0,-1.5,-14.5,-9.9,-3.2,-13.1,-0.3,,
368,Willy Hernangomez,25,1,6,8.1,1.3,2.9,45.0,0.3,0.7,40.0,0.6,1.1,50.0,1.3,1.7,3.0,0.3,0.7,0.6,8.5,0,0,-4.1,1.7,21.1,30.8,0.1,14.3,0.4,60.0,5.3,1.4,2.7,8.6,0.002,20.9,23.1,19.8,22.2,12.8,16.7,21.1,64.3,30.8,39.6,8.7,26.3,14.3,60.0,50.0,18.2,22.6,21.6,25,75.0,25.0,58.3,0.0,25.0,0.0,16.7,29.2,58.3,71.4,28.6,100,0.0,77.8,22.2,1.0,0.7,0.0,2.0,5.3,1.4,2.7,8.6,0.3,1.0,Hornets,48.0,-5.4,-2.2,-7.6,-12.1,-6.4,-18.5,-6.9,-2.9,-9.8,-0.2,,
369,Juancho Hernangomez,24,8,2,13.0,1.2,2.7,44.4,0.7,1.8,38.9,0.3,0.7,42.9,0.4,2.1,2.5,0.7,0.7,0.7,7.7,0,0,0.9,2.1,15.1,21.2,0.0,0.0,0.3,17.6,4.7,3.2,2.9,12.6,0.067,11.4,10.6,10.8,20.6,22.0,10.7,14.3,13.8,21.2,19.5,9.1,16.7,0.0,17.6,0.0,12.3,24.5,11.8,24,33.3,66.7,29.4,0.0,61.8,26.5,8.8,8.8,29.4,80.0,20.0,100,0.0,91.7,8.3,0.3,1.2,0.9,1.0,4.7,3.2,2.9,12.6,0.0,1.2,Nuggets,122.0,-2.5,0.9,-1.6,2.0,3.2,5.2,-1.7,1.2,-0.5,0.1,,
372,Wes Iwundu,24,4,5,14.7,0.9,3.4,25.8,0.1,1.0,11.1,1.4,1.8,81.3,0.3,1.9,2.2,0.8,0.4,0.9,8.7,0,0,-2.6,1.9,14.4,19.8,0.4,15.4,0.2,13.3,5.2,5.1,4.0,14.9,0.037,13.7,7.5,12.6,3.7,11.5,33.3,30.8,11.1,19.8,17.7,13.2,11.4,15.4,13.3,20.0,17.8,15.6,10.7,24,71.0,29.0,46.7,20.0,10.0,30.0,43.3,43.3,26.7,71.4,28.6,100,0.0,75.0,25.0,1.4,0.3,1.0,0.9,5.2,5.1,4.0,14.9,0.3,0.8,Magic,132.0,-4.9,-0.2,-5.1,-1.4,-4.1,-5.5,-4.5,-1.0,-5.5,-0.2,,
384,Norvel Pelle,26,1,0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,2.0,2.0,1.0,2.0,3.0,16.9,0,0,-6.0,2.0,13.3,25.0,0.0,0.0,4.0,80.0,10.0,5.0,2.0,14.0,0.060,15.4,0.0,0.0,0.0,0.0,50.0,50.0,0.0,25.0,22.2,20.0,28.6,0.0,80.0,0.0,30.0,33.3,15.8,26,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,5.0,2.0,14.0,0.0,2.0,,,,,,,,,,,,,,
389,Jordan McLaughlin,23,2,2,14.3,1.0,3.8,26.7,0.3,2.0,12.5,0.5,0.5,100,0.3,1.5,1.8,2.0,1.0,1.0,7.6,0,0,-6.3,1.5,10.2,17.1,0.3,10.0,0.0,0.0,5.5,4.8,5.5,18.0,0.037,12.6,9.5,12.8,7.7,15.4,10.0,6.9,6.7,17.1,14.0,28.6,23.5,10.0,0.0,50.0,14.3,17.2,9.4,23,46.7,53.3,54.5,0.0,27.3,0.0,18.2,54.5,54.5,66.7,33.3,100,0.0,75.0,25.0,1.5,0.8,0.0,1.5,5.5,4.8,5.5,18.0,0.8,1.3,Timberwolves,57.0,-8.1,-4.9,-12.9,-11.5,-4.5,-16.0,-9.1,-5.1,-14.2,-0.3,,
394,Devon Hall,24,0,2,7.3,0.5,2.0,25.0,0.0,1.0,0.0,1.5,2.0,75.0,0.0,0.5,0.5,1.0,0.5,0.5,4.1,0,0,8.0,0.5,5.6,7.7,0.0,0.0,0.0,0.0,1.0,2.0,1.0,10.0,0.055,19.4,7.1,15.4,0.0,16.7,23.1,25.0,0.0,7.7,5.9,22.2,25.0,0.0,0.0,0.0,12.5,18.2,10.4,24,50.0,50.0,40.0,0.0,0.0,0.0,60.0,40.0,40.0,0.0,100,0.0,0.0,0.0,100,1.0,0.0,0.0,1.0,1.0,2.0,1.0,10.0,0.0,1.0,Thunder,15.0,-5.0,-15.8,-20.8,30.7,-1.2,29.5,1.4,-13.9,-12.5,-0.1,,
407,Frank Mason,25,2,0,5.1,0.5,2.0,25.0,0.5,1.0,50.0,0.5,1.0,50.0,0.0,0.0,0.0,1.0,0.0,0.5,3.5,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1.0,4.0,0.052,20.8,9.1,18.2,14.3,14.3,100,100,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,33.3,66.7,13.3,25,50.0,50.0,0.0,0.0,75.0,0.0,25.0,0.0,0.0,0.0,0.0,100,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1.0,4.0,0.0,1.0,,,,,,,,,,,,,,
408,Jalen McDaniels,21,0,1,2.7,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.015,28.6,50.0,33.3,0.0,0.0,0.0,0.0,50.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,21,100,0.0,100,0.0,0.0,0.0,0.0,0.0,100,0.0,100,0.0,0.0,0.0,100,0.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,Hornets,3.0,12.7,-24.4,-11.7,4.5,-6.0,-1.6,12.0,-22.2,-10.2,-0.0,,
409,Josh Magette,30,0,2,3.8,1.0,2.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,7.7,0,0,0.0,0.5,16.7,33.3,1.0,66.7,0.0,0.0,1.0,2.5,1.0,4.0,-0.001,23.8,22.2,27.8,0.0,0.0,0.0,0.0,25.0,33.3,28.6,33.3,0.0,66.7,0.0,0.0,0.0,0.0,20.0,30,100,0.0,100,0.0,0.0,50.0,0.0,50.0,100,0.0,100,0.0,0.0,0.0,100,1.0,1.0,1.0,2.0,1.0,2.5,1.0,4.0,0.0,0.0,Magic,8.0,5.1,8.9,14.0,3.0,-18.8,-15.7,5.1,4.3,9.4,0.0,,
410,Moses Brown,20,3,1,3.8,0.8,1.8,42.9,0.0,0.0,0.0,0.5,1.0,50.0,0.5,1.8,2.3,0.0,0.3,1.0,5.2,0,0,-3.5,1.8,38.9,53.8,0.3,33.3,0.0,0.0,0.5,1.3,1.3,4.0,-0.025,22.7,23.1,23.3,0.0,0.0,33.3,44.4,50.0,53.8,52.9,0.0,25.0,33.3,0.0,0.0,44.4,50.0,23.5,20,100,0.0,75.0,0.0,0.0,0.0,25.0,0.0,75.0,66.7,33.3,0.0,0.0,66.7,33.3,0.0,1.5,0.0,1.5,0.5,1.3,1.3,4.0,0.0,0.5,Trail Blazers,15.0,-1.9,-7.5,-9.4,-5.1,-19.2,-24.3,-2.7,-10.2,-12.8,-0.1,,
411,Tyler Cook,22,2,4,2.9,0.8,1.0,83.3,0.0,0.0,0.0,0.3,0.3,100,0.5,0.3,0.8,0.0,0.2,0.2,3.3,0,0,-1.0,0.3,13.3,28.6,0.2,14.3,0.0,0.0,1.7,1.3,0.5,1.7,0.008,19.5,38.5,19.4,0.0,0.0,28.6,22.2,60.0,28.6,41.7,0.0,25.0,14.3,0.0,0.0,20.0,28.6,34.3,22,100,0.0,83.3,16.7,0.0,16.7,16.7,33.3,66.7,60.0,40.0,0.0,0.0,60.0,40.0,0.7,0.7,0.3,1.3,1.7,1.3,0.5,1.7,0.0,0.3,Cavaliers,17.0,1.5,-1.5,0.1,-5.1,-0.4,-5.5,0.4,-1.3,-0.8,0.0,,
413,Charles Brown Jr.,22,0,4,4.1,0.3,0.8,33.3,0.3,0.3,100,1.0,1.0,100,0.5,0.3,0.8,0.0,0.0,0.0,3.4,0,0,2.5,0.3,8.3,10.0,0.0,0.0,0.3,100,0.0,0.8,0.0,1.5,0.045,12.2,9.1,11.5,25.0,11.1,36.4,25.0,50.0,10.0,21.4,0.0,0.0,0.0,100,0.0,0.0,30.0,18.9,22,66.7,33.3,0.0,0.0,42.9,28.6,57.1,28.6,0.0,0.0,0.0,100,0.0,100,0.0,0.5,0.0,0.5,0.0,0.0,0.8,0.0,1.5,0.0,0.8,Hawks,16.0,2.7,7.3,10.0,3.3,12.6,15.9,3.0,8.8,11.8,0.1,,
415,Lonnie Walker IV,20,5,8,5.0,0.8,2.1,37.0,0.1,0.3,25.0,0.1,0.5,14.3,0.2,0.7,0.8,0.3,0.2,0.4,3.2,0,0,-0.6,0.7,13.4,18.4,0.0,0.0,0.1,10.0,1.6,0.5,0.8,3.7,0.018,20.0,18.9,22.3,20.0,17.4,3.7,17.1,9.5,18.4,15.7,14.3,17.6,0.0,10.0,28.6,20.0,14.7,15.9,20,85.2,14.8,81.8,9.1,13.6,18.2,4.5,9.1,72.7,77.8,22.2,100,0.0,80.0,20.0,0.2,0.0,0.3,1.2,1.6,0.5,0.8,3.7,0.2,0.4,Spurs,64.0,-2.7,-4.7,-7.4,-5.2,3.9,-1.3,-3.3,-3.3,-6.6,-0.1,,
418,Chris Chiozza,24,1,3,10.5,0.5,2.8,18.2,0.5,1.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.8,1.0,1.5,7.3,0,0,1.5,1.0,9.5,12.1,0.5,33.3,0.5,50.0,3.5,1.5,2.0,8.0,0.137,14.0,7.1,14.1,15.4,10.0,0.0,0.0,0.0,12.1,10.0,38.9,19.0,33.3,50.0,40.0,22.2,11.1,7.7,24,63.6,36.4,0.0,0.0,100,50.0,0.0,0.0,0.0,0.0,0.0,100,0.0,100,0.0,0.0,0.0,0.8,0.0,3.5,1.5,2.0,8.0,0.5,0.5,Wizards,37.0,-4.9,6.2,1.3,-18.8,23.2,4.4,-7.8,9.7,2.0,0.1,,
421,Johnathan Motley,24,1,1,2.2,0.5,1.5,33.3,0.5,0.5,100,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,0.5,3.2,0,0,-1.5,0.5,14.3,20.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,0.006,45.5,33.3,37.5,33.3,25.0,0.0,0.0,100,20.0,33.3,66.7,66.7,0.0,0.0,100,25.0,0.0,33.3,24,66.7,33.3,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,100,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,0.5,0.0,Clippers,4.0,-10.3,-33.8,-44.1,-9.1,-9.4,-18.5,-10.8,-31.2,-42.0,-0.1,,
