,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
135,Wayne Ellington,SG,32,NYK,14,213,6.8,.502,.900,.086,0.0,12.6,6.0,9.2,0.5,0.9,12.1,16.5,,-0.1,0.0,0.0,-0.007,,-2.1,-3.3,-5.4,-0.2
136,Joel Embiid,C,25,PHI,14,413,24.5,.566,.250,.469,10.7,34.2,22.7,15.6,1.4,3.9,13.5,32.1,,0.7,0.9,1.6,.190,,0.8,2.2,3.0,0.5
137,James Ennis,SF,29,PHI,18,286,15.3,.628,.400,.282,9.5,14.1,11.8,6.0,1.3,1.2,11.2,15.9,,0.6,0.4,1.0,.166,,1.1,-0.4,0.7,0.2
138,Drew Eubanks,PF,22,SAS,1,2,-27.9,.000,.000,.000,100.0,54.7,80.1,0.0,0.0,0.0,33.3,63.2,,0.0,0.0,0.0,-1.117,,-40.6,-24.2,-64.8,0.0
139,Jacob Evans,SG,22,GSW,3,43,12.7,.654,.667,.333,2.5,10.0,6.2,6.7,0.0,0.0,6.8,14.4,,0.1,0.0,0.1,.098,,0.5,-5.0,-4.5,0.0
140,Dante Exum,SG,24,UTA,5,36,2.6,.286,.143,.000,3.2,8.6,6.0,15.3,1.3,2.3,22.2,10.9,,-0.1,0.1,0.0,-0.026,,-7.1,2.2,-4.9,0.0
141,Tacko Fall,C,24,BOS,1,4,7.9,.500,.000,.000,0.0,76.5,38.4,0.0,0.0,0.0,20.0,53.1,,0.0,0.0,0.0,-0.221,,-24.8,-14.3,-39.1,0.0
142,Derrick Favors,C,28,NOP,9,189,19.5,.618,.034,.103,16.7,28.5,22.4,14.7,1.2,1.8,18.8,16.0,,0.4,0.1,0.5,.139,,1.1,1.0,2.1,0.2
143,Terrance Ferguson,SF,21,OKC,16,412,7.1,.594,.684,.092,3.0,5.2,4.1,5.8,1.1,1.2,11.2,9.5,,0.3,0.2,0.5,.064,,-0.3,0.0,-0.3,0.2
144,Bruno Fernando,C,21,ATL,18,230,13.6,.586,.210,.323,10.1,15.9,13.0,12.8,1.0,3.2,19.4,15.8,,0.2,0.1,0.3,.061,,-1.0,-0.4,-1.4,0.0
145,Yogi Ferrell,PG,26,SAC,13,164,10.7,.520,.365,.288,2.7,12.2,7.4,17.2,0.6,0.6,14.6,18.2,,0.1,0.1,0.1,.040,,-2.3,-2.2,-4.5,-0.1
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Dorian Finney-Smith,PF,26,DAL,17,453,12.5,.588,.517,.259,7.3,13.3,10.4,5.0,1.2,1.1,11.6,13.6,,0.6,0.4,1.0,.106,,0.7,-0.2,0.5,0.3
148,Bryn Forbes,SG,26,SAS,19,517,12.4,.535,.614,.149,1.4,9.3,5.3,10.0,0.9,0.0,5.4,19.7,,0.6,0.0,0.6,.055,,1.5,-3.9,-2.4,0.0
149,Evan Fournier,SG,27,ORL,17,515,18.2,.601,.423,.256,0.4,10.3,5.1,19.0,1.6,0.5,11.5,24.8,,0.9,0.5,1.4,.134,,2.7,-1.5,1.2,0.4
150,De'Aaron Fox,PG,22,SAC,9,288,15.6,.528,.234,.484,1.9,12.7,7.2,35.8,1.2,1.6,19.2,29.1,,0.1,0.2,0.2,.042,,-0.7,-1.2,-1.9,0.0
151,Melvin Frazier,SG,23,ORL,2,8,-0.9,.200,.200,.000,12.6,0.0,6.6,18.9,0.0,0.0,0.0,27.1,,0.0,0.0,0.0,-0.253,,-8.8,-4.8,-13.6,0.0
152,Tim Frazier,PG,29,DET,10,124,5.9,.340,.342,.368,2.8,5.5,4.2,32.6,3.1,0.7,21.4,19.7,,-0.3,0.1,-0.1,-0.053,,-5.9,-2.0,-7.9,-0.2
153,Markelle Fultz,PG,21,ORL,17,419,15.9,.554,.206,.200,1.9,7.9,4.8,24.0,2.7,0.4,13.4,20.8,,0.4,0.5,0.9,.107,,-0.1,-0.3,-0.4,0.2
154,Wenyen Gabriel,PF,22,SAC,7,47,8.5,.401,.500,.563,9.6,10.0,9.8,9.2,2.1,3.9,13.1,21.3,,-0.1,0.0,0.0,-0.029,,-3.8,0.0,-3.7,0.0
155,Daniel Gafford,C,21,CHI,10,100,15.9,.623,.000,.462,10.8,10.8,10.8,1.6,0.0,5.6,3.1,13.3,,0.2,0.1,0.3,.152,,-1.8,-0.2,-2.0,0.0
156,Danilo Gallinari,PF,31,OKC,17,509,19.2,.623,.540,.417,1.7,16.5,9.3,10.5,1.0,0.2,8.4,23.5,,1.4,0.4,1.8,.166,,3.2,-2.1,1.1,0.4
157,Langston Galloway,SG,28,DET,18,505,14.1,.614,.637,.274,1.4,6.9,4.2,9.6,0.9,1.1,7.4,17.5,,1.0,0.2,1.2,.117,,2.2,-2.5,-0.3,0.2
158,Darius Garland,PG,20,CLE,18,500,6.3,.464,.403,.126,0.8,5.3,3.0,16.4,1.5,0.0,19.6,21.4,,-0.9,0.1,-0.8,-0.081,,-4.2,-2.8,-6.9,-0.6
159,Marc Gasol,C,35,TOR,17,483,8.0,.444,.510,.163,2.7,19.9,11.9,15.7,0.9,3.1,17.7,12.0,,-0.1,0.9,0.8,.076,,-2.9,3.8,0.9,0.4
160,Rudy Gay,PF,33,SAS,19,434,17.7,.588,.377,.263,6.3,22.7,14.3,12.9,0.7,1.9,13.5,20.9,,0.7,0.2,0.9,.099,,1.1,-1.2,-0.2,0.2
161,Paul George,SF,29,LAC,8,233,25.5,.630,.599,.336,2.2,18.1,10.4,23.2,2.8,1.2,16.0,32.9,,0.6,0.4,1.1,.219,,6.1,0.8,6.9,0.5
162,Taj Gibson,C,34,NYK,16,253,16.3,.579,.069,.181,13.1,17.3,15.1,12.2,1.6,0.4,12.4,14.9,,0.5,0.1,0.7,.125,,0.5,-0.5,0.0,0.1
163,Harry Giles,PF,21,SAC,7,52,9.8,.464,.000,.080,6.5,9.0,7.7,16.3,1.9,5.3,16.2,25.9,,-0.1,0.1,0.0,-0.028,,-5.7,0.9,-4.9,0.0
164,Shai Gilgeous-Alexander,SG,21,OKC,17,586,15.8,.540,.242,.260,2.6,13.1,8.0,15.3,1.2,1.4,10.9,24.8,,0.4,0.5,0.9,.071,,-0.9,-0.6,-1.4,0.1
165,Rudy Gobert,C,27,UTA,16,553,19.0,.673,.000,.788,10.5,32.2,21.9,4.5,1.4,5.0,19.3,15.5,,1.0,1.3,2.3,.203,,-1.3,4.6,3.3,0.7
166,Aaron Gordon,PF,24,ORL,14,426,14.1,.509,.333,.296,5.5,16.7,10.8,14.9,1.0,1.5,9.6,20.2,,0.3,0.5,0.8,.090,,-0.7,0.5,-0.2,0.2
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Eric Gordon,SG,31,HOU,9,265,3.5,.422,.673,.127,1.2,5.4,3.3,3.7,0.9,0.6,9.4,19.6,,-0.5,0.1,-0.4,-0.068,,-4.7,-3.2,-7.9,-0.4
169,Devonte' Graham,PG,24,CHO,19,632,16.9,.565,.578,.274,2.7,9.8,6.1,36.0,0.9,0.4,17.2,24.9,,1.0,0.0,1.1,.081,,3.2,-3.5,-0.3,0.3
170,Treveon Graham,SG,26,MIN,17,417,6.1,.418,.458,.150,4.4,11.4,7.9,7.2,1.3,0.4,7.9,13.6,,-0.2,0.3,0.1,.014,,-3.7,-0.2,-3.9,-0.2
171,Jerami Grant,PF,25,DEN,16,350,11.8,.516,.391,.258,3.0,14.3,8.6,7.1,0.8,2.4,7.8,18.8,,0.1,0.5,0.7,.090,,-2.2,0.3,-1.9,0.0
172,Josh Gray,PG,26,NOP,2,23,-4.9,.500,.000,.000,4.4,4.8,4.6,10.5,0.0,0.0,71.4,12.3,,-0.1,0.0,-0.1,-0.244,,-10.7,-2.2,-12.9,-0.1
173,Danny Green,SG,32,LAL,18,459,11.5,.594,.691,.089,3.2,11.7,7.5,6.3,2.4,1.9,13.5,13.8,,0.3,0.8,1.1,.116,,0.2,1.6,1.8,0.4
174,Draymond Green,PF,29,GSW,11,320,12.8,.474,.344,.233,2.0,24.6,13.2,27.7,2.2,1.9,18.1,15.9,,0.0,0.3,0.3,.038,,-2.5,1.4,-1.1,0.1
175,JaMychal Green,PF,29,LAC,19,430,11.1,.549,.669,.140,6.8,24.8,16.0,2.8,1.3,1.5,12.9,14.0,,0.3,0.7,1.0,.113,,-1.5,0.5,-1.0,0.1
176,Javonte Green,SF,26,BOS,11,72,14.3,.563,.286,.179,2.9,11.3,7.1,6.7,2.7,0.0,6.2,19.0,,0.1,0.1,0.2,.120,,-1.1,-0.8,-1.8,0.0
177,Jeff Green,PF,33,UTA,18,347,8.8,.514,.558,.407,2.3,13.0,8.0,5.2,1.0,2.4,14.2,19.5,,-0.2,0.5,0.3,.042,,-3.2,0.5,-2.7,-0.1
178,Blake Griffin,PF,30,DET,6,178,17.8,.552,.391,.435,5.9,14.6,10.3,19.2,0.5,0.9,14.1,31.2,,0.2,0.1,0.3,.074,,0.8,-3.1,-2.3,0.0
179,Marko Guduric,SG,24,MEM,17,272,7.9,.474,.462,.099,3.5,9.9,6.7,13.3,1.0,1.3,15.9,17.2,,-0.2,0.0,-0.2,-0.027,,-3.1,-2.1,-5.2,-0.2
180,Rui Hachimura,PF,21,WAS,16,429,13.5,.520,.153,.136,6.5,15.1,10.7,7.5,1.3,0.6,7.0,19.2,,0.4,0.0,0.4,.048,,-1.3,-2.0,-3.3,-0.1
181,Devon Hall,SG,24,OKC,2,15,5.6,.434,.500,1.000,0.0,7.1,3.6,18.2,0.0,0.0,14.8,19.8,,0.0,0.0,0.0,-0.042,,-5.5,-4.6,-10.1,0.0
182,Tim Hardaway,SG,27,DAL,17,396,14.2,.547,.593,.227,1.3,7.3,4.4,12.0,0.8,0.4,3.6,20.8,,0.8,0.2,1.0,.116,,1.8,-3.3,-1.6,0.0
183,James Harden,SG,30,HOU,18,669,30.3,.625,.580,.580,2.6,14.1,8.4,38.1,2.0,1.2,14.9,38.7,,3.1,0.7,3.7,.268,,10.7,-0.6,10.1,2.1
184,Maurice Harkless,SF,26,LAC,19,417,9.1,.548,.299,.207,4.3,10.1,7.3,7.0,2.1,3.0,16.7,11.2,,0.1,0.6,0.8,.089,,-1.7,3.4,1.6,0.4
185,Jared Harper,PG,22,PHO,1,2,-19.6,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,,0.0,0.0,0.0,-0.530,,-15.9,-6.9,-22.8,0.0
186,Montrezl Harrell,C,26,LAC,19,572,24.1,.616,.020,.367,10.4,15.5,13.0,13.5,1.4,3.8,11.3,23.5,,1.7,0.9,2.6,.219,,2.5,2.6,5.1,1.0
187,Gary Harris,SG,25,DEN,16,511,8.8,.494,.404,.147,1.4,9.6,5.5,7.9,1.8,0.7,8.8,15.2,,0.0,0.8,0.8,.071,,-2.2,1.2,-1.0,0.1
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Joe Harris,SF,28,BRK,18,572,12.9,.613,.565,.090,3.0,9.5,6.3,8.1,1.1,1.0,11.1,16.9,,0.8,0.3,1.1,.090,,1.1,-1.2,-0.1,0.3
190,Tobias Harris,PF,27,PHI,18,612,16.8,.563,.306,.229,2.4,21.1,12.0,15.1,1.6,1.8,11.0,22.1,,0.7,1.0,1.8,.140,,0.1,1.5,1.6,0.6
191,Shaquille Harrison,SF,26,CHI,12,117,13.8,.458,.209,.326,4.2,20.4,11.9,22.1,2.0,3.2,9.2,19.1,,0.0,0.2,0.2,.080,,-3.1,1.9,-1.2,0.0
192,Josh Hart,SF,24,NOP,11,303,15.2,.611,.636,.263,5.4,19.9,12.4,6.8,2.1,1.1,12.0,16.8,,0.5,0.2,0.7,.108,,1.5,-0.8,0.7,0.2
193,Isaiah Hartenstein,C,21,HOU,6,73,15.0,.860,.000,.900,7.0,20.9,14.0,3.8,0.6,3.5,22.3,10.0,,0.2,0.1,0.3,.177,,-1.6,0.6,-1.0,0.0
194,Udonis Haslem,PF,39,MIA,2,11,16.0,.906,.000,4.000,0.0,29.3,15.6,0.0,0.0,0.0,0.0,10.8,,0.1,0.0,0.1,.308,,-1.9,-5.0,-6.9,0.0
195,Jaxson Hayes,C,19,NOP,15,290,16.0,.635,.026,.553,9.5,12.9,11.1,5.3,1.7,4.4,13.7,15.3,,0.6,0.2,0.7,.122,,-0.3,0.9,0.6,0.2
196,Gordon Hayward,SF,29,BOS,8,249,22.1,.638,.273,.173,2.5,20.9,11.7,22.7,1.2,0.8,11.2,22.7,,0.7,0.4,1.1,.206,,3.2,0.7,3.9,0.4
197,John Henson,PF,29,CLE,1,8,26.6,.323,.500,3.000,26.4,13.7,20.2,0.0,12.1,21.1,17.7,30.1,,0.0,0.0,0.0,-0.040,,-6.1,12.3,6.1,0.0
198,Dewan Hernandez,C,23,TOR,2,8,4.8,.500,.500,.000,0.0,48.1,25.6,0.0,5.9,0.0,33.3,16.1,,0.0,0.0,0.0,.035,,-11.5,0.5,-11.0,0.0
199,Juan Hernangómez,PF,24,DEN,9,122,7.8,.585,.654,.192,3.4,15.7,9.5,6.6,0.0,1.5,19.9,12.3,,0.0,0.2,0.2,.061,,-3.0,0.1,-3.0,0.0
200,Willy Hernangómez,C,25,CHO,6,48,13.9,.484,.235,.353,11.0,17.0,13.9,6.3,1.0,5.5,13.3,20.3,,0.0,0.0,0.0,.020,,-4.3,-0.2,-4.5,0.0
201,Tyler Herro,SG,20,MIA,16,478,12.5,.569,.460,.233,1.5,13.7,8.0,12.1,1.3,0.4,15.1,22.1,,0.1,0.6,0.8,.078,,-1.5,-0.8,-2.3,0.0
202,Mario Hezonja,PF,24,POR,18,328,7.8,.478,.349,.277,3.4,22.0,12.8,7.1,1.7,0.5,16.2,14.1,,-0.2,0.3,0.2,.024,,-3.9,0.5,-3.4,-0.1
203,Buddy Hield,SG,27,SAC,17,561,14.5,.556,.576,.121,3.0,12.8,7.8,12.3,1.1,1.2,13.8,28.2,,0.1,0.3,0.4,.034,,1.2,-2.4,-1.2,0.1
204,George Hill,PG,33,MIL,16,359,17.1,.654,.480,.280,4.8,9.0,7.0,18.1,1.5,0.5,8.9,14.0,,1.2,0.5,1.6,.217,,3.4,-0.3,3.1,0.5
205,Solomon Hill,SF,28,MEM,15,265,10.4,.562,.585,.215,3.2,15.4,9.3,12.3,1.9,0.3,15.4,13.1,,0.2,0.1,0.3,.051,,-0.8,-0.8,-1.5,0.0
206,Jaylen Hoard,SF,20,POR,3,11,16.6,.500,.000,.000,9.3,27.4,18.4,11.7,4.2,0.0,0.0,7.6,,0.0,0.0,0.0,.182,,-0.4,3.5,3.1,0.0
207,Aaron Holiday,PG,23,IND,15,341,13.5,.509,.418,.071,2.9,10.8,6.8,21.0,2.3,0.3,13.7,21.2,,0.1,0.5,0.6,.089,,-0.2,0.1,-0.1,0.2
208,Jrue Holiday,SG,29,NOP,16,574,16.9,.517,.312,.161,3.2,12.4,7.6,30.8,2.7,1.6,16.3,25.2,,0.4,0.3,0.7,.060,,0.7,0.0,0.7,0.4
209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Justin Holiday,SG,30,IND,17,425,11.2,.541,.645,.209,2.0,14.5,8.3,8.9,1.4,2.1,7.7,13.1,,0.4,0.6,1.1,.122,,-0.1,1.7,1.5,0.4
211,Rondae Hollis-Jefferson,SF,25,TOR,10,224,18.9,.600,.028,.394,14.1,14.6,14.4,10.7,1.7,1.2,12.6,18.2,,0.6,0.4,1.0,.204,,1.4,1.6,3.0,0.3
212,Richaun Holmes,C,26,SAC,17,457,19.4,.675,.000,.295,10.1,25.0,17.3,4.9,1.4,5.2,11.6,14.9,,1.2,0.6,1.8,.186,,0.2,2.4,2.7,0.5
213,Rodney Hood,SF,27,POR,17,512,13.5,.648,.417,.174,1.8,10.6,6.2,6.8,1.4,0.6,9.9,14.0,,0.9,0.2,1.2,.111,,1.4,-0.5,0.9,0.4
214,Al Horford,C,33,PHI,17,530,18.5,.539,.321,.156,7.0,18.5,12.9,19.9,1.5,2.6,8.1,19.7,,1.0,0.9,1.9,.172,,1.8,2.2,4.0,0.8
215,Danuel House,SF,26,HOU,14,416,15.7,.661,.698,.293,3.9,11.7,7.8,5.5,2.0,2.1,9.0,14.0,,1.0,0.4,1.4,.157,,2.1,0.5,2.5,0.5
216,Dwight Howard,C,34,LAL,18,366,17.2,.725,.000,.692,11.9,27.2,19.7,5.5,0.8,6.3,18.3,12.1,,0.9,0.8,1.6,.214,,-0.6,3.8,3.2,0.5
217,Kevin Huerter,SG,21,ATL,10,225,12.3,.570,.587,.200,3.0,14.2,8.6,18.2,1.2,1.2,17.2,18.1,,0.2,0.0,0.2,.044,,0.1,-2.3,-2.2,0.0
218,De'Andre Hunter,SF,22,ATL,18,563,8.3,.512,.415,.223,1.8,12.8,7.3,8.2,0.9,0.8,13.1,17.9,,-0.2,0.0,-0.2,-0.013,,-2.5,-2.5,-5.0,-0.4
219,Chandler Hutchison,SF,23,CHI,9,154,11.0,.564,.273,.659,0.6,22.5,11.1,7.7,1.5,1.2,17.5,18.4,,0.0,0.2,0.2,.050,,-5.1,0.0,-5.1,-0.1
220,Serge Ibaka,C,30,TOR,8,183,18.3,.595,.190,.274,4.2,23.6,14.5,5.4,1.3,4.9,15.3,26.0,,0.1,0.4,0.5,.122,,-3.4,1.4,-2.0,0.0
221,Ersan İlyasova,PF,32,MIL,16,257,15.6,.574,.513,.250,7.9,22.2,15.3,4.7,1.4,2.0,5.3,14.9,,0.5,0.5,1.0,.185,,0.2,0.2,0.4,0.2
222,Joe Ingles,SF,32,UTA,18,496,8.5,.493,.672,.164,1.2,15.1,8.5,18.0,1.4,0.3,16.6,13.8,,0.0,0.7,0.7,.069,,-1.4,1.6,0.2,0.3
223,Brandon Ingram,PF,22,NOP,14,468,22.2,.594,.317,.313,2.8,21.1,11.6,20.0,1.1,2.6,12.4,30.2,,1.0,0.2,1.2,.127,,2.6,-0.9,1.8,0.4
224,Kyrie Irving,PG,27,BRK,11,372,26.1,.561,.361,.250,2.8,13.6,8.3,39.9,1.5,1.3,8.5,34.0,,1.3,0.3,1.6,.202,,7.3,-0.8,6.4,0.8
225,Jonathan Isaac,SF,22,ORL,15,458,19.8,.576,.371,.208,5.5,19.9,12.4,8.4,2.5,8.0,10.3,18.3,,0.6,1.0,1.6,.167,,-0.1,5.6,5.5,0.9
226,Wesley Iwundu,SF,25,ORL,9,132,6.1,.394,.290,.516,2.3,14.3,8.0,7.3,1.5,1.4,9.5,13.8,,-0.1,0.2,0.0,.009,,-6.1,0.7,-5.4,-0.1
227,Frank Jackson,PG,21,NOP,17,277,10.0,.510,.476,.238,1.8,8.3,5.0,9.8,1.3,0.3,10.9,22.9,,0.0,0.0,0.0,.000,,-2.0,-4.0,-6.0,-0.3
228,Jaren Jackson,C,20,MEM,16,425,14.9,.587,.417,.219,5.8,14.9,10.3,6.8,0.9,2.9,12.5,23.4,,0.4,0.2,0.5,.062,,0.4,-2.0,-1.7,0.0
229,Justin Jackson,PF,24,DAL,16,209,14.8,.614,.507,.147,3.6,15.8,9.9,4.1,0.5,0.8,4.8,16.9,,0.4,0.1,0.6,.134,,0.6,-2.7,-2.2,0.0
230,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Reggie Jackson,PG,29,DET,2,36,11.0,.437,.455,.091,3.2,12.6,8.0,32.0,0.0,0.0,8.0,15.0,,0.0,0.0,0.1,.071,,-1.3,-3.8,-5.1,0.0
232,Justin James,SG,23,SAC,8,97,10.3,.491,.313,.188,0.0,12.1,5.9,9.5,1.0,3.8,5.5,16.5,,0.0,0.1,0.1,.030,,-3.6,-0.3,-3.9,0.0
233,LeBron James,PG,35,LAL,18,636,27.6,.572,.287,.301,3.3,19.3,11.4,51.5,1.7,1.5,13.6,31.6,,2.2,1.1,3.3,.249,,7.1,2.1,9.2,1.8
234,Amile Jefferson,PF,26,ORL,3,9,39.5,1.000,.000,.000,22.5,12.3,17.6,49.0,0.0,0.0,25.0,19.3,,0.1,0.0,0.1,.393,,13.3,-1.5,11.8,0.0
235,DaQuan Jeffries,SG,22,SAC,2,11,12.8,1.000,.000,.000,10.2,0.0,5.2,12.8,0.0,0.0,0.0,4.0,,0.0,0.0,0.0,.167,,2.9,-3.0,-0.1,0.0
236,Alize Johnson,SF,23,IND,7,36,15.0,.509,.000,.364,18.1,18.0,18.1,7.4,0.0,0.0,7.3,16.4,,0.1,0.0,0.1,.158,,-0.9,-1.7,-2.6,0.0
237,Cameron Johnson,PF,23,PHO,15,293,14.2,.606,.676,.157,4.1,11.9,7.9,5.5,1.4,1.5,8.0,18.2,,0.4,0.3,0.7,.112,,1.7,-1.3,0.4,0.2
238,James Johnson,PF,32,MIA,6,68,9.3,.506,.500,.222,3.6,14.2,9.2,8.5,2.1,2.9,16.8,15.0,,0.0,0.1,0.1,.058,,-3.7,1.6,-2.1,0.0
239,Keldon Johnson,SF,20,SAS,1,2,-19.9,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,,0.0,0.0,0.0,-0.535,,-20.6,-6.9,-27.5,0.0
240,Stanley Johnson,PF,23,TOR,5,19,-3.4,.389,.444,.000,11.5,25.3,18.8,0.0,2.5,0.0,30.8,29.3,,-0.1,0.0,-0.1,-0.218,,-14.5,-5.1,-19.5,-0.1
241,Tyler Johnson,SG,27,PHO,17,345,9.2,.511,.505,.229,1.6,9.4,5.4,16.4,0.8,1.5,13.5,16.5,,0.1,0.2,0.3,.039,,-1.9,-1.0,-2.9,-0.1
242,Nikola Jokić,C,24,DEN,16,490,20.5,.531,.293,.182,7.2,28.7,17.8,31.3,1.9,1.5,14.4,24.7,,0.7,1.1,1.8,.172,,2.3,3.9,6.2,1.0
243,Damian Jones,C,24,ATL,17,308,16.8,.723,.058,.391,9.3,12.6,11.0,6.3,1.4,4.8,12.0,12.3,,0.8,0.1,1.0,.151,,1.3,0.7,2.0,0.3
244,Derrick Jones,SF,22,MIA,4,57,16.1,.657,.200,.150,6.4,9.4,8.0,5.8,2.5,0.0,8.6,17.6,,0.1,0.1,0.2,.184,,0.6,-1.0,-0.3,0.0
245,Tyus Jones,PG,23,MEM,17,330,10.5,.432,.252,.189,0.0,6.8,3.4,33.1,2.1,0.0,15.5,17.8,,-0.1,0.1,0.0,-0.002,,-3.6,-3.9,-7.4,-0.5
246,DeAndre Jordan,C,31,BRK,15,319,20.4,.676,.000,.478,10.9,33.6,22.4,14.1,0.9,4.2,15.2,12.8,,0.9,0.5,1.4,.211,,-0.1,3.5,3.4,0.4
247,Cory Joseph,PG,28,SAC,17,403,8.9,.426,.240,.115,3.1,9.9,6.4,23.1,1.5,2.3,16.8,14.2,,-0.1,0.3,0.2,.022,,-3.4,0.4,-3.0,-0.1
248,Mfiondu Kabengele,C,22,LAC,4,14,35.4,.945,.833,.333,0.0,21.5,11.0,0.0,0.0,6.5,0.0,20.1,,0.1,0.0,0.1,.430,,9.7,-3.7,6.1,0.0
249,Frank Kaminsky,C,26,PHO,17,400,11.7,.515,.443,.393,3.8,21.3,12.4,12.4,0.6,1.5,10.9,19.6,,0.2,0.4,0.5,.063,,-1.8,-0.2,-2.0,0.0
250,Enes Kanter,C,27,BOS,10,160,23.7,.617,.022,.609,16.1,22.9,19.5,11.4,2.7,2.4,13.4,17.9,,0.5,0.3,0.8,.249,,1.6,3.2,4.8,0.3
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Luke Kennard,SG,23,DET,18,611,15.1,.583,.518,.268,0.8,11.5,6.2,20.1,0.7,0.4,9.3,20.0,,1.3,0.3,1.5,.122,,2.3,-2.4,-0.2,0.3
253,Stanton Kidd,SF,27,UTA,4,15,-13.6,.000,.333,.000,0.0,20.6,10.8,8.5,0.0,0.0,40.0,14.5,,-0.1,0.0,-0.1,-0.310,,-16.3,1.1,-15.2,-0.1
254,Michael Kidd-Gilchrist,PF,26,CHO,2,18,0.4,.322,.300,.200,5.9,32.4,18.5,8.0,0.0,0.0,8.4,28.5,,-0.1,0.0,-0.1,-0.184,,-11.6,-5.4,-17.0,-0.1
255,Maxi Kleber,C,28,DAL,16,409,11.8,.572,.644,.173,6.0,16.9,11.6,5.5,0.5,2.6,9.7,12.7,,0.6,0.3,0.9,.107,,0.2,0.3,0.4,0.2
256,Brandon Knight,PG,28,CLE,6,76,9.5,.489,.813,.125,1.4,8.7,5.0,24.6,1.3,0.0,15.1,22.3,,0.0,0.0,0.0,-0.004,,0.2,-4.1,-4.0,0.0
257,Kevin Knox,SF,20,NYK,18,357,11.7,.520,.538,.359,2.5,13.5,7.7,11.2,1.4,1.1,8.8,17.6,,0.3,0.1,0.4,.060,,-0.8,-1.8,-2.7,-0.1
258,John Konchar,SG,23,MEM,1,7,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.026,,-5.8,-0.7,-6.5,0.0
259,Furkan Korkmaz,SG,22,PHI,17,382,9.6,.568,.625,.117,1.2,9.7,5.5,5.2,0.5,1.1,9.4,16.5,,0.2,0.4,0.6,.081,,-0.9,-1.7,-2.6,-0.1
260,Luke Kornet,C,24,CHI,11,126,9.3,.433,.545,.114,3.9,12.9,8.2,7.0,0.7,6.7,6.1,16.1,,-0.1,0.1,0.1,.029,,-4.4,1.5,-2.9,0.0
261,Kyle Korver,SF,38,MIL,15,217,8.9,.560,.827,.107,2.8,6.6,4.8,1.8,1.0,1.6,13.3,17.0,,0.0,0.3,0.2,.055,,-1.2,-2.0,-3.1,-0.1
262,Rodions Kurucs,PF,21,BRK,10,99,1.3,.449,.304,.261,5.3,17.7,11.6,1.4,2.3,0.0,31.9,15.7,,-0.3,0.1,-0.2,-0.098,,-9.0,-1.0,-10.0,-0.2
263,Kyle Kuzma,PF,24,LAL,14,322,12.1,.586,.511,.200,2.1,15.6,8.9,5.0,0.3,1.4,14.0,22.7,,0.1,0.4,0.5,.072,,-1.9,-2.4,-4.2,-0.2
264,Skal Labissière,C,23,POR,19,317,17.3,.603,.064,.234,13.3,17.4,15.4,9.5,0.6,5.5,17.5,16.5,,0.6,0.3,0.9,.132,,-0.2,2.1,2.0,0.3
265,Jeremy Lamb,SG,27,IND,8,256,18.0,.560,.318,.236,2.6,18.1,10.4,12.4,1.7,2.1,7.6,22.0,,0.4,0.4,0.9,.165,,0.7,1.2,1.9,0.3
266,Romeo Langford,SG,20,BOS,1,0,,,,,,,,,,,,,,0.0,0.0,0.0,,,-6.1,1.0,-5.1,0.0
267,Zach LaVine,SG,24,CHI,19,604,17.4,.557,.402,.234,2.4,11.0,6.5,22.0,1.9,1.5,14.8,29.9,,0.3,0.6,0.9,.068,,1.5,-0.9,0.5,0.4
268,Jake Layman,PF,25,MIN,14,369,10.3,.539,.409,.076,3.3,7.9,5.6,4.4,1.5,2.1,11.7,17.0,,0.0,0.3,0.3,.041,,-2.5,-0.2,-2.7,-0.1
269,T.J. Leaf,PF,22,IND,15,158,16.6,.504,.190,.138,13.8,25.3,19.6,5.2,2.1,1.7,8.9,18.3,,0.2,0.3,0.5,.145,,-1.8,0.7,-1.1,0.0
270,Courtney Lee,SG,34,DAL,5,47,17.9,.706,.412,.000,0.0,4.3,2.2,9.7,0.0,3.5,0.0,15.2,,0.2,0.0,0.2,.184,,2.5,-2.7,-0.2,0.0
271,Damion Lee,SG,27,GSW,11,241,12.7,.521,.385,.363,3.9,15.2,9.5,12.5,1.6,0.0,11.0,20.7,,0.1,0.1,0.2,.040,,-1.4,-2.7,-4.1,-0.1
272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
