,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
18,Dwayne Bacon,SG,24,CHO,14,298,5.5,.401,.276,.205,2.5,11.7,6.9,9.6,1.9,0.6,11.5,22.6,,-0.7,0.1,-0.6,-0.095,,-6.7,-2.1,-8.8,-0.5
19,Marvin Bagley,PF,20,SAC,1,28,14.1,.394,.000,.250,16.0,25.2,20.5,0.0,1.8,3.3,5.3,29.2,,-0.1,0.0,0.0,-0.038,,-10.3,-6.8,-17.2,-0.1
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Lonzo Ball,PG,22,NOP,11,298,13.2,.494,.588,.084,3.4,12.9,8.0,29.4,2.2,0.6,17.4,20.3,,0.1,0.1,0.2,.037,,0.4,-1.4,-1.0,0.1
22,Mo Bamba,C,21,ORL,15,226,10.7,.459,.367,.076,8.5,26.5,17.1,6.1,1.1,7.9,18.9,19.3,,-0.4,0.5,0.1,.015,,-6.3,3.7,-2.7,0.0
23,J.J. Barea,PG,35,DAL,3,44,27.0,.676,.400,.080,2.4,6.8,4.7,23.8,2.2,1.9,13.4,28.6,,0.1,0.0,0.2,.205,,5.2,-2.4,2.8,0.1
24,Harrison Barnes,PF,27,SAC,17,586,16.5,.617,.364,.396,3.4,13.4,8.3,9.5,1.3,0.6,9.1,18.0,,1.3,0.3,1.6,.133,,1.9,-0.8,1.1,0.5
25,RJ Barrett,SG,19,NYK,17,565,11.6,.462,.238,.371,3.9,14.5,8.9,17.9,2.2,1.2,14.4,24.5,,-0.6,0.4,-0.2,-0.020,,-2.9,-0.4,-3.3,-0.2
26,Will Barton,SF,29,DEN,14,451,18.0,.566,.352,.205,6.2,16.8,11.4,15.8,1.4,1.4,8.6,19.8,,0.9,0.8,1.6,.176,,2.1,1.5,3.6,0.6
27,Keita Bates-Diop,SF,24,MIN,7,125,17.6,.696,.585,.195,4.1,11.3,7.7,2.5,1.1,2.5,6.3,15.5,,0.3,0.1,0.4,.164,,1.5,-1.3,0.2,0.1
28,Nicolas Batum,SF,31,CHO,8,185,10.8,.582,.778,.185,4.0,19.5,11.4,22.5,1.3,2.4,30.8,9.8,,0.1,0.1,0.3,.067,,-1.8,0.9,-0.9,0.1
29,Aron Baynes,C,33,PHO,12,288,22.3,.679,.456,.281,6.8,19.1,12.9,20.6,0.6,2.7,9.2,20.8,,1.1,0.3,1.4,.232,,5.9,0.4,6.3,0.6
30,Kent Bazemore,SF,30,POR,19,433,8.3,.455,.475,.241,1.9,17.6,9.8,11.3,1.7,2.7,15.2,17.7,,-0.4,0.4,0.0,.001,,-3.5,1.2,-2.2,0.0
31,Darius Bazley,PF,19,OKC,17,295,8.7,.540,.522,.209,2.6,20.6,11.8,4.4,1.0,1.9,16.1,13.0,,-0.1,0.3,0.2,.036,,-3.8,0.4,-3.4,-0.1
32,Bradley Beal,SG,26,WAS,16,592,22.6,.589,.383,.303,2.7,10.4,6.5,28.3,1.2,0.6,11.7,30.8,,1.7,-0.1,1.7,.134,,5.2,-3.2,2.0,0.6
33,Malik Beasley,SG,23,DEN,12,183,8.4,.512,.500,.071,2.3,8.7,5.5,9.5,1.9,1.0,17.2,20.3,,-0.2,0.3,0.1,.023,,-3.2,-0.2,-3.4,-0.1
34,Marco Belinelli,SG,33,SAS,18,293,4.6,.381,.486,.144,0.4,9.3,4.7,12.4,0.8,0.0,7.1,18.3,,-0.5,0.0,-0.5,-0.078,,-4.4,-3.9,-8.3,-0.5
35,Jordan Bell,C,25,MIN,9,74,13.3,.608,.158,.579,12.4,31.4,22.0,11.8,0.0,3.2,33.5,19.7,,0.0,0.1,0.0,.031,,-5.8,1.1,-4.7,0.0
36,DeAndre' Bembry,SG,25,ATL,18,454,12.9,.575,.198,.302,4.1,13.9,9.0,16.7,2.9,1.4,20.0,13.6,,0.2,0.3,0.5,.055,,-1.0,0.8,-0.2,0.2
37,Dragan Bender,SF,22,MIL,1,2,2.3,,,,0.0,0.0,0.0,55.8,0.0,43.4,100.0,20.4,,0.0,0.0,0.0,-0.215,,-28.5,11.2,-17.3,0.0
38,Dāvis Bertāns,PF,27,WAS,16,441,15.8,.649,.792,.136,2.9,15.4,9.0,8.3,0.9,1.5,6.3,16.2,,1.1,0.0,1.1,.121,,4.1,-2.1,2.0,0.4
39,Patrick Beverley,PG,31,LAC,17,507,9.6,.458,.578,.148,4.5,17.3,11.0,15.0,2.3,2.1,16.5,13.2,,0.0,0.9,0.9,.083,,-1.2,3.7,2.5,0.6
40,Khem Birch,C,27,ORL,8,145,8.3,.523,.040,.680,7.7,13.8,10.6,2.0,0.7,0.6,8.5,10.6,,0.1,0.1,0.2,.077,,-4.1,-0.6,-4.7,-0.1
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Goga Bitadze,C,20,IND,12,189,16.2,.570,.208,.358,9.2,17.1,13.2,9.8,0.3,8.4,12.8,15.9,,0.3,0.4,0.7,.168,,-1.1,4.3,3.2,0.2
43,Bismack Biyombo,C,27,CHO,17,264,20.9,.635,.000,.695,9.6,18.1,13.7,7.5,1.1,4.0,7.8,19.0,,0.8,0.2,1.0,.174,,0.2,-0.2,0.1,0.1
44,Nemanja Bjelica,PF,31,SAC,17,443,15.4,.596,.507,.071,7.3,21.0,14.0,13.9,1.8,1.5,14.8,16.7,,0.7,0.4,1.1,.118,,1.6,1.1,2.7,0.5
45,Eric Bledsoe,PG,30,MIL,18,501,19.0,.547,.302,.266,3.9,14.0,9.1,29.5,1.4,1.2,12.9,25.9,,0.9,0.7,1.7,.162,,1.8,0.1,1.8,0.5
46,Bogdan Bogdanović,SG,27,SAC,16,445,18.0,.553,.574,.196,0.5,10.8,5.5,28.3,2.8,0.4,11.6,24.5,,0.7,0.4,1.1,.118,,3.4,-1.5,1.9,0.4
47,Bojan Bogdanović,SF,30,UTA,17,565,17.9,.627,.452,.261,2.2,10.9,6.8,11.6,1.1,0.6,13.9,26.0,,0.9,0.7,1.6,.138,,2.5,-0.8,1.8,0.5
48,Jonah Bolden,PF,24,PHI,2,5,7.9,.532,.000,2.000,0.0,0.0,0.0,0.0,9.6,0.0,34.7,24.4,,0.0,0.0,0.0,-0.195,,-9.5,4.3,-5.2,0.0
49,Jordan Bone,PG,22,DET,3,6,-16.4,.400,.200,.000,0.0,0.0,0.0,0.0,0.0,0.0,28.6,50.7,,-0.1,0.0,-0.1,-0.644,,-23.8,-11.0,-34.8,0.0
50,Isaac Bonga,SF,20,WAS,11,162,9.8,.556,.188,.281,4.6,14.5,9.4,9.5,2.0,1.0,14.3,10.6,,0.1,0.0,0.2,.058,,-1.5,0.1,-1.4,0.0
51,Devin Booker,SG,23,PHO,17,600,19.5,.638,.306,.289,1.3,10.1,5.6,29.8,0.7,0.9,17.6,28.5,,1.3,0.4,1.6,.131,,3.4,-2.1,1.3,0.5
52,Chris Boucher,PF,27,TOR,15,202,21.2,.540,.342,.303,20.0,18.6,19.2,6.6,1.2,5.8,6.5,19.5,,0.6,0.4,1.0,.233,,2.0,2.1,4.1,0.3
53,Brian Bowen,SG,21,IND,3,10,1.2,.250,.250,.000,0.0,10.8,5.4,0.0,0.0,8.8,0.0,17.1,,0.0,0.0,0.0,-0.114,,-12.0,0.4,-11.6,0.0
54,Ky Bowman,PG,22,GSW,19,421,13.4,.565,.331,.106,2.0,9.0,5.5,17.9,2.1,0.4,11.3,16.7,,0.5,0.1,0.6,.063,,-0.3,-2.2,-2.4,0.0
55,Avery Bradley,SG,29,LAL,10,274,10.5,.548,.333,.095,2.9,10.0,6.5,8.9,1.7,0.3,11.2,15.4,,0.2,0.4,0.5,.093,,-1.4,-0.1,-1.5,0.0
56,Tony Bradley,C,22,UTA,13,142,19.7,.668,.000,.341,15.3,22.5,19.0,4.7,0.7,4.1,12.9,16.6,,0.4,0.3,0.7,.225,,0.1,1.6,1.7,0.1
57,Jarrell Brantley,PF,23,UTA,1,5,21.6,,,,0.0,61.7,32.5,25.5,0.0,16.7,,0.0,,0.0,0.0,0.0,.281,,-6.9,15.9,8.9,0.0
58,Ignas Brazdeikis,SF,21,NYK,5,24,1.3,.368,.200,.200,4.2,0.0,2.2,6.4,0.0,4.1,15.5,22.8,,-0.1,0.0,-0.1,-0.169,,-9.5,-3.8,-13.3,-0.1
59,Mikal Bridges,SF,23,PHO,17,340,12.5,.535,.342,.382,4.2,15.8,9.9,7.1,3.4,1.3,8.3,12.1,,0.3,0.5,0.8,.117,,-1.0,2.7,1.7,0.3
60,Miles Bridges,SF,21,CHO,19,600,12.3,.551,.407,.115,4.1,15.0,9.2,9.6,0.9,2.1,12.7,18.1,,0.3,0.2,0.5,.038,,-1.2,-0.7,-1.9,0.0
