Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Games18,FB,PAINTPTS,TO_PTS,2ND_PTS,Q1PTS,Q2PTS,Q3PTS,Q4PTS,PPP,>8ft%,8-16ft%,16-24ft%,24+%,BCS%,>8FTU,8-16FTU,16-24FTU,24+U,BCU,AVGDISTA,AVGDISTM,AVGDISTF,AFGM,JS,LU,DUN,TIPIN,JS%,Layup%18,DUN%,2PT_m,3PT_m,FT_m,AB_3U,MRU,paint_nonra,ra_usage,RC_3,LC_3,backcourt_usage,AB3%,MR%,paint_nonra%,RA%,RC3%,LC3%,BC%
Gary Payton II,PG,26,WAS,3,0,16,14.8,23.7,0.625,3,5.9,0.5,11.8,17.8,0.667,0,0,0,3,3,5.9,11.8,8.9,3,3,5.9,32.6,135,97,36.9,0.688,0.25,0,6.7,6.9,6.8,45.1,8.9,5.3,11.1,23.8,0.1,0,0.1,0.358,9.8,5.2,14.9,0.1,3,1.33,2.67,0.67,0,0,0,0,3.67,1.375,0.667,0,0,0.5,0,75,0,0,25,0,6.13,4.8,8.33,80,25,50,12.5,12.5,0.5,0.75,1,72.73,27.27,0,0,0,0,75,25,0,0,0,0,0,0.667,0.5,0,0
Gary Trent Jr.,SG,20,POR,15,1,111,7,21.8,0.32,2.2,9.2,0.238,4.8,12.7,0.379,1.3,3.1,0.429,0.4,4.4,4.8,2.2,0.4,0.9,1.7,1.7,17.5,81,115,3.6,0.377,0.42,0.14,1,9.4,5.3,6.2,0.4,1.4,7,21.7,-0.3,0.1,-0.2,-0.092,-6.7,-3.6,-10.3,-0.2,15,0,0.53,0.4,0.2,0.27,0.13,0.33,1.93,0.8,0.333,0.25,0.5,0.238,0,18,16,24,42,0,17.16,16.25,17.59,50,86,14,0,0,0.302,0.429,0,55,37.5,7.5,34,30,16,12,4,4,0,0.176,0.467,0.125,0.5,0,1,0
Glenn Robinson III,SF,25,DET,47,18,610,6,14.2,0.42,1.5,5,0.29,4.5,9.2,0.491,2.6,3.2,0.8,1.4,4.4,5.7,1.7,1.1,0.6,1.5,3.6,16,104,112,8.7,0.511,0.352,0.227,2.9,10,6.4,5.1,1.1,1.1,8.5,15,0.1,0.6,0.7,0.054,-3.5,-0.8,-4.2,-0.3,47,0.74,1.83,1,0.21,1.13,0.96,0.74,1.34,1.125,0.552,0.333,0.529,0.29,0,38.07,17.05,9.66,35.23,0,13.11,10.59,14.93,86.49,67.05,26.7,5.11,1.14,0.339,0.511,0.889,56.57,27.27,16.16,17.05,15.34,22.73,26.7,10.8,7.39,0,0.333,0.481,0.325,0.638,0.211,0.308,0
Goran Dragic,PG,32,MIA,36,22,991,8.8,21.3,0.413,2.8,8.1,0.348,6,13.3,0.454,3.9,5,0.782,1,4.5,5.5,8.6,1.5,0.2,3.5,4,24.4,106,111,13.9,0.517,0.379,0.233,2.1,9.8,6,27.3,1.5,0.5,12.9,23.7,0.6,1,1.6,0.079,0.1,-1.3,-1.2,0.2,36,1.83,5.78,2.31,0.75,3.36,4.31,3.19,2.86,1.141,0.521,0.347,0.321,0.348,0,39.03,16.63,6.47,37.88,0,13.29,11.22,14.75,44.69,67.67,31.87,0,0.46,0.355,0.536,0,49.39,34.62,15.99,30.48,12.93,18.01,31.18,4.16,3.23,0,0.364,0.321,0.359,0.563,0.222,0.357,0
Harry Giles III,PF,20,SAC,58,0,820,9.9,19.8,0.503,0,0.3,0,9.9,19.4,0.512,3.3,5.2,0.637,3.7,8.9,12.6,4.8,1.8,1.2,4.1,8.5,23.2,102,109,14.4,0.526,0.017,0.261,8.1,20.1,14,15.2,1.8,2.3,15.8,23.2,0,1,1,0.056,-3,0.9,-2.1,0,58,0.62,5.34,0.98,1.28,1.52,1.95,1.59,1.98,1.172,0.593,0.389,0.333,0,0,62.07,25.86,10.34,1.44,0.29,6.6,4.73,8.5,65.14,53.16,26.44,10.34,10.06,0.395,0.533,0.861,85.78,0,14.22,0.86,16.95,35.63,45.69,0,0.57,0.29,0,0.339,0.427,0.642,0,0,0
Jakob Poeltl,C,23,SAS,77,24,1273,7.2,11.1,0.645,0,0,0,7.2,11.1,0.645,1.9,3.5,0.533,6.8,8.9,15.7,3.6,1.1,2.6,1.8,4.8,16.2,133,108,19.4,0.64,0,0.317,15.4,19.7,17.6,10,1.1,4.5,12.7,13.1,3.5,1.6,5.1,0.193,1.5,2.7,4.2,2,77,0.22,4.65,0.71,1.47,1.17,1,1.66,1.66,1.459,0.657,0.421,1,0,0,92.41,6.55,1.03,0,0,2.43,2.13,2.99,70.59,17.93,53.45,9.66,18.97,0.538,0.69,0.893,88.42,0,11.58,0,3.79,20,76.21,0,0,0,0,0.727,0.448,0.692,0,0,0
James Ennis III,SF,28,TOT,58,27,1230,5.5,11.6,0.469,2.2,6.2,0.353,3.3,5.5,0.601,2.3,3.2,0.716,2.4,4.8,7.2,1.6,1.6,0.9,1.3,5.9,15.4,119,112,11,0.59,0.531,0.276,5.3,10.9,8.1,4.7,1.6,1.6,9.3,12.7,1.6,1,2.6,0.103,-0.5,-0.2,-0.7,0.4,58,1.43,2.76,1.66,1.22,1.91,1.59,1.48,1.72,1.323,0.625,0.286,0.333,0.353,0,43.54,2.38,1.02,53.06,0,13.77,10.49,16.67,82.61,58.5,28.57,6.8,6.12,0.366,0.571,1,42.67,42.42,14.91,25.85,2.38,4.08,40.48,15.65,11.56,0,0.303,0.429,0.333,0.639,0.37,0.441,0
Jaren Jackson Jr.,PF,19,MEM,58,56,1515,9.8,19.3,0.506,1.7,4.7,0.359,8.1,14.7,0.553,5,6.5,0.766,2.4,6.5,8.9,2.1,1.7,2.7,3.2,7.2,26.2,108,107,16.4,0.591,0.241,0.334,5.3,15,10.1,7.2,1.7,5.1,12.7,22.8,1.2,2.2,3.3,0.105,-1.4,1.4,0.1,0.8,58,1.34,8.24,2,1.6,4.29,3.24,2.97,3.22,1.355,0.58,0.477,0.273,0.359,0,59.42,14.6,1.87,24.11,0,9.39,7.29,11.54,68.79,61.8,26.32,9.17,2.72,0.407,0.581,0.944,61.9,19.17,18.92,18.17,4.58,32.6,38.71,3.06,2.89,0,0.411,0.296,0.422,0.693,0.167,0.235,0
JJ Redick,SG,34,PHI,76,63,2379,9,20.4,0.44,4.8,12,0.397,4.2,8.4,0.502,4.5,5.1,0.894,0.4,3.3,3.7,4.1,0.6,0.3,2,2.6,27.2,118,115,15.1,0.602,0.589,0.248,0.9,7.2,4.1,12.9,0.6,0.6,8.1,21.9,4.6,1.2,5.9,0.118,2.7,-3.3,-0.7,0.8,76,2,2.05,2.09,1.43,5.21,4.88,4.04,3.63,1.336,0.542,0.436,0.5,0.396,0,11.68,5.36,24.15,58.81,0,20.39,19.44,21.13,89.38,89.68,10.32,0,0,0.423,0.585,0,30.9,52.48,16.62,50.63,27.36,3.89,9.93,5.45,2.73,0,0.39,0.48,0.45,0.588,0.357,0.571,0
Jonas Valanciunas,C,26,TOT,49,27,1091,13.5,24,0.559,0.6,2.1,0.292,12.8,21.9,0.586,6.6,8.3,0.795,4.7,14,18.7,3.1,0.8,2.4,4,6.5,34.1,114,104,24.4,0.616,0.089,0.344,10.7,31.4,21.1,12,0.8,4.4,12.7,28.5,2.2,1.9,4.2,0.183,0.1,1.2,1.2,0.9,49,0.43,10.78,1.84,3.31,4.29,4.14,2.92,4.04,1.418,0.621,0.474,0.438,0.292,0,70.07,18.03,2.97,8.92,0,6.51,5,8.43,59.8,58.55,27.7,7.25,6.51,0.498,0.57,0.949,75.23,5.5,19.27,8.36,9.67,35.69,45.72,0.37,0.19,0,0.267,0.442,0.526,0.663,0.5,1,0
