,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,url_list,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,salary,Team,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,cluster
326,Robin Lopez,C,31,MIL,16,0,226,5.8,12.2,0.475,1.4,5.2,0.269,4.4,7,0.629,1.4,2.6,0.538,2.6,5.6,8.2,1.6,0.6,1.6,4,5,14.4,91,105,https://www.basketball-reference.com/players/l/lopezro01.html,7.4,0.54,0.426,0.213,5.9,11.6,8.9,4.6,0.6,3,23.1,15.6,-0.2,0.3,0.1,0.029,-3.9,0.4,-3.4,-0.1,"$4,767,000 ",Bucks,226,-4.9,-1,-5.9,-1,-2,-3,-4.6,-1.3,-5.9,-0.4,6
327,Kevin Love,PF,31,CLE,14,14,450,7.9,17.8,0.446,3.2,9,0.357,4.7,8.8,0.537,7.8,8.8,0.89,1.7,16,17.7,4.1,1.2,0.6,4.5,2.4,26.9,112,108,https://www.basketball-reference.com/players/l/loveke01.html,20,0.621,0.506,0.494,3.7,36.3,19.7,13.6,1.2,1.1,17.2,23.2,0.8,0.5,1.2,0.13,1.3,0.4,1.7,0.4,"$28,900,000 ",Cavaliers,450,0.9,1.4,2.3,-2.8,4.7,1.9,0.4,2.1,2.5,1.2,4
328,Kyle Lowry,PG,33,TOR,8,8,289,8.8,18.4,0.478,4.7,11.1,0.426,4.1,7.3,0.556,6,6.9,0.881,0.3,5.2,5.5,8.5,1.5,0.5,4.4,3.8,28.4,120,106,https://www.basketball-reference.com/players/l/lowryky01.html,20,0.662,0.602,0.372,0.8,10.6,6,27.5,1.5,0.9,17,23.4,0.8,0.4,1.2,0.2,4.7,-0.5,4.2,0.5,"$33,296,296 ",Raptors,289,4.9,3.6,8.5,-2,-0.9,-2.9,4,3,6.9,1.5,7
329,Trey Lyles,PF,24,SAS,17,14,307,4.3,9.1,0.475,2,4.9,0.406,2.3,4.2,0.556,0.8,1.4,0.556,4,13.1,17.1,2.9,0.5,0.6,2,3.1,11.4,117,113,https://www.basketball-reference.com/players/l/lylestr01.html,12.3,0.588,0.542,0.153,8.8,30.2,19.3,7.8,0.5,1.1,17.1,10.4,0.4,0.1,0.5,0.079,-0.7,-0.6,-1.3,0.1,"$5,500,000 ",Spurs,307,-0.9,-2.4,-3.2,0.4,-0.7,-0.2,-0.7,-2.1,-2.8,0,9
330,Thon Maker,C,22,DET,16,0,206,4.4,8.9,0.5,1.4,3,0.462,3,5.8,0.52,3,6.3,0.481,2.1,5.6,7.7,2.1,1.4,2.8,2.3,6.5,13.3,105,109,https://www.basketball-reference.com/players/m/makerth01.html,10.2,0.571,0.342,0.711,5.1,13.4,9.3,6.1,1.4,4.8,16.7,12.5,0.1,0.2,0.3,0.064,-2.4,1.4,-1,0.1,"$3,569,643 ",Pistons,206,-1.1,-4,-5.1,0,-5.3,-5.3,-1,-4.4,-5.3,-0.3,1
331,Terance Mann,SG,23,LAC,12,3,100,5.2,10.8,0.478,0.5,2.4,0.2,4.7,8.5,0.556,1.9,2.4,0.8,0.5,7.1,7.5,8,0.9,0,3.3,5.6,12.7,106,107,https://www.basketball-reference.com/players/m/mannte01.html,9.8,0.536,0.217,0.217,1.1,15.7,8.6,24.3,1,0,21.7,13.8,0.1,0.1,0.2,0.082,-2.9,-0.4,-3.3,0,"$1,000,000 ",Clippers,100,-1.3,-1.4,-2.7,5.9,6,11.9,-0.2,-0.3,-0.5,0.1,1
332,Lauri Markkanen,PF,22,CHI,17,17,504,6.5,18.3,0.354,2.4,8.7,0.277,4.1,9.6,0.423,6.3,7.8,0.81,1.6,10.2,11.8,2.5,1.5,0.8,3.2,3.1,21.7,97,106,https://www.basketball-reference.com/players/m/markkla01.html,12,0.498,0.475,0.424,3.3,23.5,13,8,1.5,1.7,13,22.1,-0.2,0.6,0.5,0.045,-3.1,0,-3.1,-0.1,"$5,300,400 ",Bulls,504,-3.1,-2.4,-5.5,-9.1,3.3,-5.7,-4.2,-1.6,-5.8,-0.8,6
334,Cody Martin,SF,24,CHO,14,0,178,3.5,10,0.351,0.3,4.6,0.059,3.2,5.4,0.6,4,5.7,0.714,1.9,7.6,9.4,4.6,3.2,0.3,1.6,4.6,11.3,104,109,https://www.basketball-reference.com/players/m/martico01.html,10.8,0.454,0.459,0.568,4.2,18.1,10.9,13,3.2,0.5,11.5,12.6,0.1,0.2,0.2,0.062,-2.5,1,-1.5,0,"$1,173,310 ",Hornets,178,-2.2,10.5,8.4,-0.6,4.1,3.5,-2,10.1,8.1,1,1
335,Wesley Matthews,SG,33,MIL,16,16,387,4.7,10.9,0.426,2.8,7.7,0.364,1.9,3.3,0.571,1.7,2.2,0.789,0.2,3.7,4,2.2,1.3,0.1,1.4,1.9,13.9,111,107,https://www.basketball-reference.com/players/m/matthwe02.html,8.9,0.581,0.702,0.202,0.5,7.7,4.3,6.2,1.3,0.2,10.5,12,0.3,0.5,0.7,0.092,-0.3,-0.4,-0.7,0.1,"$2,564,753 ",Bucks,387,-1.3,2.8,1.5,3.1,3.7,6.8,-0.7,3.1,2.4,1,8
336,Patrick McCaw,SF,24,TOR,2,0,40,3.5,5.9,0.6,1.2,3.5,0.333,2.4,2.4,1,1.2,2.4,0.5,2.4,4.7,7.1,3.5,3.5,0,3.5,3.5,9.4,105,102,https://www.basketball-reference.com/players/m/mccawpa01.html,10.1,0.68,0.6,0.4,5.5,9.6,7.7,9.8,3.5,0,33.8,9.5,0,0.1,0.1,0.102,-0.7,2.7,2,0,"$4,000,000 ",Raptors,40,-1.1,1.2,0.2,-1.9,-8.7,-10.5,-1.3,-0.4,-1.7,0,1
337,CJ McCollum,SG,28,POR,17,17,638,11.2,25.9,0.431,3.1,8.3,0.368,8.1,17.6,0.461,2.1,2.7,0.784,1.2,4.7,5.8,4.9,1.1,0.9,2.7,3.7,27.5,103,114,https://www.basketball-reference.com/players/m/mccolcj01.html,15.4,0.508,0.321,0.104,2.5,10.2,6.3,17.2,1.1,1.7,9.1,26.5,0.3,0.2,0.5,0.041,-0.1,-1.5,-1.6,0.1,"$27,556,959 ",Trail Blazers,638,0.6,-1.7,-1.1,11.6,1,12.6,2.4,-1.3,1.1,1.2,8
338,T.J. McConnell,PG,27,IND,13,0,232,8.5,16.5,0.519,0,0.2,0,8.5,16.3,0.526,1.3,1.5,0.857,1.3,6.7,7.9,13.1,1.5,0.6,4,3.8,18.3,110,104,https://www.basketball-reference.com/players/m/mccontj01.html,17,0.536,0.013,0.089,2.8,14.8,8.8,39.1,1.5,1.1,18.8,18.7,0.3,0.4,0.7,0.137,-1.1,0.6,-0.5,0.1,"$3,500,000 ",Pacers,232,1.9,-2.5,-0.7,0.8,-1.5,-0.7,1.8,-2.5,-0.7,0.2,1
339,Doug McDermott,PF,28,IND,15,0,328,7.7,18,0.426,4,9,0.443,3.7,9,0.41,1.2,1.5,0.8,0.9,5.6,6.5,2.9,0.3,0.3,2.2,4.1,20.5,104,108,https://www.basketball-reference.com/players/m/mcderdo01.html,10.2,0.55,0.5,0.082,2,12.4,7.2,8.6,0.3,0.5,10.6,18.5,0.2,0.4,0.5,0.076,-1,-1.3,-2.4,0,"$7,333,334 ",Pacers,328,-1.4,-1.5,-3,1.5,2.6,4.1,-1,-1,-2,0.1,8
340,JaVale McGee,C,32,LAL,16,16,265,9,14.8,0.61,0,0,0,9,14.8,0.61,2,3.4,0.579,5.9,11.2,17.1,2.3,1.6,3.6,2.3,5.6,20,121,97,https://www.basketball-reference.com/players/m/mcgeeja01.html,21.1,0.614,0,0.232,13.8,25.4,19.7,7.1,1.6,6.7,12.6,16.6,0.6,0.6,1.2,0.219,-0.5,4,3.5,0.4,"$4,000,000 ",Lakers,265,-0.6,3.9,3.3,3,-2.7,0.3,-0.1,2.9,2.8,0.8,4
341,Rodney McGruder,SG,28,LAC,13,1,215,3.9,10.7,0.367,2.2,6.6,0.333,1.8,4.2,0.421,0.7,1.8,0.375,1.8,3.9,5.7,2.2,0.2,0.7,1.3,5.3,10.7,100,110,https://www.basketball-reference.com/players/m/mcgruro01.html,2.8,0.43,0.628,0.186,3.8,7.1,5.5,3.9,0.2,1.4,11.4,10.9,-0.1,0.2,0,0.009,-3.2,-0.5,-3.6,-0.1,"$4,629,630 ",Clippers,215,-2.8,-3.1,-6,3.5,-2.3,1.3,-1.9,-3.2,-5.1,-0.3,3
342,Alfonzo McKinnie,SF,27,CLE,10,0,111,4.4,10.9,0.4,2.2,5.7,0.385,2.2,5.2,0.417,2.6,3.9,0.667,1.7,8.3,10,1.3,2.2,1.3,2.2,5.7,13.5,101,109,https://www.basketball-reference.com/players/m/mckinal01.html,9.8,0.535,0.52,0.36,3.8,18.8,11.1,3.9,2.2,2.3,14.7,13.1,0,0.1,0.1,0.047,-2.9,0.6,-2.4,0,"$1,588,231 ",Cavaliers,111,-3.2,-3.8,-7,5.2,-1.3,3.8,-1.9,-3.6,-5.5,-0.2,6
343,Ben McLemore,SG,26,HOU,17,4,343,5,15.1,0.333,3.8,13,0.296,1.2,2.1,0.563,2.5,3.1,0.826,0.9,3.2,4.1,1.9,1.5,0.4,1.3,3.8,16.5,103,112,https://www.basketball-reference.com/players/m/mclembe01.html,9.2,0.52,0.852,0.194,2.2,6,4.1,6.1,1.6,0.5,7.9,16,0.2,0.2,0.4,0.058,-0.5,-2.1,-2.6,0,"$1,882,867 ",Rockets,343,-0.1,-4,-4.1,7.6,-1.4,6.2,1.1,-3.8,-2.7,0,8
344,Jordan McRae,SG,28,WAS,8,0,121,7.2,15.3,0.475,1.5,3.8,0.4,5.7,11.4,0.5,4.2,4.6,0.917,0.4,6.9,7.2,7.6,1.1,1.5,2.7,6.1,20.2,117,115,https://www.basketball-reference.com/players/m/mcraejo01.html,15.7,0.586,0.258,0.29,1.1,17,8.9,20.7,0.9,3.4,12.5,16.8,0.2,0,0.2,0.109,-0.5,-0.6,-1.1,0,"$1,645,357 ",Wizards,121,-0.3,-2.2,-2.5,-4.6,6.6,2,-1.1,-0.8,-1.9,0.1,2
345,De'Anthony Melton,PG,21,MEM,6,0,51,7.2,19,0.381,2.7,7.2,0.375,4.5,11.8,0.385,1.8,3.6,0.5,0.9,6.3,7.2,6.3,5.4,0.9,4.5,2.7,19,87,104,https://www.basketball-reference.com/players/m/meltode01.html,13.2,0.461,0.381,0.19,2.1,14.8,8.4,19.5,5.4,1.7,18,22.5,-0.1,0.1,0,-0.006,-3.3,1.8,-1.5,0,"$1,416,852 ",Grizzlies,51,-4.3,4.7,0.4,-7,-3.9,-10.9,-4.8,3.6,-1.3,0,6
347,Khris Middleton,SF,28,MIL,10,10,308,9.5,20.3,0.468,3.5,8.9,0.393,6,11.4,0.526,4.5,5.1,0.886,1,7.3,8.3,4.2,1.2,0.1,3.4,4.4,27.1,112,105,https://www.basketball-reference.com/players/m/middlkh01.html,16.6,0.599,0.439,0.252,2.3,15.2,9,13.7,1.2,0.3,13,23.4,0.5,0.4,0.9,0.145,1.2,-0.9,0.3,0.2,"$30,603,448 ",Bucks,308,2.1,0.7,2.8,1.5,-0.4,1.1,2.1,0.5,2.6,0.8,5
349,Patty Mills,PG,31,SAS,17,1,381,8.9,18.2,0.49,4.6,10.1,0.457,4.3,8.2,0.53,2.7,3.5,0.786,0.5,2.5,3,4.5,2,0.4,2.6,3.4,25.2,118,115,https://www.basketball-reference.com/players/m/millspa02.html,17,0.637,0.551,0.19,1.1,5.7,3.4,13.6,2,0.6,11.6,19.9,0.8,0.1,0.9,0.112,3.3,-3.2,0.1,0.2,"$12,428,571 ",Spurs,381,2.8,1.8,4.5,7.7,4.9,12.6,3.7,2.4,6.1,1.7,7
350,Paul Millsap,PF,34,DEN,15,15,403,8.7,17.6,0.493,2.4,4.9,0.5,6.2,12.7,0.49,6.7,7.6,0.887,4,7.4,11.5,2.4,1.7,1.3,2,5.4,26.5,127,102,https://www.basketball-reference.com/players/m/millspa01.html,20.3,0.625,0.265,0.402,8.2,16.8,12.4,8.2,1.8,2.7,9.3,19.5,1.1,0.7,1.8,0.225,2.1,1.8,3.9,0.6,"$30,500,000 ",Nuggets,403,2.3,3.6,5.8,0.7,8,8.7,2.1,4.4,6.5,1.9,5
351,Shake Milton,SG,23,PHI,8,0,70,6.8,19.7,0.345,2.7,11.6,0.235,4.1,8.2,0.5,4.1,4.8,0.857,0.7,4.1,4.8,2.7,0.7,0,8.2,8.8,20.4,73,109,https://www.basketball-reference.com/players/m/miltosh01.html,-1,0.468,0.586,0.241,1.6,9.4,5.6,7.9,0.7,0,27.2,26.6,-0.3,0.1,-0.2,-0.151,-8.2,-3.8,-12,-0.2,"$1,445,697 ",76ers,70,-11.9,-2.2,-14.1,-13.1,1.8,-11.2,-12.7,-1.7,-14.4,-0.4,3
352,Donovan Mitchell,SG,23,UTA,16,16,560,12.9,28.4,0.453,3.2,8.1,0.389,9.7,20.3,0.479,6.5,7.8,0.826,1.6,6.1,7.8,5.4,1.7,0.3,3,3.2,35.4,111,103,https://www.basketball-reference.com/players/m/mitchdo01.html,22.1,0.556,0.285,0.276,3.8,13.2,8.8,22.1,1.7,0.6,8.6,31.7,1.1,1,2.1,0.18,3.3,0.6,3.9,0.8,"$3,635,760 ",Jazz,560,5,1.2,6.2,3.6,-0.4,3.2,5,1,6,2.5,7
353,Malik Monk,SG,21,CHO,17,0,362,9.3,19.2,0.483,2.5,8.4,0.302,6.8,10.9,0.622,2.4,3.1,0.783,0.7,5.4,6.1,5,0.8,0.5,3.7,3.8,23.5,104,115,https://www.basketball-reference.com/players/m/monkma01.html,13.1,0.571,0.434,0.159,1.5,13,7,17.2,0.8,1,15.3,21.7,0.2,0.1,0.3,0.036,-0.9,-2.6,-3.5,-0.1,"$4,028,400 ",Hornets,362,-0.6,-1.1,-1.7,-1.2,7.1,5.8,-0.7,0.2,-0.5,0.4,2
354,E'Twaun Moore,SG,30,NOP,12,3,264,9,20.8,0.433,3.1,7.8,0.4,5.9,13,0.453,1.7,2.8,0.625,2.3,4.2,6.4,3.3,0.9,0.2,1.2,4,22.9,110,118,https://www.basketball-reference.com/players/m/mooreet01.html,12.2,0.5,0.361,0.148,5,9.9,7.4,10.6,0.9,0,5,20.2,0.2,0,0.2,0.045,-0.6,-3.5,-4,-0.1,"$8,664,928 ",Pelicans,264,1.5,-1.5,0,-0.2,1.4,1.2,1.3,-1,0.3,0.4,8
355,Ja Morant,PG,20,MEM,14,14,393,11.8,25.1,0.472,1.5,3.6,0.419,10.3,21.5,0.481,6.1,8.1,0.754,1.5,3.6,5.2,9.9,1.9,0.4,6.3,3.1,31.3,102,114,https://www.basketball-reference.com/players/m/moranja01.html,18.1,0.546,0.145,0.322,3.5,8.5,6,35.3,1.9,0.7,18.1,31.4,0.2,0.1,0.3,0.035,0.6,-2.4,-1.8,0,"$8,730,240 ",Grizzlies,393,-0.8,-4.6,-5.3,-2.1,0.6,-1.5,-0.9,-3.9,-4.8,-0.4,2
356,Markieff Morris,PF,30,DET,16,12,385,8.2,17.8,0.462,3.2,8.1,0.4,5,9.7,0.513,2.7,3.7,0.733,0.9,7,7.9,3.2,1.4,0.2,3.9,5.1,22.4,101,112,https://www.basketball-reference.com/players/m/morrima02.html,11.5,0.576,0.455,0.21,2.1,16.7,9.5,10.6,1.4,0.4,16.6,21,0,0.2,0.3,0.034,-1.3,-1.8,-3.1,-0.1,"$3,200,000 ",Pistons,385,-1.8,-3.8,-5.6,-6.1,-2.5,-8.6,-2.6,-3.7,-6.3,-0.7,2
357,Monte Morris,PG,24,DEN,15,0,254,8.1,19.2,0.424,1.4,3.1,0.438,6.8,16.1,0.422,2.3,3.5,0.667,0.8,4.5,5.2,9.9,1.2,0.4,1.9,1.6,20,108,107,https://www.basketball-reference.com/players/m/morrimo01.html,13.5,0.462,0.16,0.16,1.7,8.9,5.2,29.2,1.2,0.8,8.2,19.5,0.2,0.3,0.5,0.093,-2.1,-1.2,-3.4,-0.1,"$1,588,231 ",Nuggets,254,1.4,-2.6,-1.2,-8.3,-2.5,-10.8,-0.2,-2.7,-2.9,0,8
358,Emmanuel Mudiay,PG,23,UTA,13,0,216,10.2,19.7,0.517,1.3,4.6,0.286,8.8,15,0.588,3.5,4.4,0.8,1.1,6.9,8,6.4,1.3,0.9,5.7,4.4,25.2,100,102,https://www.basketball-reference.com/players/m/mudiaem01.html,15.2,0.583,0.236,0.225,2.6,14.7,9,23.7,1.3,1.6,21,24.9,0,0.4,0.4,0.09,-1.7,1.3,-0.4,0.1,"$1,737,145 ",Jazz,216,-2.5,-1.2,-3.6,-4.2,4.6,0.4,-2.9,-0.3,-3.2,0,1
359,Dejounte Murray,PG,23,SAS,14,13,316,8.8,18.3,0.484,0.4,2.4,0.188,8.4,15.9,0.528,4.5,5.8,0.769,2.7,10.8,13.5,9.3,3.3,0.7,5.1,5.1,22.6,105,108,https://www.basketball-reference.com/players/m/murrade01.html,19.5,0.543,0.131,0.32,6,24.9,15.2,28.1,3.3,1.3,19.6,23,0.3,0.4,0.6,0.095,0.2,2.1,2.3,0.3,"$2,321,735 ",Spurs,316,0,0.6,0.7,0.8,-2.2,-1.4,0.1,0.3,0.4,0.5,9
360,Jamal Murray,PG,22,DEN,15,15,502,10.5,24.2,0.433,3,8.3,0.365,7.5,15.9,0.469,3.8,4.3,0.886,1.3,5.7,7,7.4,2.3,0.5,3.5,3,27.8,106,103,https://www.basketball-reference.com/players/m/murraja01.html,17.5,0.534,0.327,0.195,2.6,11.9,7.2,25,2.3,1,12.8,25.8,0.4,0.8,1.2,0.122,1.4,0.8,2.2,0.5,"$4,444,746 ",Nuggets,502,1,0.8,1.8,8,2.2,10.3,2.2,1,3.2,1.5,7
361,Mike Muscala,C,28,OKC,12,0,146,4.6,16.5,0.28,3,12.5,0.237,1.6,4,0.417,1.6,2,0.833,1.6,8.2,9.9,4.6,1,1,1.6,6.3,13.8,90,108,https://www.basketball-reference.com/players/m/muscami01.html,6.9,0.399,0.76,0.12,3.8,18,11.2,13.7,1,1.7,8.7,17.3,-0.1,0.2,0,0.004,-2.8,-0.2,-3,0,"$2,028,594 ",Thunder,146,-3.9,5.6,1.7,-6.9,10.7,3.8,-4.6,6.8,2.2,0.4,6
362,Abdel Nader,SF,26,OKC,8,0,103,5.1,14,0.367,2.3,7.5,0.313,2.8,6.5,0.429,3.3,4.2,0.778,1.4,5.6,7,1.4,0.9,1.4,5.1,4.2,15.9,81,109,https://www.basketball-reference.com/players/n/naderab01.html,5.1,0.501,0.533,0.3,3.3,12.3,7.9,4.2,0.9,2.4,24.5,19.1,-0.2,0.1,-0.1,-0.058,-6.1,-0.7,-6.8,-0.1,"$1,618,520 ",Thunder,103,-7.9,2,-5.8,-14.8,5.4,-9.5,-9.4,2.6,-6.7,-0.2,3
363,Shabazz Napier,PG,28,MIN,6,0,133,4.5,14.8,0.302,2.4,10.7,0.226,2.1,4.1,0.5,4.8,5.5,0.875,0.3,4.8,5.2,9.3,3.1,1,4.1,1.4,16.2,97,107,https://www.basketball-reference.com/players/n/napiesh01.html,12.7,0.47,0.721,0.372,0.8,10.7,5.7,27.4,3.1,1.8,19.3,18.9,0,0.2,0.1,0.046,-1.8,0,-1.7,0,"$1,882,867 ",Timberwolves,133,-1.3,4.4,3.1,-4.4,10.5,6,-1.9,5.6,3.7,0.4,8
364,Raul Neto,PG,27,PHI,13,2,164,6.7,13.4,0.5,1.7,3.8,0.462,4.9,9.6,0.515,0.6,0.6,1,0.3,4.1,4.4,6.4,2,0.6,4.1,2.3,15.7,100,105,https://www.basketball-reference.com/players/n/netora01.html,10.9,0.576,0.283,0.043,0.7,9.4,5.1,18.5,2,1,23,15.7,0,0.2,0.2,0.066,-2.9,-0.5,-3.4,-0.1,"$1,737,145 ",76ers,164,-0.8,3.2,2.4,-5.3,-1.2,-6.5,-1.6,2.5,0.9,0.3,8
365,Georges Niang,PF,26,UTA,11,0,95,5.5,11.6,0.478,2.5,7,0.357,3,4.5,0.667,3,4,0.75,0,5.5,5.5,2,0,1,2,7.5,16.6,111,106,https://www.basketball-reference.com/players/n/niangge01.html,8.2,0.622,0.609,0.348,0,11.9,6.2,6.4,0,1.8,13.1,14,0.1,0.1,0.2,0.107,-2,-0.1,-2.1,0,"$1,645,357 ",Jazz,95,0.4,-5.7,-5.3,-17.4,-2,-19.4,-2.6,-5.4,-7.9,-0.3,2
366,Nerlens Noel,C,25,OKC,14,3,256,7.7,12,0.641,0,0,0,7.7,12,0.641,4.1,5.1,0.815,3.2,9.2,12.4,4.5,3,4.1,3.4,7.7,19.5,123,99,https://www.basketball-reference.com/players/n/noelne01.html,21.5,0.685,0,0.422,7.4,20.2,14,14.8,3,7,19.2,16.1,0.6,0.6,1.1,0.215,0.4,6.3,6.8,0.6,"$2,028,594 ",Thunder,256,-0.5,5.2,4.6,-6,-1.1,-7,-1.5,4.5,3,0.8,4
368,Frank Ntilikina,PG,21,NYK,16,12,430,4.3,11.4,0.38,1.5,4.7,0.317,2.8,6.7,0.424,1.5,1.9,0.765,0.9,3.5,4.4,6.5,3,1.1,1.9,4.9,11.6,105,110,https://www.basketball-reference.com/players/n/ntilila01.html,11.1,0.489,0.404,0.18,2,7.9,4.8,18.9,3.2,2.5,15,12,0.2,0.4,0.5,0.065,-1.8,1.4,-0.4,0.2,"$4,855,800 ",Knicks,430,-1.5,0.5,-1,3,-1.2,1.8,-0.8,0.3,-0.5,0.5,8
369,Kendrick Nunn,SG,24,MIA,15,15,439,10.9,22.8,0.479,3.5,9.2,0.376,7.5,13.6,0.548,1.9,2.4,0.818,0.2,3.9,4.1,5.2,2.2,0.4,3.9,4.4,27.2,103,105,https://www.basketball-reference.com/players/n/nunnke01.html,14.9,0.571,0.403,0.104,0.6,8.8,4.9,18.7,2.2,0.9,14,25.1,0.2,0.6,0.9,0.097,-0.2,-0.9,-1.1,0.1,"$1,416,852 ",Heat,439,0.1,1.8,1.9,-1.7,3.6,1.9,-0.2,2.1,1.9,1.1,7
370,David Nwaba,SF,27,BRK,10,0,99,2.8,4.7,0.6,0.5,1.4,0.333,2.3,3.3,0.714,2.8,4.7,0.6,1.4,8.4,9.8,1.4,0.9,2.8,2.3,6.1,8.9,107,107,https://www.basketball-reference.com/players/n/nwabada01.html,8.5,0.66,0.3,1,3.2,18.5,11,3.9,0.9,4.8,25.8,8,0,0.1,0.2,0.074,-4.3,2.4,-2,0,"$1,678,854 ",Nets,99,-3,2.3,-0.7,-1.3,10.5,9.2,-2.9,3.8,0.9,0.2,1
371,Royce O'Neale,PF,26,UTA,16,15,464,3.4,6.5,0.524,1.9,3.6,0.514,1.5,2.9,0.536,1,1.2,0.833,0.1,7.5,7.6,4.3,1.3,0.4,1.5,4.7,9.7,124,102,https://www.basketball-reference.com/players/o/onealro01.html,9.4,0.688,0.556,0.19,0.2,16.2,8.6,12.8,1.3,0.7,18,7.8,0.6,0.8,1.4,0.141,-0.5,3.1,2.6,0.5,"$1,618,520 ",Jazz,464,-0.4,2.8,2.4,-1.7,2.8,1.1,-0.6,2.9,2.2,1.2,5
372,Kyle O'Quinn,C,29,PHI,13,0,120,7.1,13.1,0.545,2,4.8,0.417,5.2,8.3,0.619,0.8,2.4,0.333,5.2,11.9,17.1,6.8,0.8,2.8,4.8,7.1,17.1,109,101,https://www.basketball-reference.com/players/o/oquinky01.html,16.5,0.603,0.364,0.182,12.3,27.5,20,19.8,0.8,4.9,25.2,16.7,0.1,0.2,0.3,0.14,-0.3,3.3,2.9,0.1,"$2,028,594 ",76ers,120,-1,-0.4,-1.4,-5.5,-11.3,-16.8,-1.8,-2.3,-4.2,-0.1,9
373,Semi Ojeleye,PF,25,BOS,15,0,164,3.2,7.9,0.407,1.5,4.1,0.357,1.7,3.8,0.462,0.9,1.5,0.6,0.9,5.2,6.1,1.2,1.5,0,0.9,3.8,8.7,102,106,https://www.basketball-reference.com/players/o/ojelese01.html,5.7,0.514,0.519,0.185,1.9,11,6.5,3.2,1.5,0,9.3,8.3,0,0.2,0.2,0.066,-3.4,0.7,-2.7,0,"$1,618,520 ",Celtics,164,-4.2,0.6,-3.5,-4.5,-2.7,-7.2,-4.5,0.1,-4.4,-0.1,8
374,Jahlil Okafor,C,24,NOP,10,5,178,10.3,15.4,0.667,0,0,0,10.3,15.4,0.667,4.9,7.7,0.633,4.9,8,12.8,3.3,1,3.3,3.9,7.2,25.4,122,111,https://www.basketball-reference.com/players/o/okafoja01.html,20.8,0.671,0,0.519,10.3,19.3,14.6,10.4,1.1,5.4,18.4,20.7,0.4,0.1,0.5,0.148,-0.1,1.2,1.1,0.1,"$1,702,486 ",Pelicans,178,-1,1.7,0.7,-3.4,-4.4,-7.8,-1.5,0.9,-0.6,0.2,9
375,Elie Okobo,PG,22,PHO,11,0,116,6,15.7,0.385,2.8,6.9,0.412,3.2,8.9,0.364,3.6,6.9,0.529,0.4,4.4,4.8,10.5,1.2,0,1.2,2.4,18.5,115,110,https://www.basketball-reference.com/players/o/okoboel01.html,11.9,0.434,0.464,0.536,1.2,11.4,6.2,34.1,1.1,0,8,18.1,0.1,0.1,0.2,0.083,-1.6,-2.5,-4.1,0,"$1,416,852 ",Suns,116,3.2,-8.2,-5,6.4,0.6,7,3.8,-7.1,-3.2,0,8
376,Josh Okogie,SG,21,MIN,14,2,348,5.1,12.1,0.424,0.9,4.4,0.212,4.2,7.8,0.542,4.7,6.6,0.72,2.9,7,9.9,3.6,2.4,0.8,2.9,4.2,16,105,107,https://www.basketball-reference.com/players/o/okogijo01.html,12.7,0.531,0.359,0.543,6.4,15.4,10.9,10.7,2.4,1.4,16.2,15.8,0.2,0.4,0.6,0.084,-1.6,1.5,-0.1,0.2,"$2,530,680 ",Timberwolves,348,-2.3,3.2,0.9,-4.6,8.7,4,-2.8,4.3,1.5,0.8,1
378,Kelly Olynyk,C,28,MIA,15,0,345,5.4,12.9,0.415,3.3,8.2,0.4,2.1,4.7,0.441,2.1,2.5,0.833,1.6,8.5,10.2,3.4,2.2,1,2.6,5.8,16.1,107,101,https://www.basketball-reference.com/players/o/olynyke01.html,11.9,0.574,0.638,0.191,4.2,19.4,12.2,10.3,2.2,2,15.7,15,0.2,0.7,0.9,0.125,-0.6,2.1,1.5,0.3,"$11,667,885 ",Heat,345,-0.9,1.5,0.6,0.2,2.2,2.4,-0.8,1.6,0.8,0.6,5
380,Cedi Osman,SF,24,CLE,16,16,471,5.2,13.3,0.392,2.6,7.1,0.362,2.7,6.3,0.426,0.9,1.6,0.563,0.8,5.7,6.6,3.6,1.6,0.3,2.1,4,13.9,98,113,https://www.basketball-reference.com/players/o/osmande01.html,8.5,0.496,0.531,0.123,1.8,13,7.3,11,1.6,0.5,12.7,14.3,-0.1,0.2,0.1,0.014,-1.4,-0.2,-1.6,0,"$2,907,143 ",Cavaliers,471,-1.4,-1,-2.4,4.5,4,8.5,-0.5,-0.2,-0.7,0.5,8
381,Jabari Parker,PF,24,ATL,16,11,438,11.7,22.9,0.509,1.8,6.7,0.27,9.8,16.1,0.609,3.2,4.4,0.732,3.2,7.2,10.4,3.2,2.5,0.9,3.1,5.9,28.3,110,112,https://www.basketball-reference.com/players/p/parkeja01.html,19.2,0.571,0.294,0.192,7.7,17,12.4,11.9,2.5,1.7,11.1,24.8,0.6,0.2,0.9,0.095,1.9,-1.2,0.6,0.3,"$6,500,000 ",Hawks,438,1.7,-1.3,0.4,10.3,-3.6,6.6,3.2,-1.6,1.6,1,5
