,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,url_list,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,salary,Team,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,cluster
248,Montrezl Harrell,C,26,LAC,17,2,514,12.3,20.3,0.604,0,0.5,0,12.3,19.9,0.618,5,7.7,0.655,4.4,7.3,11.7,4,1.5,2.1,3.2,3.8,29.6,121,103,https://www.basketball-reference.com/players/h/harremo01.html,22.8,0.611,0.025,0.363,9.7,14.9,12.4,14.5,1.5,3.9,12.9,23,1.2,0.8,2,0.197,2.2,2.6,4.8,0.8,"$6,000,000 ",Clippers,514,1.9,5.6,7.5,6.2,-0.6,5.6,2.6,4.8,7.4,2.7,4
249,Gary Harris,SG,25,DEN,15,15,483,6,14.8,0.407,2,5.8,0.351,4,9,0.443,1.5,2.1,0.714,0.6,4.4,5,2.8,1.8,0.4,1.6,3.5,15.6,99,105,https://www.basketball-reference.com/players/h/harriga01.html,9.2,0.502,0.391,0.138,1.4,10.1,5.6,7.7,2,0.8,9.3,15.4,0,0.7,0.7,0.07,-2.1,1.2,-0.9,0.1,"$17,839,286 ",Nuggets,483,-2.8,2.6,-0.3,1.6,0.7,2.4,-2.2,2.4,0.2,0.7,8
250,Joe Harris,SF,28,BRK,16,16,512,7.2,15.4,0.471,3.8,8.6,0.442,3.4,6.8,0.507,1.2,1.6,0.722,1.4,3.9,5.2,2.5,1,0.5,2.3,3.9,19.4,111,112,https://www.basketball-reference.com/players/h/harrijo01.html,12.2,0.616,0.554,0.102,3.3,8.9,6.1,8.2,1,0.8,12.8,15.9,0.6,0.3,0.9,0.086,0.8,-1,-0.2,0.2,"$7,670,000 ",Nets,512,-0.7,-2,-2.7,-2.7,-5.5,-8.2,-1.1,-2.6,-3.7,-0.3,2
251,Tobias Harris,PF,27,PHI,16,16,541,10,19.9,0.504,1.8,6,0.294,8.3,13.9,0.595,3.5,4.6,0.769,1.1,9.5,10.7,4.9,1.7,1,2.7,4.1,25.4,112,103,https://www.basketball-reference.com/players/h/harrito02.html,17.9,0.579,0.301,0.23,2.7,21.9,12.5,15.8,1.7,1.7,11.1,21.8,0.9,0.9,1.7,0.155,1,1.3,2.3,0.6,"$31,034,483 ",76ers,541,1.2,1.3,2.6,2.2,1.6,3.8,1.4,1.4,2.9,1.5,5
252,Shaquille Harrison,SF,26,CHI,10,3,87,7,16.6,0.419,0.5,2.7,0.2,6.4,14,0.462,4.3,6.4,0.667,1.1,10.7,11.8,7.5,2.7,1.6,1.1,7,18.8,112,102,https://www.basketball-reference.com/players/h/harrish01.html,16.7,0.482,0.161,0.387,2.3,24.7,13.1,24.3,2.7,3.3,5.2,18.1,0.1,0.2,0.3,0.15,-1.7,3,1.3,0.1,"$898,310 ",Bulls,87,3.3,-0.1,3.1,-4.5,13.9,9.4,2.2,2.2,4.4,0.3,1
253,Josh Hart,SF,24,NOP,10,4,277,7.1,15.4,0.462,3.6,9.4,0.386,3.5,5.9,0.583,3,3.6,0.818,2.1,8.8,10.9,2.3,2.3,0.7,2.3,4.8,20.8,116,111,https://www.basketball-reference.com/players/h/hartjo01.html,15.6,0.614,0.613,0.237,4.8,20.9,12.6,6.9,2.3,1.2,12,17,0.4,0.2,0.7,0.114,1.3,-0.4,0.9,0.2,"$1,934,160 ",Pelicans,277,0.6,1.7,2.3,-7.5,6.4,-1.1,-0.7,2.6,1.9,0.7,5
254,Isaiah Hartenstein,C,21,HOU,5,0,63,5.8,6.5,0.889,0,0,0,5.8,6.5,0.889,5.1,5.1,1,3.6,9.4,13,0.7,0.7,2.2,2.9,6.5,16.6,148,108,https://www.basketball-reference.com/players/h/harteis01.html,16.4,0.948,0,0.875,8.3,20,14.2,2.3,0.7,4.2,26.5,10,0.2,0.1,0.2,0.195,-1.1,0.6,-0.5,0,"$1,416,852 ",Rockets,63,1.1,-0.8,0.3,7.9,4.3,12.2,2.2,0,2.2,0.2,9
256,Jaxson Hayes,C,19,NOP,14,5,268,7.7,12.3,0.625,0,0.3,0,7.7,11.9,0.643,3.9,6.5,0.605,4.1,5.6,9.7,1.7,1.7,2.4,2,7.7,19.3,123,112,https://www.basketball-reference.com/players/h/hayesja02.html,17.8,0.647,0.03,0.507,9.8,14.1,11.9,4.1,1.9,5,11.8,15.7,0.6,0.2,0.7,0.148,0,1.1,1.1,0.2,"$4,862,040 ",Pelicans,268,-1.6,-5.4,-7,5.3,2.3,7.6,-0.6,-4.3,-4.9,-0.3,9
257,Gordon Hayward,SF,29,BOS,8,8,249,11.7,21.1,0.555,2.5,5.8,0.433,9.2,15.4,0.6,3.1,3.6,0.842,1.2,9.8,10.9,6.3,1.2,0.4,2.9,2.9,29,120,103,https://www.basketball-reference.com/players/h/haywago01.html,22.1,0.638,0.273,0.173,2.5,20.5,11.6,22.8,1.2,0.7,11.2,22.8,0.7,0.4,1.1,0.206,3.2,0.9,4.1,0.4,"$32,700,690 ",Celtics,249,2.6,-1.2,1.5,5.4,3.4,8.8,3.2,-0.5,2.7,0.7,5
260,Tyler Herro,SG,20,MIA,14,3,413,8,18.1,0.443,3.2,8.3,0.389,4.8,9.9,0.488,3.3,4.1,0.806,0.6,6,6.5,3.8,1.3,0.2,3.7,2.3,22.6,102,106,https://www.basketball-reference.com/players/h/herroty01.html,12.1,0.567,0.456,0.228,1.5,13.6,7.9,12.4,1.3,0.5,15.5,21.4,0.1,0.5,0.7,0.076,-1.5,-0.7,-2.2,0,"$3,640,200 ",Heat,413,0.1,-1.1,-0.9,0.6,2.4,2.9,0.2,-0.6,-0.4,0.5,8
261,Mario Hezonja,PF,24,POR,16,4,314,4.2,11.7,0.354,1.5,4.3,0.345,2.7,7.4,0.36,2.5,3.1,0.81,1.6,10.4,12,2.5,1.6,0.3,2.4,5.9,12.3,94,110,https://www.basketball-reference.com/players/h/hezonma01.html,7.7,0.47,0.367,0.266,3.5,22.6,13,7.1,1.6,0.5,15.3,13.8,-0.1,0.3,0.1,0.019,-4.1,0.3,-3.8,-0.1,"$1,737,145 ",Trail Blazers,314,-4.2,-0.4,-4.5,-4.5,5.1,0.6,-4.4,0.5,-3.9,-0.2,6
262,Buddy Hield,SG,27,SAC,15,15,482,10.2,25.1,0.409,5.3,14,0.377,5,11.1,0.45,3.1,3.5,0.912,1.3,5.3,6.6,3.5,1.2,0.6,4.4,4.1,28.9,100,113,https://www.basketball-reference.com/players/h/hieldbu01.html,13.6,0.545,0.562,0.116,3,13.5,8.1,11.1,1.3,1.3,14.3,27.7,0,0.2,0.2,0.017,0.5,-2.6,-2.1,0,"$4,861,208 ",Kings,482,-0.7,-1.2,-1.9,5.8,-5.9,-0.1,0.4,-2.1,-1.7,0.3,2
263,George Hill,PG,33,MIL,16,0,359,6.4,12.5,0.51,2.9,6,0.479,3.5,6.5,0.538,2.8,3.5,0.786,2.1,4.3,6.4,6.1,1.5,0.3,1.4,4,18.4,136,106,https://www.basketball-reference.com/players/h/hillge01.html,17.1,0.654,0.48,0.28,4.8,8.9,6.9,18.1,1.5,0.5,8.9,14,1.2,0.5,1.6,0.218,3.5,-0.2,3.3,0.5,"$9,133,907 ",Bucks,359,4.4,-0.2,4.2,2,-0.7,1.4,4.2,-0.4,3.8,1.2,5
264,George Hill,PG,33,MIL,16,0,359,6.4,12.5,0.51,2.9,6,0.479,3.5,6.5,0.538,2.8,3.5,0.786,2.1,4.3,6.4,6.1,1.5,0.3,1.4,4,18.4,136,106,https://www.basketball-reference.com/players/h/hillge01.html,17.1,0.654,0.48,0.28,4.8,8.9,6.9,18.1,1.5,0.5,8.9,14,1.2,0.5,1.6,0.218,3.5,-0.2,3.3,0.5,"$1,000,000 ",Bucks,359,4.4,-0.2,4.2,2,-0.7,1.4,4.2,-0.4,3.8,1.2,5
265,Solomon Hill,SF,28,MEM,13,0,227,4.9,11.6,0.421,2.4,6.7,0.364,2.4,4.9,0.5,1.8,2.8,0.643,1.6,6.1,7.7,4.1,2,0.2,2,4.1,14,107,113,https://www.basketball-reference.com/players/h/hillso01.html,10.6,0.546,0.579,0.246,3.7,14.2,9,11.6,2,0.4,13.7,13.3,0.1,0.1,0.3,0.054,-0.8,-0.7,-1.5,0,"$13,258,781 ",Grizzlies,227,-0.7,-1,-1.7,-2.7,-0.8,-3.4,-1,-1,-2,0.1,8
266,Aaron Holiday,PG,23,IND,13,8,306,7.9,19.9,0.397,3.3,8.1,0.412,4.6,11.9,0.387,1.4,1.6,0.9,1.3,4.9,6.2,8.1,2.1,0.2,3.2,3.8,20.5,102,105,https://www.basketball-reference.com/players/h/holidaa01.html,13.3,0.498,0.405,0.079,2.8,10.9,6.9,23.6,2.1,0.3,13.3,21.1,0.1,0.5,0.6,0.088,-0.3,0.1,-0.1,0.1,"$2,239,200 ",Pacers,306,1.8,4.7,6.5,2.9,-0.5,2.4,2.1,4,6,1.4,7
267,Jrue Holiday,SG,29,NOP,15,15,534,9.4,21.9,0.43,2.2,6.9,0.321,7.2,15,0.48,2.9,3.8,0.773,1.4,5.2,6.6,9,2.7,0.9,4.4,3.2,24,103,112,https://www.basketball-reference.com/players/h/holidjr01.html,16.5,0.505,0.315,0.174,2.9,12.3,7.4,30,2.8,1.9,15.9,25.1,0.2,0.3,0.6,0.057,0.1,0.2,0.3,0.3,"$26,131,111 ",Pelicans,534,1.8,0.7,2.4,0.8,-3.3,-2.5,1.7,0.1,1.8,1.2,7
